hp_response_id,frame_id,PROLIFIC_PID,treatment,Market,allocation,hp,category_num,category,fitted_probability_N,fitted_probability_M,fitted_probability_S,fitted_probability_C
HP0001,63ecfe7a1e5faf247a255ac2|kw|0,63ecfe7a1e5faf247a255ac2,kw,0,6.0,4,1,Moral,0.22706200840793078,0.6737172189443169,0.04796413598603306,0.05125663666171926
HP0002,66421a683ec1aada2f687975|lt|0,66421a683ec1aada2f687975,lt,0,4.0,4,0,No clear justification,0.3154961432418863,0.2933656054130882,0.32443196369220856,0.06670628765281715
HP0003,676a584412b90586c1da74a0|lt|0,676a584412b90586c1da74a0,lt,0,8.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0004,5d260d4255a29b0017698915|lt|0,5d260d4255a29b0017698915,lt,0,6.0,4,1,Moral,0.2896032477114199,0.49293196878262985,0.15533328785454345,0.06213149565140682
HP0005,613f1ef31c08d695c689a53a|kw|0,613f1ef31c08d695c689a53a,kw,0,6.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0006,6658b54fc00cad4526a6d01f|lt|0,6658b54fc00cad4526a6d01f,lt,0,8.0,4,0,No clear justification,0.6269897120501802,0.1760166965538242,0.09427636263188557,0.10271722876411007
HP0007,57ea425e5b88f5000106bb9f|kw|0,57ea425e5b88f5000106bb9f,kw,0,12.0,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0008,5cfebb94eafc4d001a62cbc9|lt|0,5cfebb94eafc4d001a62cbc9,lt,0,8.0,4,1,Moral,0.2896032477114199,0.49293196878262985,0.15533328785454345,0.06213149565140682
HP0009,61112fb91e6eb028aa1ba59b|lt|0,61112fb91e6eb028aa1ba59b,lt,0,10.0,4,1,Moral,0.3545483905333951,0.5099070150392688,0.06490307675004137,0.0706415176772946
HP0010,570570eb61ab6a0010d484d0|lt|0,570570eb61ab6a0010d484d0,lt,0,7.0,4,1,Moral,0.1782189644218849,0.6569749647031639,0.12158862973322467,0.043217441141726626
HP0011,6658bf916039705479385d08|lt|0,6658bf916039705479385d08,lt,0,4.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0012,677880f787ed7d2cfb6f7345|kw|0,677880f787ed7d2cfb6f7345,kw,0,9.0,4,0,No clear justification,0.2896032477114199,0.49293196878262985,0.15533328785454345,0.06213149565140682
HP0013,63bc87f783afb5aed2c937d2|lt|0,63bc87f783afb5aed2c937d2,lt,0,6.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0014,6633a447cefc384785ec5e16|kw|0,6633a447cefc384785ec5e16,kw,0,6.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0015,5a2c51740a1e6b00016952c8|kw|0,5a2c51740a1e6b00016952c8,kw,0,12.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0016,5dfa56fddc265f7ac3bee209|kw|0,5dfa56fddc265f7ac3bee209,kw,0,7.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0017,60f2a2b4932fed5326988e0f|kw|0,60f2a2b4932fed5326988e0f,kw,0,6.0,4,0,No clear justification,0.6269897120501802,0.1760166965538242,0.09427636263188557,0.10271722876411007
HP0018,5a8351038fe2dc000105efb4|lt|0,5a8351038fe2dc000105efb4,lt,0,4.0,4,1,Moral,0.1237850609358009,0.8131065313219651,0.031151559604184552,0.03195684813804926
HP0019,67709d0088d93adec607305e|kw|0,67709d0088d93adec607305e,kw,0,6.0,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0020,5b1ac052ea64a000017c389e|kw|0,5b1ac052ea64a000017c389e,kw,0,6.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0021,67abb13cc30b930b97db75e7|kw|0,67abb13cc30b930b97db75e7,kw,0,11.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0022,6287a355e0dbfe43e55850b7|kw|0,6287a355e0dbfe43e55850b7,kw,0,6.0,4,0,No clear justification,0.4942126599061985,0.3366337176340137,0.08081885289596451,0.08833476956382329
HP0023,5b6e9435885b0b0001bb034b|kw|0,5b6e9435885b0b0001bb034b,kw,0,9.5,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0024,5e63e793e50a6316a75213c4|lt|0,5e63e793e50a6316a75213c4,lt,0,8.0,4,1,Moral,0.2896032477114199,0.49293196878262985,0.15533328785454345,0.06213149565140682
HP0025,661ed0d24e9ed72f176f2dd3|kw|0,661ed0d24e9ed72f176f2dd3,kw,0,7.0,4,1,Moral,0.22706200840793078,0.6737172189443169,0.04796413598603306,0.05125663666171926
HP0026,656b7ab2b685a43aae816c5e|lt|0,656b7ab2b685a43aae816c5e,lt,0,6.0,4,0,No clear justification,0.4942126599061985,0.3366337176340137,0.08081885289596451,0.08833476956382329
HP0027,571fdcb14b8ecc0013c24fcb|kw|0,571fdcb14b8ecc0013c24fcb,kw,0,6.0,4,1,Moral,0.1237850609358009,0.8131065313219651,0.031151559604184552,0.03195684813804926
HP0028,561bbdf9811d22000df3138a|kw|0,561bbdf9811d22000df3138a,kw,0,6.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0029,63eba3f11d699385d1d4075d|kw|0,63eba3f11d699385d1d4075d,kw,0,10.0,4,3,Self-interest,0.178218964421885,0.6569749647031637,0.12158862973322467,0.04321744114172665
HP0030,664b8bef90cdb799d4c4c35d|lt|0,664b8bef90cdb799d4c4c35d,lt,0,7.0,4,1,Moral,0.1782189644218849,0.6569749647031639,0.12158862973322467,0.043217441141726626
HP0031,63ea4301f63c1d26f0ff83e9|lt|0,63ea4301f63c1d26f0ff83e9,lt,0,4.0,4,1,Moral,0.1782189644218849,0.6569749647031639,0.12158862973322467,0.043217441141726626
HP0032,6630e75a1f3d3083c3fd00fc|kw|0,6630e75a1f3d3083c3fd00fc,kw,0,6.0,4,1,Moral,0.3545483905333951,0.5099070150392688,0.06490307675004137,0.0706415176772946
HP0033,5589ce75fdf99b18be3203d2|lt|0,5589ce75fdf99b18be3203d2,lt,0,6.0,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0034,5f57c697f9f7d02d07909dbb|kw|0,5f57c697f9f7d02d07909dbb,kw,0,6.0,4,1,Moral,0.1237850609358009,0.8131065313219651,0.031151559604184552,0.03195684813804926
HP0035,5ff5f6c52171e10f72d3610c|lt|0,5ff5f6c52171e10f72d3610c,lt,0,6.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0036,6785704c3b1ab8813a4958b0|kw|0,6785704c3b1ab8813a4958b0,kw,0,8.0,4,1,Moral,0.3545483905333951,0.5099070150392688,0.06490307675004137,0.0706415176772946
HP0037,6294ea804cdf1298eefa87ac|lt|0,6294ea804cdf1298eefa87ac,lt,0,12.0,4,3,Self-interest,0.3344280201350414,0.128474613405516,0.3332856293611102,0.20381173709833234
HP0038,5efbe3c91cb67519d2f20b7b|lt|0,5efbe3c91cb67519d2f20b7b,lt,0,6.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0039,677495e069e5abd571445a65|kw|0,677495e069e5abd571445a65,kw,0,6.0,4,0,No clear justification,0.4144358618737673,0.3205303787295426,0.18540049528189295,0.0796332641147972
HP0040,63c15473935ae0d7279b094f|kw|0,63c15473935ae0d7279b094f,kw,0,8.5,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0041,65abe8df479fdc244d1643b2|kw|0,65abe8df479fdc244d1643b2,kw,0,6.0,4,1,Moral,0.22706200840793134,0.673717218944316,0.047964135986033295,0.05125663666171937
HP0042,5ac6e74f9534ba0001c756d5|lt|0,5ac6e74f9534ba0001c756d5,lt,0,6.0,4,0,No clear justification,0.2896032477114199,0.49293196878262985,0.15533328785454345,0.06213149565140682
HP0043,5c3f2e175fe5c60001ffc302|lt|0,5c3f2e175fe5c60001ffc302,lt,0,7.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0044,5c83394a3e93bf0001e143d6|kw|0,5c83394a3e93bf0001e143d6,kw,0,12.0,4,1,Moral,0.1782189644218849,0.6569749647031639,0.12158862973322467,0.043217441141726626
HP0045,5855b0d59fcc070001dfe2a7|lt|0,5855b0d59fcc070001dfe2a7,lt,0,6.0,4,1,Moral,0.3545483905333951,0.5099070150392688,0.06490307675004137,0.0706415176772946
HP0046,5fff542aeed8c2065133114e|kw|0,5fff542aeed8c2065133114e,kw,0,10.0,4,3,Self-interest,0.21053089707039044,0.4606974304148191,0.27904466687662394,0.04972700563816661
HP0047,605a943f4994cf6834e4e8c6|lt|0,605a943f4994cf6834e4e8c6,lt,0,6.0,4,1,Moral,0.1782189644218849,0.6569749647031639,0.12158862973322467,0.043217441141726626
HP0048,5b25b16e34ffd00001b43e24|kw|0,5b25b16e34ffd00001b43e24,kw,0,10.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0049,671fb7534780312b6355a4c1|kw|0,671fb7534780312b6355a4c1,kw,0,6.0,4,0,No clear justification,0.22706200840793134,0.673717218944316,0.047964135986033295,0.05125663666171937
HP0050,60ddc62b071a009e0b0c2922|lt|0,60ddc62b071a009e0b0c2922,lt,0,6.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0051,5e87c385d43d19456f757328|kw|0,5e87c385d43d19456f757328,kw,0,12.0,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0052,5bd4c1d09afb5b00015c5bdd|lt|0,5bd4c1d09afb5b00015c5bdd,lt,0,6.0,4,1,Moral,0.1237850609358009,0.8131065313219651,0.031151559604184552,0.03195684813804926
HP0053,6723fefd7a09fe9da8f9bd10|kw|0,6723fefd7a09fe9da8f9bd10,kw,0,6.0,4,3,Self-interest,0.178218964421885,0.6569749647031637,0.12158862973322467,0.04321744114172665
HP0054,67ec2dbc404fd41af3fd389a|lt|0,67ec2dbc404fd41af3fd389a,lt,0,8.0,4,1,Moral,0.22706200840793078,0.6737172189443169,0.04796413598603306,0.05125663666171926
HP0055,66cf21b57ed16b335a50bddf|kw|0,66cf21b57ed16b335a50bddf,kw,0,6.0,4,1,Moral,0.2896032477114199,0.49293196878262985,0.1553332878545436,0.06213149565140682
HP0056,66e1ee920e1ee1e658264d5b|lt|0,66e1ee920e1ee1e658264d5b,lt,0,6.0,4,1,Moral,0.2896032477114199,0.49293196878262985,0.15533328785454345,0.06213149565140682
HP0057,56abcb46f209e0000adab961|lt|0,56abcb46f209e0000adab961,lt,0,6.0,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0058,5a86357bae9a0b0001a9f14e|kw|0,5a86357bae9a0b0001a9f14e,kw,0,6.5,4,1,Moral,0.1237850609358009,0.8131065313219651,0.031151559604184552,0.03195684813804926
HP0059,62865cb9d41a9e2aaf141c84|kw|0,62865cb9d41a9e2aaf141c84,kw,0,8.5,4,0,No clear justification,0.4942126599061985,0.3366337176340137,0.08081885289596451,0.08833476956382329
HP0060,6148bbcd519a30b146897026|lt|0,6148bbcd519a30b146897026,lt,0,6.0,4,1,Moral,0.1782189644218849,0.6569749647031639,0.12158862973322467,0.043217441141726626
HP0061,667abc1762de46b3164e4c07|kw|0,667abc1762de46b3164e4c07,kw,0,8.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0062,57541379f5000a0006b06ab4|kw|0,57541379f5000a0006b06ab4,kw,0,6.0,4,0,No clear justification,0.3154961432418863,0.2933656054130882,0.32443196369220856,0.06670628765281715
HP0063,6115ddc1b0981cea63afacce|lt|0,6115ddc1b0981cea63afacce,lt,0,8.0,4,1,Moral,0.2896032477114199,0.49293196878262985,0.15533328785454345,0.06213149565140682
HP0064,62fcc87b89f17c39f2bf27f7|kw|0,62fcc87b89f17c39f2bf27f7,kw,0,6.0,4,1,Moral,0.3545483905333951,0.5099070150392688,0.06490307675004137,0.0706415176772946
HP0065,6101ca2b4ef4ff44381fe3cd|lt|0,6101ca2b4ef4ff44381fe3cd,lt,0,6.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0066,644c34bee80856c9546c7312|kw|0,644c34bee80856c9546c7312,kw,0,6.0,4,1,Moral,0.3545483905333952,0.5099070150392689,0.0649030767500414,0.07064151767729464
HP0067,60aa73f653d961e8b31909b3|lt|0,60aa73f653d961e8b31909b3,lt,0,6.0,4,0,No clear justification,0.3545483905333952,0.5099070150392689,0.0649030767500414,0.07064151767729464
HP0068,5ecd41b94c2e85070cdafa60|lt|0,5ecd41b94c2e85070cdafa60,lt,0,8.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
HP0069,67670650760358754c284066|kw|0,67670650760358754c284066,kw,0,8.0,4,1,Moral,0.1237850609358009,0.8131065313219651,0.031151559604184552,0.03195684813804926
HP0070,67798247d6fc9e510470baef|lt|0,67798247d6fc9e510470baef,lt,0,6.0,4,1,Moral,0.22706200840793134,0.673717218944316,0.047964135986033295,0.05125663666171937
HP0071,5eddaa6d115bb4ac7e59f153|kw|0,5eddaa6d115bb4ac7e59f153,kw,0,10.0,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0072,63ea5b93d1c6d38e1f57dcfa|kw|0,63ea5b93d1c6d38e1f57dcfa,kw,0,6.0,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0073,655f8d03e234484afb1c3d51|kw|0,655f8d03e234484afb1c3d51,kw,0,6.0,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0074,6671c66b6e4bc111961291ae|lt|0,6671c66b6e4bc111961291ae,lt,0,7.0,4,1,Moral,0.1237850609358009,0.8131065313219651,0.031151559604184552,0.03195684813804926
HP0075,675d9cf5d9b26c34bbac262b|lt|0,675d9cf5d9b26c34bbac262b,lt,0,5.5,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0076,5f970ff3eff5040736b63117|kw|0,5f970ff3eff5040736b63117,kw,0,12.0,4,3,Self-interest,0.3154961432418863,0.2933656054130882,0.32443196369220856,0.06670628765281715
HP0077,678fba732e3c7c2620e94db9|lt|0,678fba732e3c7c2620e94db9,lt,0,6.0,4,0,No clear justification,0.4144358618737673,0.32053037872954254,0.185400495281893,0.0796332641147972
HP0078,66587fc76ffbd0dff98853c6|lt|0,66587fc76ffbd0dff98853c6,lt,0,0.0,4,1,Moral,0.41443586187376713,0.32053037872954265,0.18540049528189295,0.07963326411479715
HP0079,6719761fc33e7e0d88199445|kw|0,6719761fc33e7e0d88199445,kw,0,9.0,4,1,Moral,0.17821896442188515,0.6569749647031636,0.12158862973322472,0.04321744114172668
HP0080,662fa48c0b5e59f9bd5322cc|kw|0,662fa48c0b5e59f9bd5322cc,kw,0,6.0,4,1,Moral,0.21053089707039016,0.4606974304148187,0.2790446668766247,0.04972700563816659
