scope,fold,model,n_test_frames,rmse,mae,out_of_sample_r_squared
fold,1.0,cell_only,121,0.22745412662710052,0.1835560414175928,
fold,1.0,cell_plus_representation_weights,121,0.2250183938236942,0.1813945376939013,
fold,2.0,cell_only,119,0.1953942145835364,0.15669223152989384,
fold,2.0,cell_plus_representation_weights,119,0.19063030122814167,0.153301910551557,
fold,3.0,cell_only,119,0.22383015355565564,0.17645580146095188,
fold,3.0,cell_plus_representation_weights,119,0.2285004833810564,0.17785096943038906,
fold,4.0,cell_only,119,0.21568591889406882,0.1682064056439552,
fold,4.0,cell_plus_representation_weights,119,0.21454092969596586,0.167585920179019,
fold,5.0,cell_only,122,0.2265954211147604,0.183083362822104,
fold,5.0,cell_plus_representation_weights,122,0.22496661870984194,0.18006054297269278,
fold,6.0,cell_only,122,0.20130021938822207,0.1606752232908224,
fold,6.0,cell_plus_representation_weights,122,0.20018721725098473,0.15689972171210403,
fold,7.0,cell_only,122,0.227674113407334,0.17187457785247484,
fold,7.0,cell_plus_representation_weights,122,0.2261190768899452,0.1708239903327069,
fold,8.0,cell_only,121,0.20203681518421698,0.16525675485763427,
fold,8.0,cell_plus_representation_weights,121,0.20150565456241226,0.16352899392374026,
fold,9.0,cell_only,120,0.18679458814473446,0.1545834489648411,
fold,9.0,cell_plus_representation_weights,120,0.18959287462194246,0.1555327565637531,
fold,10.0,cell_only,115,0.20216722653355143,0.16271807955137546,
fold,10.0,cell_plus_representation_weights,115,0.1977497518681764,0.16049678896977124,
pooled,,cell_only,1200,0.21146160387460358,0.1683644713123432,0.12881557543014144
pooled,,cell_plus_representation_weights,1200,0.21048899717975325,0.16679700431349914,0.13681108086961635
increment,,representation_weights_minus_cell_only,1200,-0.0009726066948503309,-0.0015674669988440526,0.007995505439474915
