fold,penalty_lambda,n_train,n_test,log_loss,accuracy,converged,iterations,gradient_max,message,mean_log_loss,selected
1,0.015625,3600,1200,1.5167586145808873,0.5275,True,380,0.0005935331257522769,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4849048864932188,False
2,0.015625,3600,1200,1.5291199527818764,0.5266666666666666,True,354,0.0006428072078143998,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4849048864932188,False
3,0.015625,3600,1200,1.468520628447698,0.5416666666666666,True,370,0.001760152644192381,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4849048864932188,False
4,0.015625,3600,1200,1.4252203501624134,0.5316666666666666,True,354,0.005755875216721051,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4849048864932188,False
1,0.03125,3600,1200,1.39687547661461,0.53,True,296,0.0008607140822154413,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3707053498082309,False
2,0.03125,3600,1200,1.4097684098020529,0.5266666666666666,True,274,0.0006467138596502053,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3707053498082309,False
3,0.03125,3600,1200,1.3561530610305166,0.5416666666666666,True,288,0.001963441352994977,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3707053498082309,False
4,0.03125,3600,1200,1.3200244517857445,0.5358333333333334,True,276,0.0017443504078138439,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3707053498082309,False
1,0.0625,3600,1200,1.294118166187549,0.5291666666666667,True,227,0.002979819716957266,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2733473831727402,False
2,0.0625,3600,1200,1.3068990433611192,0.5266666666666666,True,234,0.0014763401255253328,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2733473831727402,False
3,0.0625,3600,1200,1.2610304492422786,0.5416666666666666,True,231,0.001256938087196957,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2733473831727402,False
