scope,fold,model,n_test_frames,rmse,mae,out_of_sample_r_squared
fold,1.0,cell_only,121,0.22745412662710052,0.1835560414175928,
fold,1.0,cell_plus_participant_effects,121,0.2248087981719307,0.181247055937091,
fold,2.0,cell_only,119,0.1953942145835364,0.15669223152989384,
fold,2.0,cell_plus_participant_effects,119,0.1912398278200995,0.15388765985963543,
fold,3.0,cell_only,119,0.22383015355565564,0.17645580146095188,
fold,3.0,cell_plus_participant_effects,119,0.22873113512651322,0.17746652848969655,
fold,4.0,cell_only,119,0.21568591889406882,0.1682064056439552,
fold,4.0,cell_plus_participant_effects,119,0.2145566077347718,0.16725994309699468,
fold,5.0,cell_only,122,0.2265954211147604,0.183083362822104,
fold,5.0,cell_plus_participant_effects,122,0.22518808636215643,0.1802114959513869,
fold,6.0,cell_only,122,0.20130021938822207,0.1606752232908224,
fold,6.0,cell_plus_participant_effects,122,0.20018987423015264,0.15705388933495035,
fold,7.0,cell_only,122,0.227674113407334,0.17187457785247484,
fold,7.0,cell_plus_participant_effects,122,0.22542942232082805,0.17005609632303284,
fold,8.0,cell_only,121,0.20203681518421698,0.16525675485763427,
fold,8.0,cell_plus_participant_effects,121,0.2018470757149394,0.1634277289700366,
fold,9.0,cell_only,120,0.18679458814473446,0.1545834489648411,
fold,9.0,cell_plus_participant_effects,120,0.1894079523798147,0.15503802440655984,
fold,10.0,cell_only,115,0.20216722653355143,0.16271807955137546,
fold,10.0,cell_plus_participant_effects,115,0.19697365345324686,0.15914522648686685,
pooled,,cell_only,1200,0.21146160387460358,0.1683644713123432,0.12881557543014144
pooled,,cell_plus_participant_effects,1200,0.21044339292656916,0.16653351278916279,0.1371850749704836
increment,,participant_effects_minus_cell_only,1200,-0.0010182109480344204,-0.0018309585231804093,0.008369499540342162
