dimension,category_vs_moral,estimand,point_estimate,bootstrap_standard_error,bootstrap_ci95_low_percentile,bootstrap_ci95_high_percentile,bootstrap_replicates,failed_first_stage_fits
game,S,base_slope,-0.3051163614565149,0.09573036278563317,-0.4839640789144471,-0.1244066186341463,500,0
game,C,base_slope,-0.3374939984586665,0.08782291132440838,-0.4919940884060904,-0.16202911368609282,500,0
condition,S,base_slope,-0.0682330780749208,0.11292555737115294,-0.2828065990557291,0.17487537522642901,500,0
condition,C,base_slope,-0.2973736730405717,0.2844869121883571,-0.8224648874516696,0.3533020700263641,500,0
game,S,comparison_slope,-0.0943230221281328,0.06310234131510867,-0.21720344714133752,0.028366826241059778,500,0
game,C,comparison_slope,-0.1717778758715159,0.06385295868451311,-0.30726159958273036,-0.051066103663050616,500,0
condition,S,comparison_slope,-0.2426947555885649,0.06703266484331122,-0.3654749555689596,-0.10585194037376269,500,0
condition,C,comparison_slope,-0.2756204557950024,0.05688912141282762,-0.3911357888446318,-0.15695673810925198,500,0
game,S,difference,0.210793339328382,0.11332697709236648,0.0011729459980000891,0.41985148153933016,500,0
game,C,difference,0.1657161225871506,0.10839894157496102,-0.052308808802779376,0.3686336038370453,500,0
condition,S,difference,-0.174461677513644,0.13044610277756208,-0.4327584882673696,0.08026224071136978,500,0
condition,C,difference,0.0217532172455692,0.28873648827964465,-0.6217545824342242,0.5376378929292375,500,0
