replicate,dimension,category_vs_moral,estimand,estimate,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
1,condition,C,base_slope,-0.03674853531967945,True,110,0.0010230115107092708,1063,990
1,condition,C,comparison_slope,-0.012884001273311393,True,110,0.0010230115107092708,1063,990
1,condition,C,difference,0.023864534046368055,True,110,0.0010230115107092708,1063,990
1,condition,S,base_slope,-0.039636301308209734,True,110,0.0010230115107092708,1063,990
1,condition,S,comparison_slope,-0.013803166612347793,True,110,0.0010230115107092708,1063,990
1,condition,S,difference,0.02583313469586194,True,110,0.0010230115107092708,1063,990
1,game,C,base_slope,-0.016098697364861622,True,110,0.0010230115107092708,1063,990
1,game,C,comparison_slope,-0.020208090996125343,True,110,0.0010230115107092708,1063,990
1,game,C,difference,-0.00410939363126372,True,110,0.0010230115107092708,1063,990
1,game,S,base_slope,-0.020855464723820653,True,110,0.0010230115107092708,1063,990
1,game,S,comparison_slope,-0.005424543407145713,True,110,0.0010230115107092708,1063,990
1,game,S,difference,0.01543092131667494,True,110,0.0010230115107092708,1063,990
2,condition,C,base_slope,0.00491914989899259,True,112,0.0017714581662276463,1075,990
2,condition,C,comparison_slope,-0.04101011582840021,True,112,0.0017714581662276463,1075,990
2,condition,C,difference,-0.0459292657273928,True,112,0.0017714581662276463,1075,990
2,condition,S,base_slope,-0.029269274126478687,True,112,0.0017714581662276463,1075,990
2,condition,S,comparison_slope,-0.07534009518217522,True,112,0.0017714581662276463,1075,990
2,condition,S,difference,-0.046070821055696536,True,112,0.0017714581662276463,1075,990
2,game,C,base_slope,-0.03398321752117266,True,112,0.0017714581662276463,1075,990
2,game,C,comparison_slope,-0.017546247019415904,True,112,0.0017714581662276463,1075,990
2,game,C,difference,0.016436970501756753,True,112,0.0017714581662276463,1075,990
2,game,S,base_slope,-0.06376681710691612,True,112,0.0017714581662276463,1075,990
2,game,S,comparison_slope,0.003421443736681365,True,112,0.0017714581662276463,1075,990
2,game,S,difference,0.06718826084359748,True,112,0.0017714581662276463,1075,990
3,condition,C,base_slope,-0.020637961062667944,True,110,0.0016235151929602232,1068,990
3,condition,C,comparison_slope,-0.04794823365344349,True,110,0.0016235151929602232,1068,990
3,condition,C,difference,-0.027310272590775543,True,110,0.0016235151929602232,1068,990
3,condition,S,base_slope,-0.03548276268681034,True,110,0.0016235151929602232,1068,990
3,condition,S,comparison_slope,-0.04098343404979114,True,110,0.0016235151929602232,1068,990
3,condition,S,difference,-0.005500671362980806,True,110,0.0016235151929602232,1068,990
3,game,C,base_slope,-0.04563642213539851,True,110,0.0016235151929602232,1068,990
3,game,C,comparison_slope,-0.04004552940775433,True,110,0.0016235151929602232,1068,990
3,game,C,difference,0.005590892727644178,True,110,0.0016235151929602232,1068,990
3,game,S,base_slope,-0.03862832401510652,True,110,0.0016235151929602232,1068,990
3,game,S,comparison_slope,-0.0042010422046018375,True,110,0.0016235151929602232,1068,990
3,game,S,difference,0.03442728181050468,True,110,0.0016235151929602232,1068,990
4,condition,C,base_slope,-0.0016529918792519247,True,111,0.001244385755338584,1059,990
4,condition,C,comparison_slope,-0.05826630172597081,True,111,0.001244385755338584,1059,990
4,condition,C,difference,-0.05661330984671888,True,111,0.001244385755338584,1059,990
4,condition,S,base_slope,-0.07833193862696446,True,111,0.001244385755338584,1059,990
4,condition,S,comparison_slope,-0.03779447381859302,True,111,0.001244385755338584,1059,990
4,condition,S,difference,0.040537464808371435,True,111,0.001244385755338584,1059,990
4,game,C,base_slope,-0.05612763754833955,True,111,0.001244385755338584,1059,990
4,game,C,comparison_slope,-0.03057445836129721,True,111,0.001244385755338584,1059,990
4,game,C,difference,0.02555317918704234,True,111,0.001244385755338584,1059,990
4,game,S,base_slope,-0.04266755847719287,True,111,0.001244385755338584,1059,990
4,game,S,comparison_slope,-0.0087498017840043,True,111,0.001244385755338584,1059,990
4,game,S,difference,0.03391775669318857,True,111,0.001244385755338584,1059,990
5,condition,C,base_slope,-0.06932597443283463,True,98,0.0034658278863894942,1060,990
5,condition,C,comparison_slope,-0.036075228770200446,True,98,0.0034658278863894942,1060,990
5,condition,C,difference,0.03325074566263418,True,98,0.0034658278863894942,1060,990
5,condition,S,base_slope,0.008661088956998172,True,98,0.0034658278863894942,1060,990
5,condition,S,comparison_slope,-0.03124944429963357,True,98,0.0034658278863894942,1060,990
5,condition,S,difference,-0.03991053325663174,True,98,0.0034658278863894942,1060,990
5,game,C,base_slope,-0.034974892787178996,True,98,0.0034658278863894942,1060,990
5,game,C,comparison_slope,-0.008616549808651681,True,98,0.0034658278863894942,1060,990
5,game,C,difference,0.026358342978527315,True,98,0.0034658278863894942,1060,990
5,game,S,base_slope,-0.023982084700626582,True,98,0.0034658278863894942,1060,990
5,game,S,comparison_slope,0.021518313547924193,True,98,0.0034658278863894942,1060,990
5,game,S,difference,0.045500398248550775,True,98,0.0034658278863894942,1060,990
6,condition,C,base_slope,0.08300177300433725,True,97,0.0007002766782606695,1067,990
6,condition,C,comparison_slope,-0.0371794305641283,True,97,0.0007002766782606695,1067,990
6,condition,C,difference,-0.12018120356846555,True,97,0.0007002766782606695,1067,990
6,condition,S,base_slope,-0.030597015230403198,True,97,0.0007002766782606695,1067,990
6,condition,S,comparison_slope,-0.02951562476093642,True,97,0.0007002766782606695,1067,990
6,condition,S,difference,0.0010813904694667786,True,97,0.0007002766782606695,1067,990
6,game,C,base_slope,-0.0312828953062652,True,97,0.0007002766782606695,1067,990
6,game,C,comparison_slope,-0.02241396872761857,True,97,0.0007002766782606695,1067,990
6,game,C,difference,0.008868926578646628,True,97,0.0007002766782606695,1067,990
6,game,S,base_slope,-0.025965680485682555,True,97,0.0007002766782606695,1067,990
6,game,S,comparison_slope,-0.01915426924866029,True,97,0.0007002766782606695,1067,990
6,game,S,difference,0.0068114112370222645,True,97,0.0007002766782606695,1067,990
7,condition,C,base_slope,0.14714857442401222,True,94,0.0004512935005505092,1050,990
7,condition,C,comparison_slope,-0.058455973172000214,True,94,0.0004512935005505092,1050,990
7,condition,C,difference,-0.20560454759601243,True,94,0.0004512935005505092,1050,990
7,condition,S,base_slope,-0.04846224476984771,True,94,0.0004512935005505092,1050,990
7,condition,S,comparison_slope,-0.06717426281210727,True,94,0.0004512935005505092,1050,990
7,condition,S,difference,-0.01871201804225956,True,94,0.0004512935005505092,1050,990
7,game,C,base_slope,-0.04749798424841082,True,94,0.0004512935005505092,1050,990
7,game,C,comparison_slope,-0.024759790720903428,True,94,0.0004512935005505092,1050,990
7,game,C,difference,0.022738193527507392,True,94,0.0004512935005505092,1050,990
7,game,S,base_slope,-0.05744260353713523,True,94,0.0004512935005505092,1050,990
7,game,S,comparison_slope,-0.010240039097519617,True,94,0.0004512935005505092,1050,990
7,game,S,difference,0.04720256443961561,True,94,0.0004512935005505092,1050,990
8,condition,C,base_slope,0.05170119643378912,True,111,0.00048311569172909685,1050,990
8,condition,C,comparison_slope,-0.06268707937761692,True,111,0.00048311569172909685,1050,990
8,condition,C,difference,-0.11438827581140604,True,111,0.00048311569172909685,1050,990
8,condition,S,base_slope,-0.06930661814888403,True,111,0.00048311569172909685,1050,990
8,condition,S,comparison_slope,-0.04194498396523389,True,111,0.00048311569172909685,1050,990
8,condition,S,difference,0.02736163418365014,True,111,0.00048311569172909685,1050,990
8,game,C,base_slope,-0.05686886572529669,True,111,0.00048311569172909685,1050,990
8,game,C,comparison_slope,-0.016131593184285954,True,111,0.00048311569172909685,1050,990
8,game,C,difference,0.040737272541010734,True,111,0.00048311569172909685,1050,990
8,game,S,base_slope,-0.043564636623221395,True,111,0.00048311569172909685,1050,990
8,game,S,comparison_slope,0.008054528860925177,True,111,0.00048311569172909685,1050,990
8,game,S,difference,0.05161916548414657,True,111,0.00048311569172909685,1050,990
9,condition,C,base_slope,-0.004473014775175625,True,106,0.003653774105337959,1058,990
