dimension,category_vs_moral,estimand,point_estimate,bootstrap_standard_error,bootstrap_ci95_low_percentile,bootstrap_ci95_high_percentile,bootstrap_replicates,failed_first_stage_fits
game,S,base_slope,-0.0388519433939338,0.0148368811706137,-0.06664869080612902,-0.008933518906154509,500,0
game,C,base_slope,-0.0441204136625494,0.014122752100490321,-0.07033538038397155,-0.015347240965161466,500,0
condition,S,base_slope,-0.0385689732018857,0.025603364632739226,-0.08628263124889055,0.015543376709550989,500,0
condition,C,base_slope,0.045869482791201,0.06688560855106196,-0.05847438087666604,0.20165724660953302,500,0
game,S,comparison_slope,-0.0052014638907993,0.00959248995955231,-0.02415530293571963,0.013808422273031069,500,0
game,C,comparison_slope,-0.0280971475450411,0.00985787231689597,-0.04820629466662899,-0.009588150707323962,500,0
condition,S,comparison_slope,-0.0435922331079022,0.01748535136404053,-0.07755496317516525,-0.006197098722946085,500,0
condition,C,comparison_slope,-0.0504166951650578,0.014564447551355036,-0.07812510341929012,-0.01965564948213463,500,0
game,S,difference,0.0336504795031344,0.017647814620612032,-0.0027930397045620088,0.06634648466180107,500,0
game,C,difference,0.0160232661175082,0.017443303005604857,-0.0193256770709051,0.04823720938066014,500,0
condition,S,difference,-0.0050232599060165,0.030804857706397307,-0.06614610275060312,0.056672403067952744,500,0
condition,C,difference,-0.0962861779562589,0.06805420874346609,-0.2461389108174717,0.021449686067642828,500,0
