fold,penalty_lambda,n_train,n_test,n_unseen_test_frames,log_loss,accuracy,converged,iterations,gradient_max,message,mean_log_loss,selected
1,0.015625,2294,765,35,1.1953797462174889,0.5764705882352941,True,248,0.0002555514196522779,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2011424155591868,False
2,0.015625,2281,778,52,1.151733266426044,0.5655526992287918,True,260,0.00019465410406738215,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2011424155591868,False
3,0.015625,2299,760,44,1.2668853924063195,0.5552631578947368,True,260,0.00024261369236810992,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2011424155591868,False
4,0.015625,2303,756,47,1.1905712571868947,0.5859788359788359,True,244,0.00024437036662483536,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2011424155591868,False
1,0.03125,2294,765,35,1.0939934894108434,0.5764705882352941,True,206,0.00039801881099688075,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1004157829148065,False
2,0.03125,2281,778,52,1.0577444719586688,0.5604113110539846,True,207,0.00031170229329191557,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1004157829148065,False
3,0.03125,2299,760,44,1.1592329152739778,0.5565789473684211,True,193,0.0003098945840420697,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1004157829148065,False
4,0.03125,2303,756,47,1.0906922550157359,0.58994708994709,True,194,0.0028818816067008868,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1004157829148065,False
1,0.0625,2294,765,35,1.0077083549329342,0.5764705882352941,True,153,0.0007536623122783581,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0140545538531625,False
2,0.0625,2281,778,52,0.9779991800368962,0.5591259640102828,True,169,0.00015682046613330058,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0140545538531625,False
3,0.0625,2299,760,44,1.0658010785885312,0.5552631578947368,True,156,0.00020661318633202752,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0140545538531625,False
