scope,fold,model,n_test_frames,rmse,mae,out_of_sample_r_squared
fold,1.0,cell_only,105,0.18407449545367152,0.14597704851880788,
fold,1.0,cell_plus_representation_weights,105,0.18043861189882368,0.14257688252544373,
fold,2.0,cell_only,108,0.20294253882028976,0.14881256028326392,
fold,2.0,cell_plus_representation_weights,108,0.20273609889581967,0.1485807527555879,
fold,3.0,cell_only,104,0.2019821370270109,0.16237641978962844,
fold,3.0,cell_plus_representation_weights,104,0.19484271757553356,0.1559695937279564,
fold,4.0,cell_only,105,0.17593642125887834,0.14187256944861923,
fold,4.0,cell_plus_representation_weights,105,0.17440146638452195,0.13972774249457717,
fold,5.0,cell_only,108,0.2300655003038622,0.18732151087940765,
fold,5.0,cell_plus_representation_weights,108,0.23234776123194276,0.18851832816079667,
fold,6.0,cell_only,106,0.2262551050758111,0.17991930635187295,
fold,6.0,cell_plus_representation_weights,106,0.2225308227922014,0.17683416992973428,
fold,7.0,cell_only,107,0.21828549346855522,0.1757868002522598,
fold,7.0,cell_plus_representation_weights,107,0.21997766163468405,0.1773745157051553,
fold,8.0,cell_only,107,0.21049492349532767,0.1772043388677328,
fold,8.0,cell_plus_representation_weights,107,0.2088956510473443,0.17589908378247124,
fold,9.0,cell_only,105,0.2096025808506883,0.1695081196486779,
fold,9.0,cell_plus_representation_weights,105,0.20556560042074082,0.16407883668999992,
fold,10.0,cell_only,105,0.21237171829397364,0.17252171946544495,
fold,10.0,cell_plus_representation_weights,105,0.21248548111575033,0.170346363969207,
pooled,,cell_only,1060,0.20793137790791372,0.16619666858150037,0.1339317755156827
pooled,,cell_plus_representation_weights,1060,0.20627825472377867,0.16408383711389038,0.14764809059768658
increment,,representation_weights_minus_cell_only,1060,-0.0016531231841350469,-0.002112831467609988,0.013716315082003883
