replicate,term,coefficient,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
1,b_C_vs_M,-0.017662845664859674,True,110,0.0010230115107092708,1063,990
1,b_S_vs_M,-0.01318499283578567,True,110,0.0010230115107092708,1063,990
2,b_C_vs_M,-0.024642269419440827,True,112,0.0017714581662276463,1075,990
2,b_S_vs_M,-0.027196201917756766,True,112,0.0017714581662276463,1075,990
3,b_C_vs_M,-0.04177216667195189,True,110,0.0016235151929602232,1068,990
3,b_S_vs_M,-0.021455588889564083,True,110,0.0016235151929602232,1068,990
4,b_C_vs_M,-0.04420722774122553,True,111,0.001244385755338584,1059,990
4,b_S_vs_M,-0.02663672305290935,True,111,0.001244385755338584,1059,990
5,b_C_vs_M,-0.020869022229721458,True,98,0.0034658278863894942,1060,990
5,b_S_vs_M,-0.0018801914246847978,True,98,0.0034658278863894942,1060,990
6,b_C_vs_M,-0.026132160751167918,True,97,0.0007002766782606695,1067,990
6,b_S_vs_M,-0.022371520580953146,True,97,0.0007002766782606695,1067,990
7,b_C_vs_M,-0.03485589834559344,True,94,0.0004512935005505092,1050,990
7,b_S_vs_M,-0.0347979824506202,True,94,0.0004512935005505092,1050,990
8,b_C_vs_M,-0.03759599892284538,True,111,0.00048311569172909685,1050,990
8,b_S_vs_M,-0.017531781226454365,True,111,0.00048311569172909685,1050,990
9,b_C_vs_M,-0.034941942435233395,True,106,0.003653774105337959,1058,990
9,b_S_vs_M,-0.01040192666932595,True,106,0.003653774105337959,1058,990
10,b_C_vs_M,-0.02621669871704744,True,104,0.0007895415006257123,1063,990
10,b_S_vs_M,-0.030268574407972253,True,104,0.0007895415006257123,1063,990
11,b_C_vs_M,-0.042384770100889986,True,102,0.005328695326386246,1053,990
11,b_S_vs_M,-0.030129382738915647,True,102,0.005328695326386246,1053,990
12,b_C_vs_M,-0.03570461329369849,True,108,0.0013495871971245244,1065,990
12,b_S_vs_M,-0.026545487768772157,True,108,0.0013495871971245244,1065,990
13,b_C_vs_M,-0.0275098064981446,True,102,0.0010385068503224737,1052,990
13,b_S_vs_M,-0.014976668918681702,True,102,0.0010385068503224737,1052,990
14,b_C_vs_M,-0.044166226632648305,True,112,0.001328566777954343,1059,990
14,b_S_vs_M,-0.020343314280777167,True,112,0.001328566777954343,1059,990
15,b_C_vs_M,-0.04915768117730901,True,104,0.004101873948387014,1069,990
15,b_S_vs_M,-0.03212682657306142,True,104,0.004101873948387014,1069,990
16,b_C_vs_M,-0.03554635971278147,True,113,0.0010715049811973465,1073,990
16,b_S_vs_M,-0.019071427953085446,True,113,0.0010715049811973465,1073,990
17,b_C_vs_M,-0.04145473108615741,True,117,0.0008090070824806617,1071,990
17,b_S_vs_M,-0.04427450031623025,True,117,0.0008090070824806617,1071,990
18,b_C_vs_M,-0.031839415606013485,True,115,0.00040987449317775315,1050,990
18,b_S_vs_M,-0.030254408582180887,True,115,0.00040987449317775315,1050,990
19,b_C_vs_M,-0.04189257465485806,True,103,0.0003538148638486671,1054,990
19,b_S_vs_M,-0.022866520317582902,True,103,0.0003538148638486671,1054,990
20,b_C_vs_M,-0.035238711209295656,True,110,0.00040754816005517114,1061,990
