scope,fold,model,n_test_frames,rmse,mae,out_of_sample_r_squared
fold,1.0,cell_only,105,0.18407449545367152,0.14597704851880788,
fold,1.0,cell_plus_participant_effects,105,0.1807397765839438,0.14315192695411297,
fold,2.0,cell_only,108,0.20294253882028976,0.14881256028326392,
fold,2.0,cell_plus_participant_effects,108,0.20327530935474777,0.14903101956750445,
fold,3.0,cell_only,104,0.2019821370270109,0.16237641978962844,
fold,3.0,cell_plus_participant_effects,104,0.1953467712926657,0.15698548801530793,
fold,4.0,cell_only,105,0.17593642125887834,0.14187256944861923,
fold,4.0,cell_plus_participant_effects,105,0.1750232766959594,0.14026926346906132,
fold,5.0,cell_only,108,0.2300655003038622,0.18732151087940765,
fold,5.0,cell_plus_participant_effects,108,0.23228815530333416,0.18860197546914004,
fold,6.0,cell_only,106,0.2262551050758111,0.17991930635187295,
fold,6.0,cell_plus_participant_effects,106,0.2226881436792835,0.1772029389948935,
fold,7.0,cell_only,107,0.21828549346855522,0.1757868002522598,
fold,7.0,cell_plus_participant_effects,107,0.21885291778198304,0.17591889343963507,
fold,8.0,cell_only,107,0.21049492349532767,0.1772043388677328,
fold,8.0,cell_plus_participant_effects,107,0.20942638086268095,0.17617234478187005,
fold,9.0,cell_only,105,0.2096025808506883,0.1695081196486779,
fold,9.0,cell_plus_participant_effects,105,0.20571853083393377,0.1644712116527182,
fold,10.0,cell_only,105,0.21237171829397364,0.17252171946544495,
fold,10.0,cell_plus_participant_effects,105,0.21227987582181654,0.17100698194768457,
pooled,,cell_only,1060,0.20793137790791372,0.16619666858150037,0.1339317755156827
pooled,,cell_plus_participant_effects,1060,0.2063951745699693,0.16437034298413677,0.14668157963553807
increment,,participant_effects_minus_cell_only,1060,-0.0015362033379444084,-0.0018263255973635928,0.012749804119855379
