treatment_cell,term,category_vs_moral,log_odds_coefficient,odds_ratio
kw_control,Intercept,S,-2.52003667241348,0.0804566561556683
kw_control,Intercept,C,-3.5175550974753067,0.029671891439832003
kw_control,Anchor=6,S,-0.666646211979138,0.5134276209267399
kw_control,Anchor=6,C,-0.04195660606349217,0.9589113906096671
kw_control,Anchor=8,S,0.5729539105198885,1.7734980762649304
kw_control,Anchor=8,C,0.16884318441835455,1.183934464994309
kw_control,Anchor=12,S,3.527167049036018,34.0274328914365
kw_control,Anchor=12,C,1.1015585277232087,3.0088517504487315
lt_control,Intercept,S,-2.5308158241981684,0.07959405903163101
lt_control,Intercept,C,-3.3826149821045584,0.03395853755884324
lt_control,Anchor=6,S,-0.2085712529309982,0.8117431935601338
lt_control,Anchor=6,C,0.12253946879996923,1.130363733293672
lt_control,Anchor=8,S,2.828833092939034,16.9256985792478
lt_control,Anchor=8,C,0.44502474188615754,1.5605288057810816
lt_control,Anchor=12,S,2.4392725956005137,11.464698237038581
lt_control,Anchor=12,C,0.007136394075842783,1.007161918818126
kw_market,Intercept,S,-0.022324529330034468,0.9779228189113256
kw_market,Intercept,C,-0.9738330812077024,0.37763276332007606
kw_market,Anchor=6,S,-0.6661858188216465,0.5136640539121697
kw_market,Anchor=6,C,-0.08341084525065953,0.9199731029865068
kw_market,Anchor=8,S,-0.3874764782096675,0.6787675998928125
kw_market,Anchor=8,C,0.07927771116191479,1.0825049040255763
kw_market,Anchor=12,S,-0.002780201106987516,0.9972236600729957
kw_market,Anchor=12,C,-0.9135833824513723,0.4010844070411331
lt_market,Intercept,S,0.028118119515983014,1.0285171651963918
lt_market,Intercept,C,-0.71671463671882,0.4883540437353488
lt_market,Anchor=6,S,-0.5694371556655573,0.5658438310829615
lt_market,Anchor=6,C,-0.436602610928235,0.6462281844101787
lt_market,Anchor=8,S,-0.6529648819709696,0.5205002649117403
lt_market,Anchor=8,C,-0.9328080136241614,0.3934473522387333
lt_market,Anchor=12,S,0.3458748469551717,1.413225735245541
lt_market,Anchor=12,C,-0.7896806667395467,0.45398974616316
