treatment_cell,fold,penalty_lambda,n_train,n_test,n_unseen_test_rows,log_loss,accuracy,converged,iterations,gradient_max,mean_log_loss,selected
kw_control,1,0.03125,2801,937,15,0.5955403227949196,0.8217716115261473,True,171,0.0005636400642077266,0.6109684389904775,False
kw_control,2,0.03125,2806,932,17,0.6777580975016522,0.8090128755364807,True,159,0.00021266334532898945,0.6109684389904775,False
kw_control,3,0.03125,2802,936,15,0.5785100800741031,0.8141025641025641,True,155,0.0005025300042824851,0.6109684389904775,False
kw_control,4,0.03125,2805,933,14,0.5920652555912352,0.8285101822079314,True,160,0.0003469639185630369,0.6109684389904775,False
kw_control,1,0.0625,2801,937,15,0.5524600997252836,0.8281750266808965,True,135,0.0003467485272408144,0.5662190861720198,False
kw_control,2,0.0625,2806,932,17,0.6240518208775839,0.8133047210300429,True,119,0.00037413341551961743,0.5662190861720198,False
kw_control,3,0.0625,2802,936,15,0.5365958161201622,0.8482905982905983,True,135,0.001066638639011453,0.5662190861720198,False
kw_control,4,0.0625,2805,933,14,0.5517686079650491,0.8295819935691319,True,132,0.0009557763508467598,0.5662190861720198,False
kw_control,1,0.125,2801,937,15,0.5134177985274673,0.8356456776947705,True,112,0.00027823089432343906,0.5258679337197588,False
kw_control,2,0.125,2806,932,17,0.576126002177993,0.8240343347639485,True,112,0.00019717339521753419,0.5258679337197588,False
kw_control,3,0.125,2802,936,15,0.49983719684046746,0.8514957264957265,True,105,0.0010209775058070414,0.5258679337197588,False
kw_control,4,0.125,2805,933,14,0.5140907373331076,0.8317256162915327,True,99,0.00023058781320206556,0.5258679337197588,False
kw_control,1,0.25,2801,937,15,0.48390838841878847,0.83991462113127,True,88,0.0003286810323106515,0.4950205923640826,False
kw_control,2,0.25,2806,932,17,0.5394817404897871,0.8261802575107297,True,86,0.0007807732840434678,0.4950205923640826,False
kw_control,3,0.25,2802,936,15,0.47219373759782407,0.8600427350427351,True,78,0.0005891427688944871,0.4950205923640826,False
kw_control,4,0.25,2805,933,14,0.4844985029499305,0.8403001071811361,True,84,0.0004682181555955012,0.4950205923640826,False
kw_control,1,0.5,2801,937,15,0.4677074744086589,0.8409818569903948,True,57,0.0016955671205818312,0.47765410565681116,False
kw_control,2,0.5,2806,932,17,0.5185179521551414,0.8326180257510729,True,60,0.0005908845457374134,0.47765410565681116,False
kw_control,3,0.5,2802,936,15,0.45677202783609017,0.8600427350427351,True,59,0.00043623266644704506,0.47765410565681116,False
kw_control,4,0.5,2805,933,14,0.46761896822735416,0.842443729903537,True,62,0.0005305319788058149,0.47765410565681116,False
kw_control,1,1.0,2801,937,15,0.4630203168102372,0.8409818569903948,True,33,0.00031114892758710155,0.47231060059046115,True
kw_control,2,1.0,2806,932,17,0.511470410944385,0.8336909871244635,True,44,0.00036837955109314535,0.47231060059046115,True
kw_control,3,1.0,2802,936,15,0.452098830396686,0.8589743589743589,True,38,0.0003023543003839446,0.47231060059046115,True
kw_control,4,1.0,2805,933,14,0.4626528442105365,0.8445873526259379,True,37,0.0005826107590816143,0.47231060059046115,True
kw_control,1,2.0,2801,937,15,0.464080641803369,0.8409818569903948,True,27,0.002204958326353257,0.4729405068931915,False
kw_control,2,2.0,2806,932,17,0.511284282296113,0.8336909871244635,True,25,0.00038291048058725075,0.4729405068931915,False
kw_control,3,2.0,2802,936,15,0.452745619133085,0.8589743589743589,True,29,0.0011388986327696138,0.4729405068931915,False
kw_control,4,2.0,2805,933,14,0.4636514843401991,0.8445873526259379,True,27,0.00029133840970629876,0.4729405068931915,False
kw_control,1,4.0,2801,937,15,0.46634423980314593,0.8409818569903948,True,16,0.0011659617111741127,0.47481225438639163,False
kw_control,2,4.0,2806,932,17,0.5126617178451189,0.8336909871244635,True,16,0.00011589156298486003,0.47481225438639163,False
kw_control,3,4.0,2802,936,15,0.45445541747824014,0.8589743589743589,True,16,0.002055967893492161,0.47481225438639163,False
kw_control,4,4.0,2805,933,14,0.46578764241906156,0.8445873526259379,True,20,0.0002709951299992852,0.47481225438639163,False
kw_control,1,8.0,2801,937,15,0.4681011242450667,0.8409818569903948,True,19,0.0003448418513682938,0.4762912727510418,False
kw_control,2,8.0,2806,932,17,0.5138443819503291,0.8336909871244635,True,13,2.3797888381804633e-05,0.4762912727510418,False
kw_control,3,8.0,2802,936,15,0.4557838650789042,0.8589743589743589,True,15,0.0003757923201428426,0.4762912727510418,False
kw_control,4,8.0,2805,933,14,0.4674357197298672,0.8445873526259379,True,13,0.00029951223848934116,0.4762912727510418,False
kw_control,1,16.0,2801,937,15,0.46916774333047956,0.8409818569903948,True,26,0.000142954650698357,0.47719403797390314,False
kw_control,2,16.0,2806,932,17,0.5145825114565225,0.8336909871244635,True,25,0.0008008758679922678,0.47719403797390314,False
kw_control,3,16.0,2802,936,15,0.4565889639144507,0.8589743589743589,True,24,0.000628123072281439,0.47719403797390314,False
kw_control,4,16.0,2805,933,14,0.4684369331941598,0.8445873526259379,True,24,0.0002722649167546942,0.47719403797390314,False
lt_control,1,0.03125,2601,897,27,0.8657571241191689,0.7034559643255296,True,182,0.00037651650825548666,0.8147260542614089,False
lt_control,2,0.03125,2636,862,8,0.7263035041131932,0.7308584686774942,True,161,0.00296190787249212,0.8147260542614089,False
lt_control,3,0.03125,2633,865,14,0.7769928223880654,0.7271676300578035,True,178,0.000292979274615246,0.8147260542614089,False
lt_control,4,0.03125,2624,874,13,0.889850766425208,0.6910755148741419,True,188,0.0002328712289129259,0.8147260542614089,False
lt_control,1,0.0625,2601,897,27,0.779216565150841,0.7123745819397993,True,146,0.0003281288989778197,0.7354057555043012,False
lt_control,2,0.0625,2636,862,8,0.6575047987962359,0.7308584686774942,True,150,0.0022762497341830557,0.7354057555043012,False
lt_control,3,0.0625,2633,865,14,0.702961405136922,0.7260115606936416,True,139,0.0005425563088731766,0.7354057555043012,False
lt_control,4,0.0625,2624,874,13,0.8019402529332061,0.6956521739130435,True,143,0.0011301805360209305,0.7354057555043012,False
lt_control,1,0.125,2601,897,27,0.7038004887810885,0.7168338907469343,True,118,0.000759555816576496,0.6666189088096051,False
lt_control,2,0.125,2636,862,8,0.5999890146991327,0.7320185614849188,True,117,0.0002951383215154535,0.6666189088096051,False
lt_control,3,0.125,2633,865,14,0.6373753758395574,0.7352601156069364,True,117,0.0003791797682107523,0.6666189088096051,False
lt_control,4,0.125,2624,874,13,0.7253107559186418,0.6979405034324943,True,102,0.001633132988787811,0.6666189088096051,False
lt_control,1,0.25,2601,897,27,0.6464353271286204,0.7224080267558528,True,89,0.0005150197350003438,0.6147331618544482,False
lt_control,2,0.25,2636,862,8,0.5581631845160032,0.7470997679814385,True,95,0.0002458877322640933,0.6147331618544482,False
lt_control,3,0.25,2633,865,14,0.5870203916603522,0.7410404624277457,True,86,0.000702683846047103,0.6147331618544482,False
lt_control,4,0.25,2624,874,13,0.6673137441128167,0.7025171624713958,True,81,0.001058423375300599,0.6147331618544482,False
lt_control,1,0.5,2601,897,27,0.611384222265745,0.7212931995540691,True,59,0.0011026424402307278,0.5835417359332759,False
lt_control,2,0.5,2636,862,8,0.5338857038134192,0.7470997679814385,True,76,0.00041467787641184806,0.5835417359332759,False
lt_control,3,0.5,2633,865,14,0.5562909657313841,0.7433526011560694,True,66,0.00041082459771563107,0.5835417359332759,False
lt_control,4,0.5,2624,874,13,0.632606051922555,0.7025171624713958,True,69,0.00044063549206474484,0.5835417359332759,False
lt_control,1,1.0,2601,897,27,0.595578333581147,0.7212931995540691,True,44,0.00020569303438305875,0.5699701207586249,False
lt_control,2,1.0,2636,862,8,0.5238181525646013,0.7470997679814385,True,36,0.0003300647796754541,0.5699701207586249,False
lt_control,3,1.0,2633,865,14,0.5427531321033183,0.7433526011560694,True,39,0.002300744924544018,0.5699701207586249,False
lt_control,4,1.0,2624,874,13,0.6177308647854328,0.7025171624713958,True,43,0.0012049144827304126,0.5699701207586249,False
lt_control,1,2.0,2601,897,27,0.5907833962872815,0.7235228539576366,True,23,0.0017101137731520277,0.5663437564646132,True
lt_control,2,2.0,2636,862,8,0.5216206001611426,0.7470997679814385,True,31,0.0003772411829957578,0.5663437564646132,True
lt_control,3,2.0,2633,865,14,0.5391119219598138,0.7468208092485549,True,35,0.00017834545955308645,0.5663437564646132,True
lt_control,4,2.0,2624,874,13,0.6138591074502149,0.6990846681922197,True,26,0.0013614021839574164,0.5663437564646132,True
lt_control,1,4.0,2601,897,27,0.5902073604851819,0.7146042363433668,True,23,0.0003920922209679212,0.5663828838420298,False
lt_control,2,4.0,2636,862,8,0.522211646859465,0.7575406032482599,True,24,0.0023682030911962304,0.5663828838420298,False
lt_control,3,4.0,2633,865,14,0.5391573835273519,0.7468208092485549,True,19,0.00023077046370267862,0.5663828838420298,False
lt_control,4,4.0,2624,874,13,0.6139551444961207,0.6956521739130435,True,24,0.0002635729124222941,0.5663828838420298,False
lt_control,1,8.0,2601,897,27,0.5906551084519833,0.7112597547380156,True,14,0.00038926315249993015,0.5671550080308034,False
lt_control,2,8.0,2636,862,8,0.5232060204980755,0.7587006960556845,True,14,0.001451993304273591,0.5671550080308034,False
lt_control,3,8.0,2633,865,14,0.5399385626026896,0.7456647398843931,True,15,0.0006960493344692065,0.5671550080308034,False
lt_control,4,8.0,2624,874,13,0.6148203405704651,0.6990846681922197,True,19,0.0002410494074024383,0.5671550080308034,False
lt_control,1,16.0,2601,897,27,0.5911192223666139,0.7146042363433668,True,27,0.0007074336237537504,0.5677872457459355,False
lt_control,2,16.0,2636,862,8,0.5239344860769416,0.7610208816705336,True,29,0.00028959126719430017,0.5677872457459355,False
lt_control,3,16.0,2633,865,14,0.5405758307889679,0.7445086705202312,True,34,0.00030680754590806103,0.5677872457459355,False
lt_control,4,16.0,2624,874,13,0.6155194437512189,0.700228832951945,True,29,0.0001581192233566231,0.5677872457459355,False
kw_market,1,0.03125,850,277,22,1.200320832151682,0.5667870036101083,True,153,0.00040137905347459313,1.2303297720422808,False
kw_market,2,0.03125,853,274,18,1.1863190451250145,0.5693430656934306,True,156,0.0004890122147589437,1.2303297720422808,False
kw_market,3,0.03125,835,292,26,1.3410912029836812,0.523972602739726,True,147,5.177510935117091e-05,1.2303297720422808,False
kw_market,4,0.03125,843,284,30,1.1935880079087455,0.5492957746478874,True,153,0.0004494257108454969,1.2303297720422808,False
kw_market,1,0.0625,850,277,22,1.0862702146480385,0.5703971119133574,True,117,0.0002226101830602456,1.1180647925988325,False
kw_market,2,0.0625,853,274,18,1.0850325631535678,0.5693430656934306,True,114,0.00019034232076503566,1.1180647925988325,False
kw_market,3,0.0625,835,292,26,1.2132280305781176,0.5308219178082192,True,116,0.00015236249178404715,1.1180647925988325,False
kw_market,4,0.0625,843,284,30,1.087728362015606,0.5492957746478874,True,115,0.00011572770646267605,1.1180647925988325,False
kw_market,1,0.125,850,277,22,0.9982668500145884,0.5703971119133574,True,93,0.0004708533825870109,1.029804223741458,False
kw_market,2,0.125,853,274,18,1.0070004687042242,0.5693430656934306,True,100,8.638587514453455e-05,1.029804223741458,False
kw_market,3,0.125,835,292,26,1.1084995521729626,0.5034246575342466,True,90,9.547947113919264e-05,1.029804223741458,False
kw_market,4,0.125,843,284,30,1.0054500240740567,0.5528169014084507,True,87,0.0005392373963983843,1.029804223741458,False
kw_market,1,0.25,850,277,22,0.9417835202354798,0.5631768953068592,True,69,0.0006935488003838586,0.972346028893877,False
kw_market,2,0.25,853,274,18,0.9588109285334194,0.5656934306569343,True,71,0.0002764048868204583,0.972346028893877,False
kw_market,3,0.25,835,292,26,1.035534607622806,0.5034246575342466,True,72,0.000263856851345029,0.972346028893877,False
kw_market,4,0.25,843,284,30,0.9532550591838029,0.5563380281690141,True,68,0.0005798245934956481,0.972346028893877,False
kw_market,1,0.5,850,277,22,0.9180414028433521,0.5667870036101083,True,55,0.0005529783240452169,0.9485728994756597,True
kw_market,2,0.5,853,274,18,0.943096078684153,0.5583941605839416,True,56,0.0003219456151973832,0.9485728994756597,True
kw_market,3,0.5,835,292,26,0.9990838058420717,0.5171232876712328,True,54,0.00013735851282506428,0.9485728994756597,True
kw_market,4,0.5,843,284,30,0.9340703105330618,0.5598591549295775,True,57,0.00012886099991893385,0.9485728994756597,True
kw_market,1,1.0,850,277,22,0.9206083764142262,0.5740072202166066,True,41,0.0007234059946972238,0.9528453174469902,False
kw_market,2,1.0,853,274,18,0.9539281026681846,0.5364963503649635,True,38,0.0002897469286873289,0.9528453174469902,False
kw_market,3,1.0,835,292,26,0.9942440918591734,0.4828767123287671,True,35,0.00013215325540594236,0.9528453174469902,False
kw_market,4,1.0,843,284,30,0.9426006988463764,0.5352112676056338,True,39,0.00046065429114688916,0.9528453174469902,False
kw_market,1,2.0,850,277,22,0.9367670175496349,0.5703971119133574,True,26,0.0014993203135986732,0.9717971468752876,False
kw_market,2,2.0,853,274,18,0.9776331145899814,0.49635036496350365,True,25,0.000497831482544786,0.9717971468752876,False
kw_market,3,2.0,835,292,26,1.0072759148400274,0.4280821917808219,True,31,0.00014723389810700205,0.9717971468752876,False
kw_market,4,2.0,843,284,30,0.9655125405215067,0.49295774647887325,True,25,7.035222177620426e-05,0.9717971468752876,False
kw_market,1,4.0,850,277,22,0.9543683130295294,0.5812274368231047,True,23,8.261697420541836e-05,0.9920437033825706,False
kw_market,2,4.0,853,274,18,1.0008992523541311,0.4927007299270073,True,19,0.0006468060717388369,0.9920437033825706,False
kw_market,3,4.0,835,292,26,1.0239998298202937,0.4143835616438356,True,21,0.00022576827853093562,0.9920437033825706,False
kw_market,4,4.0,843,284,30,0.9889074183263282,0.4753521126760563,True,19,0.0007842468947337755,0.9920437033825706,False
kw_market,1,8.0,850,277,22,0.9674210203575972,0.5595667870036101,True,16,0.0003419568669347228,1.0069434338602308,False
kw_market,2,8.0,853,274,18,1.0175291471891479,0.5,True,13,0.00015139359933069585,1.0069434338602308,False
kw_market,3,8.0,835,292,26,1.036942845228042,0.410958904109589,True,16,0.0001261195412007865,1.0069434338602308,False
kw_market,4,8.0,843,284,30,1.005880722666136,0.45774647887323944,True,15,0.00021635715391410404,1.0069434338602308,False
kw_market,1,16.0,850,277,22,0.9754142571186363,0.5487364620938628,True,22,0.00047599918442564615,1.016028345227218,False
kw_market,2,16.0,853,274,18,1.0275438941695543,0.49635036496350365,True,23,6.375463916907798e-05,1.016028345227218,False
kw_market,3,16.0,835,292,26,1.0449900093265414,0.3835616438356164,True,21,0.0005449788485445417,1.016028345227218,False
kw_market,4,16.0,843,284,30,1.0161652202941402,0.46830985915492956,True,21,0.00014559037471961744,1.016028345227218,False
lt_market,1,0.03125,824,280,33,1.3784643199929576,0.48214285714285715,True,154,0.0001884391300955579,1.3728737146765804,False
lt_market,2,0.03125,821,283,31,1.2654681511584225,0.5512367491166078,True,153,0.00013932585997034064,1.3728737146765804,False
lt_market,3,0.03125,823,281,35,1.3901253995827898,0.47686832740213525,True,160,0.00029169656236305297,1.3728737146765804,False
lt_market,4,0.03125,844,260,14,1.4574369879721516,0.41923076923076924,True,139,0.0001463638420400315,1.3728737146765804,False
lt_market,1,0.0625,824,280,33,1.2385459631310454,0.4785714285714286,True,126,0.00017384386568630728,1.2369156214958907,False
lt_market,2,0.0625,821,283,31,1.1482889829631664,0.5512367491166078,True,118,0.00013654135447094262,1.2369156214958907,False
lt_market,3,0.0625,823,281,35,1.2585136553565943,0.47686832740213525,True,117,0.000779826571288833,1.2369156214958907,False
lt_market,4,0.0625,844,260,14,1.3023138845327569,0.41923076923076924,True,118,0.0001492909859482916,1.2369156214958907,False
lt_market,1,0.125,824,280,33,1.1256682794985295,0.4785714285714286,True,90,0.0002623165941776362,1.1254427646546266,False
lt_market,2,0.125,821,283,31,1.0544320059029,0.5547703180212014,True,96,0.0001707947000884058,1.1254427646546266,False
lt_market,3,0.125,823,281,35,1.149354776509583,0.4804270462633452,True,92,0.0002689062974461365,1.1254427646546266,False
lt_market,4,0.125,844,260,14,1.1723159967074934,0.4346153846153846,True,91,0.0006041426133301941,1.1254427646546266,False
lt_market,1,0.25,824,280,33,1.045624068147347,0.475,True,71,0.0006804148766931251,1.044300956717576,False
lt_market,2,0.25,821,283,31,0.9899686667309484,0.5441696113074205,True,79,0.00012626545797345123,1.044300956717576,False
lt_market,3,0.25,823,281,35,1.0683898482618135,0.48398576512455516,True,73,0.0004243168088229332,1.044300956717576,False
lt_market,4,0.25,844,260,14,1.073221243730195,0.45,True,72,0.00038313452242245624,1.044300956717576,False
lt_market,1,0.5,824,280,33,1.0002792424659457,0.4785714285714286,True,51,0.00012036627922240584,0.9961580060031348,False
lt_market,2,0.5,821,283,31,0.9567400157144534,0.5477031802120141,True,53,0.0003297471837326871,0.9961580060031348,False
lt_market,3,0.5,823,281,35,1.0188837596767215,0.48398576512455516,True,47,9.21732125638286e-05,0.9961580060031348,False
lt_market,4,0.5,844,260,14,1.0087290061554184,0.47692307692307695,True,47,0.0008337281318746559,0.9961580060031348,False
lt_market,1,1.0,824,280,33,0.9838697307113287,0.475,True,35,9.963431352844054e-05,0.976359867901002,False
lt_market,2,1.0,821,283,31,0.9486548885123142,0.5335689045936396,True,36,8.30305826655664e-05,0.976359867901002,False
lt_market,3,1.0,823,281,35,0.9973001094189404,0.4875444839857651,True,39,0.00029273646842753465,0.976359867901002,False
lt_market,4,1.0,844,260,14,0.9756147429614249,0.4653846153846154,True,41,0.000336068984140514,0.976359867901002,False
lt_market,1,2.0,824,280,33,0.9842155282974184,0.4785714285714286,True,26,0.00020704558778006366,0.9737989967607268,True
lt_market,2,2.0,821,283,31,0.9540697258948712,0.5300353356890459,True,25,0.00031055786918199324,0.9737989967607268,True
lt_market,3,2.0,823,281,35,0.9935099732106301,0.49110320284697506,True,28,0.0004387765907791774,0.9737989967607268,True
lt_market,4,2.0,844,260,14,0.9634007596399876,0.5346153846153846,True,25,0.0003258939862176291,0.9737989967607268,True
lt_market,1,4.0,824,280,33,0.9899604225440258,0.4714285714285714,True,19,5.5128497883583094e-05,0.9775834226515114,False
lt_market,2,4.0,821,283,31,0.9627031487426183,0.5335689045936396,True,20,3.541276061547194e-05,0.9775834226515114,False
lt_market,3,4.0,823,281,35,0.996734137949254,0.4804270462633452,True,16,0.0004221002728579393,0.9775834226515114,False
lt_market,4,4.0,844,260,14,0.9609359813701476,0.5346153846153846,True,20,0.00010400515601571847,0.9775834226515114,False
lt_market,1,8.0,824,280,33,0.9952763641078588,0.4785714285714286,True,13,0.00014429499656554157,0.9817610052039729,False
lt_market,2,8.0,821,283,31,0.9695922407334764,0.519434628975265,True,15,9.402911195088848e-05,0.9817610052039729,False
lt_market,3,8.0,823,281,35,1.0007095045521204,0.47330960854092524,True,12,0.00014183276080537155,0.9817610052039729,False
lt_market,4,8.0,844,260,14,0.9614659114224364,0.5346153846153846,True,16,0.0001406917678923314,0.9817610052039729,False
lt_market,1,16.0,824,280,33,0.9987692805956946,0.4785714285714286,True,20,0.00036130267227107993,0.9846425480856662,False
lt_market,2,16.0,821,283,31,0.9739113107248474,0.5017667844522968,True,20,0.0001431767621820068,0.9846425480856662,False
lt_market,3,16.0,823,281,35,1.0035231317445474,0.45907473309608543,True,18,0.00016616008426595386,0.9846425480856662,False
lt_market,4,16.0,844,260,14,0.9623664692775754,0.5346153846153846,True,19,0.0001168775170274916,0.9846425480856662,False
