treatment_cell,fold,penalty_lambda,n_train,n_test,n_unseen_test_rows,log_loss,accuracy,converged,iterations,gradient_max,mean_log_loss,selected
kw_control,1,0.03125,2801,937,15,0.5955403227949196,0.8217716115261473,True,171,0.0005636400642077266,0.6109684389904775,False
kw_control,2,0.03125,2806,932,17,0.6777580975016522,0.8090128755364807,True,159,0.00021266334532898945,0.6109684389904775,False
kw_control,3,0.03125,2802,936,15,0.5785100800741031,0.8141025641025641,True,155,0.0005025300042824851,0.6109684389904775,False
kw_control,4,0.03125,2805,933,14,0.5920652555912352,0.8285101822079314,True,160,0.0003469639185630369,0.6109684389904775,False
kw_control,1,0.0625,2801,937,15,0.5524600997252836,0.8281750266808965,True,135,0.0003467485272408144,0.5662190861720198,False
kw_control,2,0.0625,2806,932,17,0.6240518208775839,0.8133047210300429,True,119,0.00037413341551961743,0.5662190861720198,False
kw_control,3,0.0625,2802,936,15,0.5365958161201622,0.8482905982905983,True,135,0.001066638639011453,0.5662190861720198,False
kw_control,4,0.0625,2805,933,14,0.5517686079650491,0.8295819935691319,True,132,0.0009557763508467598,0.5662190861720198,False
kw_control,1,0.125,2801,937,15,0.5134177985274673,0.8356456776947705,True,112,0.00027823089432343906,0.5258679337197588,False
kw_control,2,0.125,2806,932,17,0.576126002177993,0.8240343347639485,True,112,0.00019717339521753419,0.5258679337197588,False
kw_control,3,0.125,2802,936,15,0.49983719684046746,0.8514957264957265,True,105,0.0010209775058070414,0.5258679337197588,False
kw_control,4,0.125,2805,933,14,0.5140907373331076,0.8317256162915327,True,99,0.00023058781320206556,0.5258679337197588,False
kw_control,1,0.25,2801,937,15,0.48390838841878847,0.83991462113127,True,88,0.0003286810323106515,0.4950205923640826,False
kw_control,2,0.25,2806,932,17,0.5394817404897871,0.8261802575107297,True,86,0.0007807732840434678,0.4950205923640826,False
kw_control,3,0.25,2802,936,15,0.47219373759782407,0.8600427350427351,True,78,0.0005891427688944871,0.4950205923640826,False
kw_control,4,0.25,2805,933,14,0.4844985029499305,0.8403001071811361,True,84,0.0004682181555955012,0.4950205923640826,False
kw_control,1,0.5,2801,937,15,0.4677074744086589,0.8409818569903948,True,57,0.0016955671205818312,0.47765410565681116,False
kw_control,2,0.5,2806,932,17,0.5185179521551414,0.8326180257510729,True,60,0.0005908845457374134,0.47765410565681116,False
kw_control,3,0.5,2802,936,15,0.45677202783609017,0.8600427350427351,True,59,0.00043623266644704506,0.47765410565681116,False
kw_control,4,0.5,2805,933,14,0.46761896822735416,0.842443729903537,True,62,0.0005305319788058149,0.47765410565681116,False
kw_control,1,1.0,2801,937,15,0.4630203168102372,0.8409818569903948,True,33,0.00031114892758710155,0.47231060059046115,True
kw_control,2,1.0,2806,932,17,0.511470410944385,0.8336909871244635,True,44,0.00036837955109314535,0.47231060059046115,True
kw_control,3,1.0,2802,936,15,0.452098830396686,0.8589743589743589,True,38,0.0003023543003839446,0.47231060059046115,True
kw_control,4,1.0,2805,933,14,0.4626528442105365,0.8445873526259379,True,37,0.0005826107590816143,0.47231060059046115,True
kw_control,1,2.0,2801,937,15,0.464080641803369,0.8409818569903948,True,27,0.002204958326353257,0.4729405068931915,False
kw_control,2,2.0,2806,932,17,0.511284282296113,0.8336909871244635,True,25,0.00038291048058725075,0.4729405068931915,False
kw_control,3,2.0,2802,936,15,0.452745619133085,0.8589743589743589,True,29,0.0011388986327696138,0.4729405068931915,False
kw_control,4,2.0,2805,933,14,0.4636514843401991,0.8445873526259379,True,27,0.00029133840970629876,0.4729405068931915,False
kw_control,1,4.0,2801,937,15,0.46634423980314593,0.8409818569903948,True,16,0.0011659617111741127,0.47481225438639163,False
kw_control,2,4.0,2806,932,17,0.5126617178451189,0.8336909871244635,True,16,0.00011589156298486003,0.47481225438639163,False
kw_control,3,4.0,2802,936,15,0.45445541747824014,0.8589743589743589,True,16,0.002055967893492161,0.47481225438639163,False
kw_control,4,4.0,2805,933,14,0.46578764241906156,0.8445873526259379,True,20,0.0002709951299992852,0.47481225438639163,False
kw_control,1,8.0,2801,937,15,0.4681011242450667,0.8409818569903948,True,19,0.0003448418513682938,0.4762912727510418,False
kw_control,2,8.0,2806,932,17,0.5138443819503291,0.8336909871244635,True,13,2.3797888381804633e-05,0.4762912727510418,False
kw_control,3,8.0,2802,936,15,0.4557838650789042,0.8589743589743589,True,15,0.0003757923201428426,0.4762912727510418,False
kw_control,4,8.0,2805,933,14,0.4674357197298672,0.8445873526259379,True,13,0.00029951223848934116,0.4762912727510418,False
kw_control,1,16.0,2801,937,15,0.46916774333047956,0.8409818569903948,True,26,0.000142954650698357,0.47719403797390314,False
kw_control,2,16.0,2806,932,17,0.5145825114565225,0.8336909871244635,True,25,0.0008008758679922678,0.47719403797390314,False
kw_control,3,16.0,2802,936,15,0.4565889639144507,0.8589743589743589,True,24,0.000628123072281439,0.47719403797390314,False
kw_control,4,16.0,2805,933,14,0.4684369331941598,0.8445873526259379,True,24,0.0002722649167546942,0.47719403797390314,False
