treatment_cell,fold,penalty_lambda,n_train,n_test,n_unseen_test_rows,log_loss,accuracy,converged,iterations,gradient_max,mean_log_loss,selected
kw_market,1,0.03125,850,277,22,1.200320832151682,0.5667870036101083,True,153,0.00040137905347459313,1.2303297720422808,False
kw_market,2,0.03125,853,274,18,1.1863190451250145,0.5693430656934306,True,156,0.0004890122147589437,1.2303297720422808,False
kw_market,3,0.03125,835,292,26,1.3410912029836812,0.523972602739726,True,147,5.177510935117091e-05,1.2303297720422808,False
kw_market,4,0.03125,843,284,30,1.1935880079087455,0.5492957746478874,True,153,0.0004494257108454969,1.2303297720422808,False
kw_market,1,0.0625,850,277,22,1.0862702146480385,0.5703971119133574,True,117,0.0002226101830602456,1.1180647925988325,False
kw_market,2,0.0625,853,274,18,1.0850325631535678,0.5693430656934306,True,114,0.00019034232076503566,1.1180647925988325,False
kw_market,3,0.0625,835,292,26,1.2132280305781176,0.5308219178082192,True,116,0.00015236249178404715,1.1180647925988325,False
kw_market,4,0.0625,843,284,30,1.087728362015606,0.5492957746478874,True,115,0.00011572770646267605,1.1180647925988325,False
kw_market,1,0.125,850,277,22,0.9982668500145884,0.5703971119133574,True,93,0.0004708533825870109,1.029804223741458,False
kw_market,2,0.125,853,274,18,1.0070004687042242,0.5693430656934306,True,100,8.638587514453455e-05,1.029804223741458,False
kw_market,3,0.125,835,292,26,1.1084995521729626,0.5034246575342466,True,90,9.547947113919264e-05,1.029804223741458,False
kw_market,4,0.125,843,284,30,1.0054500240740567,0.5528169014084507,True,87,0.0005392373963983843,1.029804223741458,False
kw_market,1,0.25,850,277,22,0.9417835202354798,0.5631768953068592,True,69,0.0006935488003838586,0.972346028893877,False
kw_market,2,0.25,853,274,18,0.9588109285334194,0.5656934306569343,True,71,0.0002764048868204583,0.972346028893877,False
kw_market,3,0.25,835,292,26,1.035534607622806,0.5034246575342466,True,72,0.000263856851345029,0.972346028893877,False
kw_market,4,0.25,843,284,30,0.9532550591838029,0.5563380281690141,True,68,0.0005798245934956481,0.972346028893877,False
kw_market,1,0.5,850,277,22,0.9180414028433521,0.5667870036101083,True,55,0.0005529783240452169,0.9485728994756597,True
kw_market,2,0.5,853,274,18,0.943096078684153,0.5583941605839416,True,56,0.0003219456151973832,0.9485728994756597,True
kw_market,3,0.5,835,292,26,0.9990838058420717,0.5171232876712328,True,54,0.00013735851282506428,0.9485728994756597,True
kw_market,4,0.5,843,284,30,0.9340703105330618,0.5598591549295775,True,57,0.00012886099991893385,0.9485728994756597,True
kw_market,1,1.0,850,277,22,0.9206083764142262,0.5740072202166066,True,41,0.0007234059946972238,0.9528453174469902,False
kw_market,2,1.0,853,274,18,0.9539281026681846,0.5364963503649635,True,38,0.0002897469286873289,0.9528453174469902,False
kw_market,3,1.0,835,292,26,0.9942440918591734,0.4828767123287671,True,35,0.00013215325540594236,0.9528453174469902,False
kw_market,4,1.0,843,284,30,0.9426006988463764,0.5352112676056338,True,39,0.00046065429114688916,0.9528453174469902,False
kw_market,1,2.0,850,277,22,0.9367670175496349,0.5703971119133574,True,26,0.0014993203135986732,0.9717971468752876,False
kw_market,2,2.0,853,274,18,0.9776331145899814,0.49635036496350365,True,25,0.000497831482544786,0.9717971468752876,False
kw_market,3,2.0,835,292,26,1.0072759148400274,0.4280821917808219,True,31,0.00014723389810700205,0.9717971468752876,False
kw_market,4,2.0,843,284,30,0.9655125405215067,0.49295774647887325,True,25,7.035222177620426e-05,0.9717971468752876,False
kw_market,1,4.0,850,277,22,0.9543683130295294,0.5812274368231047,True,23,8.261697420541836e-05,0.9920437033825706,False
kw_market,2,4.0,853,274,18,1.0008992523541311,0.4927007299270073,True,19,0.0006468060717388369,0.9920437033825706,False
kw_market,3,4.0,835,292,26,1.0239998298202937,0.4143835616438356,True,21,0.00022576827853093562,0.9920437033825706,False
kw_market,4,4.0,843,284,30,0.9889074183263282,0.4753521126760563,True,19,0.0007842468947337755,0.9920437033825706,False
kw_market,1,8.0,850,277,22,0.9674210203575972,0.5595667870036101,True,16,0.0003419568669347228,1.0069434338602308,False
kw_market,2,8.0,853,274,18,1.0175291471891479,0.5,True,13,0.00015139359933069585,1.0069434338602308,False
kw_market,3,8.0,835,292,26,1.036942845228042,0.410958904109589,True,16,0.0001261195412007865,1.0069434338602308,False
kw_market,4,8.0,843,284,30,1.005880722666136,0.45774647887323944,True,15,0.00021635715391410404,1.0069434338602308,False
kw_market,1,16.0,850,277,22,0.9754142571186363,0.5487364620938628,True,22,0.00047599918442564615,1.016028345227218,False
kw_market,2,16.0,853,274,18,1.0275438941695543,0.49635036496350365,True,23,6.375463916907798e-05,1.016028345227218,False
kw_market,3,16.0,835,292,26,1.0449900093265414,0.3835616438356164,True,21,0.0005449788485445417,1.016028345227218,False
kw_market,4,16.0,843,284,30,1.0161652202941402,0.46830985915492956,True,21,0.00014559037471961744,1.016028345227218,False
