treatment_cell,fold,penalty_lambda,n_train,n_test,n_unseen_test_rows,log_loss,accuracy,converged,iterations,gradient_max,mean_log_loss,selected
lt_control,1,0.03125,2601,897,27,0.8657571241191689,0.7034559643255296,True,182,0.00037651650825548666,0.8147260542614089,False
lt_control,2,0.03125,2636,862,8,0.7263035041131932,0.7308584686774942,True,161,0.00296190787249212,0.8147260542614089,False
lt_control,3,0.03125,2633,865,14,0.7769928223880654,0.7271676300578035,True,178,0.000292979274615246,0.8147260542614089,False
lt_control,4,0.03125,2624,874,13,0.889850766425208,0.6910755148741419,True,188,0.0002328712289129259,0.8147260542614089,False
lt_control,1,0.0625,2601,897,27,0.779216565150841,0.7123745819397993,True,146,0.0003281288989778197,0.7354057555043012,False
lt_control,2,0.0625,2636,862,8,0.6575047987962359,0.7308584686774942,True,150,0.0022762497341830557,0.7354057555043012,False
lt_control,3,0.0625,2633,865,14,0.702961405136922,0.7260115606936416,True,139,0.0005425563088731766,0.7354057555043012,False
lt_control,4,0.0625,2624,874,13,0.8019402529332061,0.6956521739130435,True,143,0.0011301805360209305,0.7354057555043012,False
lt_control,1,0.125,2601,897,27,0.7038004887810885,0.7168338907469343,True,118,0.000759555816576496,0.6666189088096051,False
lt_control,2,0.125,2636,862,8,0.5999890146991327,0.7320185614849188,True,117,0.0002951383215154535,0.6666189088096051,False
lt_control,3,0.125,2633,865,14,0.6373753758395574,0.7352601156069364,True,117,0.0003791797682107523,0.6666189088096051,False
lt_control,4,0.125,2624,874,13,0.7253107559186418,0.6979405034324943,True,102,0.001633132988787811,0.6666189088096051,False
lt_control,1,0.25,2601,897,27,0.6464353271286204,0.7224080267558528,True,89,0.0005150197350003438,0.6147331618544482,False
lt_control,2,0.25,2636,862,8,0.5581631845160032,0.7470997679814385,True,95,0.0002458877322640933,0.6147331618544482,False
lt_control,3,0.25,2633,865,14,0.5870203916603522,0.7410404624277457,True,86,0.000702683846047103,0.6147331618544482,False
lt_control,4,0.25,2624,874,13,0.6673137441128167,0.7025171624713958,True,81,0.001058423375300599,0.6147331618544482,False
lt_control,1,0.5,2601,897,27,0.611384222265745,0.7212931995540691,True,59,0.0011026424402307278,0.5835417359332759,False
lt_control,2,0.5,2636,862,8,0.5338857038134192,0.7470997679814385,True,76,0.00041467787641184806,0.5835417359332759,False
lt_control,3,0.5,2633,865,14,0.5562909657313841,0.7433526011560694,True,66,0.00041082459771563107,0.5835417359332759,False
lt_control,4,0.5,2624,874,13,0.632606051922555,0.7025171624713958,True,69,0.00044063549206474484,0.5835417359332759,False
lt_control,1,1.0,2601,897,27,0.595578333581147,0.7212931995540691,True,44,0.00020569303438305875,0.5699701207586249,False
lt_control,2,1.0,2636,862,8,0.5238181525646013,0.7470997679814385,True,36,0.0003300647796754541,0.5699701207586249,False
lt_control,3,1.0,2633,865,14,0.5427531321033183,0.7433526011560694,True,39,0.002300744924544018,0.5699701207586249,False
lt_control,4,1.0,2624,874,13,0.6177308647854328,0.7025171624713958,True,43,0.0012049144827304126,0.5699701207586249,False
lt_control,1,2.0,2601,897,27,0.5907833962872815,0.7235228539576366,True,23,0.0017101137731520277,0.5663437564646132,True
lt_control,2,2.0,2636,862,8,0.5216206001611426,0.7470997679814385,True,31,0.0003772411829957578,0.5663437564646132,True
lt_control,3,2.0,2633,865,14,0.5391119219598138,0.7468208092485549,True,35,0.00017834545955308645,0.5663437564646132,True
lt_control,4,2.0,2624,874,13,0.6138591074502149,0.6990846681922197,True,26,0.0013614021839574164,0.5663437564646132,True
lt_control,1,4.0,2601,897,27,0.5902073604851819,0.7146042363433668,True,23,0.0003920922209679212,0.5663828838420298,False
lt_control,2,4.0,2636,862,8,0.522211646859465,0.7575406032482599,True,24,0.0023682030911962304,0.5663828838420298,False
lt_control,3,4.0,2633,865,14,0.5391573835273519,0.7468208092485549,True,19,0.00023077046370267862,0.5663828838420298,False
lt_control,4,4.0,2624,874,13,0.6139551444961207,0.6956521739130435,True,24,0.0002635729124222941,0.5663828838420298,False
lt_control,1,8.0,2601,897,27,0.5906551084519833,0.7112597547380156,True,14,0.00038926315249993015,0.5671550080308034,False
lt_control,2,8.0,2636,862,8,0.5232060204980755,0.7587006960556845,True,14,0.001451993304273591,0.5671550080308034,False
lt_control,3,8.0,2633,865,14,0.5399385626026896,0.7456647398843931,True,15,0.0006960493344692065,0.5671550080308034,False
lt_control,4,8.0,2624,874,13,0.6148203405704651,0.6990846681922197,True,19,0.0002410494074024383,0.5671550080308034,False
lt_control,1,16.0,2601,897,27,0.5911192223666139,0.7146042363433668,True,27,0.0007074336237537504,0.5677872457459355,False
lt_control,2,16.0,2636,862,8,0.5239344860769416,0.7610208816705336,True,29,0.00028959126719430017,0.5677872457459355,False
lt_control,3,16.0,2633,865,14,0.5405758307889679,0.7445086705202312,True,34,0.00030680754590806103,0.5677872457459355,False
lt_control,4,16.0,2624,874,13,0.6155194437512189,0.700228832951945,True,29,0.0001581192233566231,0.5677872457459355,False
