treatment_cell,fold,penalty_lambda,n_train,n_test,n_unseen_test_rows,log_loss,accuracy,converged,iterations,gradient_max,mean_log_loss,selected
lt_market,1,0.03125,824,280,33,1.3784643199929576,0.48214285714285715,True,154,0.0001884391300955579,1.3728737146765804,False
lt_market,2,0.03125,821,283,31,1.2654681511584225,0.5512367491166078,True,153,0.00013932585997034064,1.3728737146765804,False
lt_market,3,0.03125,823,281,35,1.3901253995827898,0.47686832740213525,True,160,0.00029169656236305297,1.3728737146765804,False
lt_market,4,0.03125,844,260,14,1.4574369879721516,0.41923076923076924,True,139,0.0001463638420400315,1.3728737146765804,False
lt_market,1,0.0625,824,280,33,1.2385459631310454,0.4785714285714286,True,126,0.00017384386568630728,1.2369156214958907,False
lt_market,2,0.0625,821,283,31,1.1482889829631664,0.5512367491166078,True,118,0.00013654135447094262,1.2369156214958907,False
lt_market,3,0.0625,823,281,35,1.2585136553565943,0.47686832740213525,True,117,0.000779826571288833,1.2369156214958907,False
lt_market,4,0.0625,844,260,14,1.3023138845327569,0.41923076923076924,True,118,0.0001492909859482916,1.2369156214958907,False
lt_market,1,0.125,824,280,33,1.1256682794985295,0.4785714285714286,True,90,0.0002623165941776362,1.1254427646546266,False
lt_market,2,0.125,821,283,31,1.0544320059029,0.5547703180212014,True,96,0.0001707947000884058,1.1254427646546266,False
lt_market,3,0.125,823,281,35,1.149354776509583,0.4804270462633452,True,92,0.0002689062974461365,1.1254427646546266,False
lt_market,4,0.125,844,260,14,1.1723159967074934,0.4346153846153846,True,91,0.0006041426133301941,1.1254427646546266,False
lt_market,1,0.25,824,280,33,1.045624068147347,0.475,True,71,0.0006804148766931251,1.044300956717576,False
lt_market,2,0.25,821,283,31,0.9899686667309484,0.5441696113074205,True,79,0.00012626545797345123,1.044300956717576,False
lt_market,3,0.25,823,281,35,1.0683898482618135,0.48398576512455516,True,73,0.0004243168088229332,1.044300956717576,False
lt_market,4,0.25,844,260,14,1.073221243730195,0.45,True,72,0.00038313452242245624,1.044300956717576,False
lt_market,1,0.5,824,280,33,1.0002792424659457,0.4785714285714286,True,51,0.00012036627922240584,0.9961580060031348,False
lt_market,2,0.5,821,283,31,0.9567400157144534,0.5477031802120141,True,53,0.0003297471837326871,0.9961580060031348,False
lt_market,3,0.5,823,281,35,1.0188837596767215,0.48398576512455516,True,47,9.21732125638286e-05,0.9961580060031348,False
lt_market,4,0.5,844,260,14,1.0087290061554184,0.47692307692307695,True,47,0.0008337281318746559,0.9961580060031348,False
lt_market,1,1.0,824,280,33,0.9838697307113287,0.475,True,35,9.963431352844054e-05,0.976359867901002,False
lt_market,2,1.0,821,283,31,0.9486548885123142,0.5335689045936396,True,36,8.30305826655664e-05,0.976359867901002,False
lt_market,3,1.0,823,281,35,0.9973001094189404,0.4875444839857651,True,39,0.00029273646842753465,0.976359867901002,False
lt_market,4,1.0,844,260,14,0.9756147429614249,0.4653846153846154,True,41,0.000336068984140514,0.976359867901002,False
lt_market,1,2.0,824,280,33,0.9842155282974184,0.4785714285714286,True,26,0.00020704558778006366,0.9737989967607268,True
lt_market,2,2.0,821,283,31,0.9540697258948712,0.5300353356890459,True,25,0.00031055786918199324,0.9737989967607268,True
lt_market,3,2.0,823,281,35,0.9935099732106301,0.49110320284697506,True,28,0.0004387765907791774,0.9737989967607268,True
lt_market,4,2.0,844,260,14,0.9634007596399876,0.5346153846153846,True,25,0.0003258939862176291,0.9737989967607268,True
lt_market,1,4.0,824,280,33,0.9899604225440258,0.4714285714285714,True,19,5.5128497883583094e-05,0.9775834226515114,False
lt_market,2,4.0,821,283,31,0.9627031487426183,0.5335689045936396,True,20,3.541276061547194e-05,0.9775834226515114,False
lt_market,3,4.0,823,281,35,0.996734137949254,0.4804270462633452,True,16,0.0004221002728579393,0.9775834226515114,False
lt_market,4,4.0,844,260,14,0.9609359813701476,0.5346153846153846,True,20,0.00010400515601571847,0.9775834226515114,False
lt_market,1,8.0,824,280,33,0.9952763641078588,0.4785714285714286,True,13,0.00014429499656554157,0.9817610052039729,False
lt_market,2,8.0,821,283,31,0.9695922407334764,0.519434628975265,True,15,9.402911195088848e-05,0.9817610052039729,False
lt_market,3,8.0,823,281,35,1.0007095045521204,0.47330960854092524,True,12,0.00014183276080537155,0.9817610052039729,False
lt_market,4,8.0,844,260,14,0.9614659114224364,0.5346153846153846,True,16,0.0001406917678923314,0.9817610052039729,False
lt_market,1,16.0,824,280,33,0.9987692805956946,0.4785714285714286,True,20,0.00036130267227107993,0.9846425480856662,False
lt_market,2,16.0,821,283,31,0.9739113107248474,0.5017667844522968,True,20,0.0001431767621820068,0.9846425480856662,False
lt_market,3,16.0,823,281,35,1.0035231317445474,0.45907473309608543,True,18,0.00016616008426595386,0.9846425480856662,False
lt_market,4,16.0,844,260,14,0.9623664692775754,0.5346153846153846,True,19,0.0001168775170274916,0.9846425480856662,False
