comparison,origin_cell,destination_cell,PROLIFIC_PID,origin_trial_order,destination_trial_order,origin_weight_M,origin_weight_S,origin_weight_C,destination_weight_M,destination_weight_S,destination_weight_C,delta_weight_M,delta_weight_S,delta_weight_C,origin_share_sent,destination_share_sent,delta_share_sent
KW Control to LT Control,kw_control,lt_control,543e5938fdf99b73557f2136,2,1,0.7964277519034667,0.17554450988327766,0.02802773821325554,0.6484058389618463,0.32702533097915953,0.02456883005899412,-0.14802191294162037,0.15148082109588187,-0.003458908154261423,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,54f844c0fdf99b2bd032e149,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.7270089158503146,0.24614332647722914,0.026847757672456285,-0.00781512275349705,0.0050173458988437,0.002797776854653284,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,55999e94fdf99b37246adab5,2,1,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.04101808653815575,0.03972987469027642,0.0012882118478792469,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,55e9aa1c735c45001043fbb6,1,2,0.7964277519034667,0.17554450988327766,0.02802773821325554,0.7456166311746436,0.22667347524940568,0.027709893575950682,-0.0508111207288231,0.051128965366128015,-0.00031784463730485935,0.3333333333333333,0.1666666666666666,-0.1666666666666667
KW Control to LT Control,kw_control,lt_control,561f684fed6e5a000dc7e878,1,2,0.5357137745288646,0.4476675989661434,0.016618626504992032,0.5941371097641254,0.38381927697070706,0.022043613265167624,0.058423335235260776,-0.06384832199543633,0.005424986760175592,0.4166666666666666,0.375,-0.041666666666666574
KW Control to LT Control,kw_control,lt_control,56610c81b018d100126e5da9,2,1,0.7288123664630296,0.24687778125082477,0.024309852286145676,0.693409797223655,0.2807834826973948,0.025806720078950227,-0.03540256923937457,0.033905701446570014,0.0014968677928045501,0.5,0.1666666666666666,-0.33333333333333337
KW Control to LT Control,kw_control,lt_control,56a93b0a402025000bd62f17,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.0984409604762112,0.09932996619917997,-0.0008890057229687803,0.0,0.3333333333333333,0.3333333333333333
KW Control to LT Control,kw_control,lt_control,56c81007ba8e37000d7b211e,2,1,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.04101808653815575,0.03972987469027642,0.0012882118478792469,0.2083333333333333,0.4166666666666666,0.2083333333333333
KW Control to LT Control,kw_control,lt_control,5731d20d5b8b0600107d1995,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.04101808653815575,0.03972987469027642,0.0012882118478792469,0.3333333333333333,0.4166666666666666,0.08333333333333326
KW Control to LT Control,kw_control,lt_control,57a3de9ddcff7d0001c7d35a,2,1,0.8013508869904555,0.17108433562849146,0.027564777381053,0.5777441953137519,0.4012970549122865,0.020958749773961633,-0.22360669167670366,0.23021271928379505,-0.006606027607091367,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,57a78015454e5400015f57ec,2,1,0.8013508869904555,0.17108433562849146,0.027564777381053,0.693409797223655,0.2807834826973948,0.025806720078950227,-0.1079410897668005,0.10969914706890332,-0.0017580573021027737,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5815a5f000b325000184db51,2,1,0.7247105410046907,0.25111932744758747,0.024170131547721904,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.030904588939034805,0.029736527821074388,0.0011680611179603444,0.3333333333333333,0.4166666666666666,0.08333333333333326
KW Control to LT Control,kw_control,lt_control,58174d95a22f0f0001a3f0be,2,1,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.04101808653815575,0.03972987469027642,0.0012882118478792469,0.1666666666666666,0.3333333333333333,0.1666666666666667
