subject_id,treatment_cell,b_S_vs_M,b_C_vs_M,n_substantive_hp,weight_M,weight_S,weight_C
market_control::kw::53a18b8ffdf99b79ca51df6e,kw_market,-0.4236297631347847,-0.7421646600853435,4,0.6042751173004051,0.30295375690012255,0.09277112579947239
market_control::kw::545f1e11fdf99b3156e7588b,kw_market,1.7737481743571708,-0.337949527659812,4,0.17948103027042048,0.7782736516925519,0.0422453180370276
market_control::kw::54a439f9fdf99b5010dca84e,kw_market,-0.7741294111051655,1.1544989793370228,3,0.42706770271126715,0.15500884209912658,0.4179234551896063
market_control::kw::54ab0771fdf99b55c3f55227,kw_market,-0.4236297631347847,-0.7421646600853435,4,0.6042751173004051,0.30295375690012255,0.09277112579947239
market_control::kw::54b60d74fdf99b1ce0367ab5,kw_market,-1.119727452540171,-0.6454109161641152,3,0.7040554965238398,0.1778121198587273,0.11813238361743288
market_control::kw::55871e2efdf99b28762c4604,kw_market,-0.4820952897411686,-0.3416584925829943,1,0.5873362586209776,0.2787482843859977,0.13391545699302473
market_control::kw::559a78a5fdf99b76964a0ddd,kw_market,-0.4820952897411686,-0.3416584925829943,1,0.5873362586209776,0.2787482843859977,0.13391545699302473
market_control::kw::55b47001fdf99b615b12d66c,kw_market,-0.10173882954887792,-0.5751415481058965,3,0.5346763577127431,0.36808589364354605,0.09723774864371089
market_control::kw::55c913d1fdf99b526d9b8351,kw_market,1.2022912859674815,0.7192297118507233,4,0.24019528965730164,0.5997078888899551,0.16009682145274334
market_control::kw::55eee81b9df9fe000efae1d4,kw_market,0.9909272381431925,-0.49705025404166203,4,0.31173264721138616,0.6261357443861264,0.062131608402487486
market_control::kw::563e35190980220011572d9a,kw_market,-0.17909143414961723,-0.5522229036773982,3,0.5482281492503002,0.34988096947154096,0.10189088127815893
market_control::kw::563e5abecbd4c60005dc9153,kw_market,-0.4236297631347847,-0.7421646600853435,4,0.6042751173004051,0.30295375690012255,0.09277112579947239
market_control::kw::563fecf4074be600055e98c7,kw_market,0.09761039138040997,-0.330612001942881,2,0.48291992406152123,0.4049007977763166,0.11217927816216215
market_control::kw::5687d434369319000c269c03,kw_market,0.4598975363800177,0.47754277378184184,4,0.367177860180232,0.44251233000443835,0.1903098098153297
market_control::kw::569c01a19e8363000b2ffa33,kw_market,1.407696333728675,-0.3049628785587404,2,0.23428421648079784,0.7089278853157123,0.056787898203489916
market_control::kw::56aa77fc638440000b8b4f4a,kw_market,1.3215539795542812,-0.28176313785670637,2,0.24821571059051908,0.690272738505324,0.06151155090415692
market_control::kw::56fc1245f37e08000cbea351,kw_market,0.8979342125466696,-0.2215651947627225,1,0.3227361886628851,0.5927980305073176,0.08446578082979733
market_control::kw::57509aade19ee9000680df04,kw_market,-1.043722508072386,-0.7498131096581379,3,0.7024873897499742,0.19114082377167665,0.1063717864783492
