term,category_vs_moral,log_odds_coefficient,odds_ratio
Intercept,S,-1.7979591535344672,0.16563658234709178
Intercept,C,-3.3555462225925616,0.03489030707490155
Anchor=6,S,-0.4331335199584988,0.6484739018159008
Anchor=6,C,-0.07412476406903096,0.9285558362095547
Anchor=8,S,1.0207836836114912,2.7753689230674454
Anchor=8,C,0.18686893454616077,1.2054692793174213
Anchor=12,S,2.0772770616648777,7.982702886261879
Anchor=12,C,0.21941296018617334,1.2453454486022641
Market,S,1.0214180340491992,2.7771300380815784
Market,C,2.147398343344207,8.562552571820971
KW,S,-0.2776441740850492,0.7575663352958906
KW,C,-0.018037771449128295,0.9821239354134383
Market_x_KW,S,0.11753480665351754,1.1247207770288294
Market_x_KW,C,0.19499518936746132,1.215305140089217
