period,outcome_vs_moral,term,coefficient,std_error,p_value,n,pseudo_r_squared
1,S,const,-1.8086876251069837,0.3917015077124141,3.883624373072478e-06,1596,0.1126900973532009
1,S,market_control_study,0.20763450671168096,0.1381607677564746,0.13287848156284918,1596,0.1126900973532009
1,S,subject_weight_S,2.321471981648132,1.0689667292164908,0.029878514894750866,1596,0.1126900973532009
1,S,subject_weight_C,3.207751811201818,5.347159573059574,0.548574031220301,1596,0.1126900973532009
1,S,treatment_shift_S,4.819769774331971,2.083780806941021,0.020723041044411545,1596,0.1126900973532009
1,S,treatment_shift_C,2.074256459036894,2.4502484493076038,0.3972463041011447,1596,0.1126900973532009
1,C,const,-4.964938066971067,0.8210303443517967,1.4738100389483202e-09,1596,0.1126900973532009
1,C,market_control_study,-0.793439890370701,0.6553970643322073,0.22603926404987407,1596,0.1126900973532009
1,C,subject_weight_S,3.4358688041354455,2.0661419994530186,0.09632457941996064,1596,0.1126900973532009
1,C,subject_weight_C,11.606476525006975,9.67308634368951,0.2301886114606867,1596,0.1126900973532009
1,C,treatment_shift_S,16.568837261631682,3.5440127236351113,2.9372019198022845e-06,1596,0.1126900973532009
1,C,treatment_shift_C,15.261484818123309,4.168477710822536,0.00025107096526770213,1596,0.1126900973532009
2,S,const,-3.0496421254101373,0.41465071076990395,1.9131997526805678e-13,1563,0.07151265380382388
2,S,market_control_study,0.6844592028635317,0.14277147515114116,1.634154656601442e-06,1563,0.07151265380382388
2,S,subject_weight_S,4.10126771804177,1.084331303540056,0.00015538510732275267,1563,0.07151265380382388
2,S,subject_weight_C,19.852092771130387,5.928109043268373,0.0008116032420928026,1563,0.07151265380382388
2,S,treatment_shift_S,1.7624065100251523,2.0270146997547767,0.38459603357428385,1563,0.07151265380382388
2,S,treatment_shift_C,1.2149312409160864,2.373436802388615,0.6087301569773681,1563,0.07151265380382388
2,C,const,-8.62064107306271,1.3867906602293825,5.091680862977381e-10,1563,0.07151265380382388
2,C,market_control_study,2.5166805471821863,1.061676278066378,0.017765088167270737,1563,0.07151265380382388
2,C,subject_weight_S,6.157764616452959,2.492947618848976,0.013508517767553761,1563,0.07151265380382388
2,C,subject_weight_C,32.51807178321769,11.09617387349054,0.003383449255494075,1563,0.07151265380382388
2,C,treatment_shift_S,8.413653159432561,4.010072985449217,0.03589369114145792,1563,0.07151265380382388
2,C,treatment_shift_C,7.518653383587802,4.558570020495654,0.09907703332783643,1563,0.07151265380382388
