"classification_id","category_num","classification_origin"
"WCLS03596","0","primary_agent_rowwise"
"WCLS03597","0","primary_agent_rowwise"
"WCLS03598","1","primary_agent_rowwise"
"WCLS03599","1","primary_agent_rowwise"
"WCLS03600","2","primary_agent_rowwise"
"WCLS03601","0","primary_agent_rowwise"
"WCLS03602","0","primary_agent_rowwise"
"WCLS03603","0","primary_agent_rowwise"
"WCLS03604","3","primary_agent_rowwise"
"WCLS03605","0","primary_agent_rowwise"
"WCLS03606","0","primary_agent_rowwise"
"WCLS03607","0","primary_agent_rowwise"
"WCLS03608","0","primary_agent_rowwise"
"WCLS03609","0","primary_agent_rowwise"
"WCLS03610","0","primary_agent_rowwise"
"WCLS03611","0","primary_agent_rowwise"
"WCLS03612","0","primary_agent_rowwise"
"WCLS03613","0","primary_agent_rowwise"
"WCLS03614","0","primary_agent_rowwise"
"WCLS03615","0","primary_agent_rowwise"
"WCLS03616","3","primary_agent_rowwise"
"WCLS03617","1","primary_agent_rowwise"
"WCLS03618","0","primary_agent_rowwise"
"WCLS03619","1","primary_agent_rowwise"
"WCLS03620","1","primary_agent_rowwise"
"WCLS03621","2","primary_agent_rowwise"
"WCLS03622","1","primary_agent_rowwise"
"WCLS03623","1","primary_agent_rowwise"
"WCLS03624","2","primary_agent_rowwise"
"WCLS03625","1","primary_agent_rowwise"
"WCLS03626","1","primary_agent_rowwise"
"WCLS03627","1","primary_agent_rowwise"
"WCLS03628","1","primary_agent_rowwise"
"WCLS03629","1","primary_agent_rowwise"
"WCLS03630","0","primary_agent_rowwise"
"WCLS03631","1","primary_agent_rowwise"
"WCLS03632","1","primary_agent_rowwise"
"WCLS03633","1","primary_agent_rowwise"
"WCLS03634","1","primary_agent_rowwise"
"WCLS03635","1","primary_agent_rowwise"
"WCLS03636","1","primary_agent_rowwise"
"WCLS03637","0","primary_agent_rowwise"
"WCLS03638","0","primary_agent_rowwise"
"WCLS03639","0","primary_agent_rowwise"
"WCLS03640","3","primary_agent_rowwise"
"WCLS03641","3","primary_agent_rowwise"
"WCLS03642","0","primary_agent_rowwise"
"WCLS03643","1","primary_agent_rowwise"
"WCLS03644","0","primary_agent_rowwise"
"WCLS03645","1","primary_agent_rowwise"
"WCLS03646","1","primary_agent_rowwise"
"WCLS03647","1","primary_agent_rowwise"
"WCLS03648","1","primary_agent_rowwise"
"WCLS03649","0","primary_agent_rowwise"
"WCLS03650","0","primary_agent_rowwise"
"WCLS03651","1","primary_agent_rowwise"
"WCLS03652","3","primary_agent_rowwise"
"WCLS03653","0","primary_agent_rowwise"
"WCLS03654","3","primary_agent_rowwise"
"WCLS03655","0","primary_agent_rowwise"
"WCLS03656","1","primary_agent_rowwise"
"WCLS03657","0","primary_agent_rowwise"
"WCLS03658","1","primary_agent_rowwise"
"WCLS03659","1","primary_agent_rowwise"
"WCLS03660","0","primary_agent_rowwise"
"WCLS03661","1","primary_agent_rowwise"
"WCLS03662","1","primary_agent_rowwise"
"WCLS03663","1","primary_agent_rowwise"
"WCLS03664","0","primary_agent_rowwise"
"WCLS03665","0","primary_agent_rowwise"
"WCLS03666","1","primary_agent_rowwise"
"WCLS03667","0","primary_agent_rowwise"
"WCLS03668","0","primary_agent_rowwise"
"WCLS03669","0","primary_agent_rowwise"
"WCLS03670","0","primary_agent_rowwise"
"WCLS03671","0","primary_agent_rowwise"
"WCLS03672","0","primary_agent_rowwise"
"WCLS03673","0","primary_agent_rowwise"
"WCLS03674","0","primary_agent_rowwise"
"WCLS03675","1","primary_agent_rowwise"
"WCLS03676","1","primary_agent_rowwise"
"WCLS03677","1","primary_agent_rowwise"
"WCLS03678","2","primary_agent_rowwise"
"WCLS03679","0","primary_agent_rowwise"
"WCLS03680","1","primary_agent_rowwise"
"WCLS03681","1","primary_agent_rowwise"
"WCLS03682","3","primary_agent_rowwise"
"WCLS03683","1","primary_agent_rowwise"
"WCLS03684","1","primary_agent_rowwise"
"WCLS03685","1","primary_agent_rowwise"
"WCLS03686","1","primary_agent_rowwise"
"WCLS03687","0","primary_agent_rowwise"
"WCLS03688","0","primary_agent_rowwise"
"WCLS03689","0","primary_agent_rowwise"
"WCLS03690","0","primary_agent_rowwise"
"WCLS03691","0","primary_agent_rowwise"
"WCLS03692","0","primary_agent_rowwise"
"WCLS03693","0","primary_agent_rowwise"
"WCLS03694","1","primary_agent_rowwise"
"WCLS03695","0","primary_agent_rowwise"
"WCLS03696","0","primary_agent_rowwise"
"WCLS03697","3","primary_agent_rowwise"
"WCLS03698","0","primary_agent_rowwise"
"WCLS03699","0","primary_agent_rowwise"
"WCLS03700","1","primary_agent_rowwise"
"WCLS03701","1","primary_agent_rowwise"
"WCLS03702","0","primary_agent_rowwise"
"WCLS03703","0","primary_agent_rowwise"
"WCLS03704","1","primary_agent_rowwise"
"WCLS03705","0","primary_agent_rowwise"
"WCLS03706","0","primary_agent_rowwise"
"WCLS03707","0","primary_agent_rowwise"
"WCLS03708","0","primary_agent_rowwise"
"WCLS03709","0","primary_agent_rowwise"
"WCLS03710","0","primary_agent_rowwise"
"WCLS03711","1","primary_agent_rowwise"
"WCLS03712","0","primary_agent_rowwise"
