comparison,comparison_label,game,story,condition,representation,count,n,share_pct,pooled_median,tie_rule
market_vs_control,Market $-$ Control,ug,0,Control,MH,154,563,27.353463587921844,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,ug,0,Control,ML,283,563,50.26642984014209,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,ug,0,Control,SH,39,563,6.927175843694494,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,ug,0,Control,SL,70,563,12.433392539964476,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,ug,0,Control,CH,5,563,0.8880994671403196,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,ug,0,Control,CL,12,563,2.1314387211367674,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,ug,1,Market,MH,100,464,21.551724137931032,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,ug,1,Market,ML,59,464,12.71551724137931,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,ug,1,Market,SH,116,464,25.0,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,ug,1,Market,SL,54,464,11.637931034482758,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,ug,1,Market,CH,94,464,20.25862068965517,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,ug,1,Market,CL,41,464,8.836206896551724,0.55,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,0,Control,MH,64,453,14.1280353200883,0.3333333333333333,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,0,Control,ML,123,453,27.1523178807947,0.3333333333333333,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,0,Control,SH,15,453,3.3112582781456954,0.3333333333333333,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,0,Control,SL,81,453,17.880794701986755,0.3333333333333333,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,0,Control,CH,75,453,16.55629139072848,0.3333333333333333,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,0,Control,CL,95,453,20.97130242825607,0.3333333333333333,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,1,Market,MH,54,517,10.444874274661508,0.3333333333333333,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,1,Market,ML,44,517,8.51063829787234,0.3333333333333333,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,1,Market,SH,65,517,12.572533849129593,0.3333333333333333,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,1,Market,SL,59,517,11.411992263056092,0.3333333333333333,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,1,Market,CH,193,517,37.33075435203095,0.3333333333333333,High if belief > median; Low if belief <= median
market_vs_control,Market $-$ Control,tg,1,Market,CL,102,517,19.729206963249517,0.3333333333333333,High if belief > median; Low if belief <= median
