context,representation,mean_absolute_score,share_pct,condition,game,source
AID,CH,7.291666666666667,7.151614221495708,Aid,story,LLM absolute ratings
AID,CL,7.416666666666667,7.274213322435635,Aid,story,LLM absolute ratings
AID,MH,34.291666666666664,33.633020024519816,Aid,story,LLM absolute ratings
AID,ML,37.083333333333336,36.371066612178176,Aid,story,LLM absolute ratings
AID,SH,7.416666666666667,7.274213322435635,Aid,story,LLM absolute ratings
AID,SL,8.458333333333334,8.295872496935022,Aid,story,LLM absolute ratings
BONUS,CH,7.416666666666667,6.577974870657798,Bonus,story,LLM absolute ratings
BONUS,CL,6.916666666666667,6.134515890613452,Bonus,story,LLM absolute ratings
BONUS,MH,42.25,37.472283813747225,Bonus,story,LLM absolute ratings
BONUS,ML,42.0,37.250554323725055,Bonus,story,LLM absolute ratings
BONUS,SH,7.25,6.430155210643015,Bonus,story,LLM absolute ratings
BONUS,SL,6.916666666666667,6.134515890613452,Bonus,story,LLM absolute ratings
C-KW,CH,10.875,7.962172056131787,Control,dgkw,LLM absolute ratings
C-KW,CL,10.791666666666666,7.901159243441122,Control,dgkw,LLM absolute ratings
C-KW,MH,43.708333333333336,32.001220256253816,Control,dgkw,LLM absolute ratings
C-KW,ML,47.166666666666664,34.533251982916404,Control,dgkw,LLM absolute ratings
C-KW,SH,12.125,8.877364246491764,Control,dgkw,LLM absolute ratings
C-KW,SL,11.916666666666666,8.7248322147651,Control,dgkw,LLM absolute ratings
C-TG,CH,42.375,24.318507890961264,Control,tg,LLM absolute ratings
C-TG,CL,43.25,24.820659971305595,Control,tg,LLM absolute ratings
C-TG,MH,16.291666666666668,9.349593495934961,Control,tg,LLM absolute ratings
C-TG,ML,14.5,8.321377331420372,Control,tg,LLM absolute ratings
C-TG,SH,27.416666666666668,15.734098517455763,Control,tg,LLM absolute ratings
C-TG,SL,30.416666666666668,17.455762792922048,Control,tg,LLM absolute ratings
C-UG,CH,14.708333333333334,11.596583442838371,Control,ug,LLM absolute ratings
C-UG,CL,14.583333333333334,11.498028909329829,Control,ug,LLM absolute ratings
C-UG,MH,33.958333333333336,26.773981603153747,Control,ug,LLM absolute ratings
C-UG,ML,36.416666666666664,28.712220762155056,Control,ug,LLM absolute ratings
C-UG,SH,13.75,10.840998685939553,Control,ug,LLM absolute ratings
C-UG,SL,13.416666666666666,10.578186596583441,Control,ug,LLM absolute ratings
M-KW,CH,15.708333333333334,12.236286919831224,Market,dgkw,LLM absolute ratings
M-KW,CL,15.75,12.268743914313534,Market,dgkw,LLM absolute ratings
M-KW,MH,19.416666666666668,15.124959428756899,Market,dgkw,LLM absolute ratings
M-KW,ML,20.083333333333332,15.644271340473873,Market,dgkw,LLM absolute ratings
M-KW,SH,33.333333333333336,25.96559558584875,Market,dgkw,LLM absolute ratings
M-KW,SL,24.083333333333332,18.760142810775722,Market,dgkw,LLM absolute ratings
M-TG,CH,40.75,23.509615384615383,Market,tg,LLM absolute ratings
M-TG,CL,42.083333333333336,24.278846153846153,Market,tg,LLM absolute ratings
M-TG,MH,14.958333333333334,8.629807692307692,Market,tg,LLM absolute ratings
M-TG,ML,13.666666666666666,7.884615384615384,Market,tg,LLM absolute ratings
M-TG,SH,29.541666666666668,17.04326923076923,Market,tg,LLM absolute ratings
M-TG,SL,32.333333333333336,18.653846153846153,Market,tg,LLM absolute ratings
M-UG,CH,18.333333333333332,14.084507042253522,Market,ug,LLM absolute ratings
M-UG,CL,18.75,14.404609475032013,Market,ug,LLM absolute ratings
M-UG,MH,15.833333333333334,12.163892445582587,Market,ug,LLM absolute ratings
M-UG,ML,15.375,11.81177976952625,Market,ug,LLM absolute ratings
M-UG,SH,35.208333333333336,27.048655569782333,Market,ug,LLM absolute ratings
M-UG,SL,26.666666666666668,20.486555697823306,Market,ug,LLM absolute ratings
