set,context,vignette_id,rating
1,C-LT,ML5,42
1,C-LT,CH6,15
1,C-LT,CH5,12
1,C-LT,CH4,12
1,C-LT,SH4,10
1,C-LT,MH6,30
1,C-LT,MH4,60
1,C-LT,CL5,12
1,C-LT,SL2,10
1,C-LT,CL3,12
1,C-LT,SH3,25
1,C-LT,SL6,12
1,C-LT,SH8,12
1,C-LT,ML8,40
1,C-LT,CH2,12
1,C-LT,SL5,15
1,C-LT,ML4,32
1,C-LT,CL8,10
1,C-LT,SH6,12
1,C-LT,SL1,22
1,C-LT,MH3,25
1,C-LT,SL8,10
1,C-LT,CH8,12
1,C-LT,SH7,15
1,C-LT,CL4,12
1,C-LT,SL4,12
1,C-LT,ML1,45
1,C-LT,MH1,45
1,C-LT,MH8,48
1,C-LT,ML2,55
1,C-LT,CL2,10
1,C-LT,ML7,48
1,C-LT,SH1,22
1,C-LT,CH1,12
1,C-LT,ML3,55
1,C-LT,CH7,12
1,C-LT,CH3,12
1,C-LT,SL7,12
1,C-LT,CL6,12
1,C-LT,MH7,42
1,C-LT,SL3,15
1,C-LT,SH5,15
1,C-LT,MH5,42
1,C-LT,ML6,35
1,C-LT,CL1,12
1,C-LT,SH2,12
1,C-LT,MH2,30
1,C-LT,CL7,12
1,C-UG,ML5,38
1,C-UG,CH6,15
1,C-UG,CH5,15
1,C-UG,CH4,15
1,C-UG,SH4,10
1,C-UG,MH6,28
1,C-UG,MH4,55
1,C-UG,CL5,15
1,C-UG,SL2,10
1,C-UG,CL3,15
1,C-UG,SH3,22
1,C-UG,SL6,12
1,C-UG,SH8,12
1,C-UG,ML8,38
1,C-UG,CH2,15
1,C-UG,SL5,15
1,C-UG,ML4,30
1,C-UG,CL8,12
1,C-UG,SH6,12
1,C-UG,SL1,20
1,C-UG,MH3,22
1,C-UG,SL8,10
1,C-UG,CH8,15
1,C-UG,SH7,18
1,C-UG,CL4,15
1,C-UG,SL4,15
1,C-UG,ML1,42
1,C-UG,MH1,42
1,C-UG,MH8,45
1,C-UG,ML2,48
1,C-UG,CL2,12
1,C-UG,ML7,45
1,C-UG,SH1,20
1,C-UG,CH1,12
1,C-UG,ML3,50
1,C-UG,CH7,12
1,C-UG,CH3,15
1,C-UG,SL7,15
1,C-UG,CL6,12
1,C-UG,MH7,40
1,C-UG,SL3,18
1,C-UG,SH5,15
1,C-UG,MH5,40
1,C-UG,ML6,32
1,C-UG,CL1,15
1,C-UG,SH2,12
1,C-UG,MH2,28
1,C-UG,CL7,12
1,BONUS,ML5,72
1,BONUS,CH6,10
1,BONUS,CH5,8
1,BONUS,CH4,10
1,BONUS,SH4,8
1,BONUS,MH6,20
1,BONUS,MH4,40
1,BONUS,CL5,8
1,BONUS,SL2,5
1,BONUS,CL3,8
1,BONUS,SH3,10
1,BONUS,SL6,8
1,BONUS,SH8,8
1,BONUS,ML8,62
1,BONUS,CH2,10
1,BONUS,SL5,8
1,BONUS,ML4,25
