context_id,vignette_id,mean_rating,weight_all30,weight_analysis_pool,source_id_context,game_context,frame,source_id_vignette,game_vignette,setting,setting_code,sender_category,sender_action,receiver_action,joint_action,in_analysis_pool,block,bar_type,bar_label
T04,V01,26.333333333333332,0.016326490752788806,0.019517393619509816,UG_CONTROL,UG,Control,TG-C-CC-P,TG,personal,P,Cooperation,C,C,C-C,True,C-C,vignette,"TG-P
V01"
T04,V03,25.666666666666668,0.01587251192951118,0.018986287803964514,UG_CONTROL,UG,Control,TG-S-DC-P,TG,personal,P,Self-interest,D,C,D-C,True,S-C,vignette,"TG-P
V03"
T04,V05,83.66666666666667,0.052880281430717775,0.06299943913225121,UG_CONTROL,UG,Control,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D,D-D,True,S-D,vignette,"UG-K
V05"
T04,V06,28.0,0.017377232332363934,0.02077321782701193,UG_CONTROL,UG,Control,TG-M-CC-K,TG,anonymous market,K,Moral,C,C,C-C,True,M-C,vignette,"TG-K
V06"
T04,V08,83.66666666666667,0.05292819948638764,0.06302173353415606,UG_CONTROL,UG,Control,UG-C-CC-P,UG,personal,P,Cooperation,C,C,C-C,True,C-C,vignette,"UG-P
V08"
T04,V09,84.0,0.05310001335776678,0.06325506285413261,UG_CONTROL,UG,Control,UG-S-DC-K,UG,anonymous market,K,Self-interest,D,C,D-C,True,S-C,vignette,"UG-K
V09"
T04,V10,84.33333333333333,0.053382178309665275,0.06355283934970136,UG_CONTROL,UG,Control,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C,C-C,True,C-C,vignette,"UG-K
V10"
T04,V11,26.666666666666668,0.016507748682823245,0.019742011768656267,UG_CONTROL,UG,Control,TG-S-DC-K,TG,anonymous market,K,Self-interest,D,C,D-C,True,S-C,vignette,"TG-K
V11"
T04,V12,86.0,0.05443291988924041,0.06480866355720348,UG_CONTROL,UG,Control,UG-S-DD-P,UG,personal,P,Self-interest,D,D,D-D,True,S-D,vignette,"UG-P
V12"
T04,V13,84.0,0.053186405410451214,0.06330836282877239,UG_CONTROL,UG,Control,UG-M-CC-K,UG,anonymous market,K,Moral,C,C,C-C,True,M-C,vignette,"UG-K
V13"
T04,V14,83.0,0.05252720962930421,0.06254149166312821,UG_CONTROL,UG,Control,UG-M-CD-K,UG,anonymous market,K,Moral,C,D,C-D,True,M-D,vignette,"UG-K
V14"
T04,V15,85.33333333333333,0.05397894106596277,0.06427755774165818,UG_CONTROL,UG,Control,UG-M-CD-P,UG,personal,P,Moral,C,D,C-D,True,M-D,vignette,"UG-P
V15"
T04,V16,25.333333333333332,0.015652780002462178,0.018730664082083123,UG_CONTROL,UG,Control,TG-C-CD-P,TG,personal,P,Cooperation,C,D,C-D,True,C-D,vignette,"TG-P
V16"
T04,V18,28.333333333333332,0.017649953225607123,0.021079705493410785,UG_CONTROL,UG,Control,TG-M-CC-P,TG,personal,P,Moral,C,C,C-C,True,M-C,vignette,"TG-P
V18"
T04,V19,26.333333333333332,0.016288016755774244,0.01948638804677488,UG_CONTROL,UG,Control,TG-C-CD-K,TG,anonymous market,K,Cooperation,C,D,C-D,True,C-D,vignette,"TG-K
V19"
T04,V20,86.33333333333333,0.054638136847109775,0.06504442890730235,UG_CONTROL,UG,Control,UG-M-CC-P,UG,personal,P,Moral,C,C,C-C,True,M-C,vignette,"UG-P
V20"
T04,V21,83.33333333333333,0.05272298252851828,0.0627859681840572,UG_CONTROL,UG,Control,UG-C-CD-K,UG,anonymous market,K,Cooperation,C,D,C-D,True,C-D,vignette,"UG-K
V21"
T04,V23,83.66666666666667,0.05294271445556727,0.06304159190593858,UG_CONTROL,UG,Control,UG-C-CD-P,UG,personal,P,Cooperation,C,D,C-D,True,C-D,vignette,"UG-P
V23"
T04,V24,25.666666666666668,0.01583403793249662,0.018955282231229578,UG_CONTROL,UG,Control,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D,D-D,True,S-D,vignette,"TG-K
V24"
T04,V25,27.333333333333332,0.016937768478265933,0.02026197038324915,UG_CONTROL,UG,Control,TG-M-CD-K,TG,anonymous market,K,Moral,C,D,C-D,True,M-D,vignette,"TG-K
V25"
T04,V26,27.0,0.016727480609872242,0.019997635490537655,UG_CONTROL,UG,Control,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C,C-C,True,C-C,vignette,"TG-K
V26"
T04,V27,86.33333333333333,0.0546526518162894,0.06506428727908486,UG_CONTROL,UG,Control,UG-S-DC-P,UG,personal,P,Self-interest,D,C,D-C,True,S-C,vignette,"UG-P
V27"
T04,V29,27.333333333333332,0.016976242475280495,0.020292975955984092,UG_CONTROL,UG,Control,TG-M-CD-P,TG,personal,P,Moral,C,D,C-D,True,M-D,vignette,"TG-P
V29"
T04,V30,25.0,0.01543304807541318,0.01847504036020173,UG_CONTROL,UG,Control,TG-S-DD-P,TG,personal,P,Self-interest,D,D,D-D,True,S-D,vignette,"TG-P
V30"
T05,V02,81.33333333333333,0.05448336920252527,0.1628081781465768,DG_CONTROL,DG,Control,DG-S-K,DG,anonymous market,K,Self-interest,D,None,D-NA,True,S,vignette,"DG-K
V02"
T05,V04,83.33333333333333,0.05583054074036775,0.1668210551813404,DG_CONTROL,DG,Control,DG-S-P,DG,personal,P,Self-interest,D,None,D-NA,True,S,vignette,"DG-P
V04"
T05,V07,87.0,0.05832980527434123,0.17425930001711828,DG_CONTROL,DG,Control,DG-M-P,DG,personal,P,Moral,C,None,C-NA,True,M,vignette,"DG-P
V07"
T05,V17,82.33333333333333,0.05525945167036148,0.16497330650209643,DG_CONTROL,DG,Control,DG-C-K,DG,anonymous market,K,Cooperation,C,None,C-NA,True,C,vignette,"DG-K
V17"
