game_context,vignette_id,source_id_vignette,game_vignette,setting,setting_code,sender_category,receiver_action,joint_action,weight_analysis_pool_Aid,weight_analysis_pool_Bonus,weight_analysis_pool_Control,weight_analysis_pool_Market,weight_all30_Aid,weight_all30_Bonus,weight_all30_Control,weight_all30_Market,mean_rating_Aid,mean_rating_Bonus,mean_rating_Control,mean_rating_Market,comparison,difference_analysis_pool,difference_all30,raw_rating_difference,block,bar_type,bar_label
DG,V02,DG-S-K,DG,anonymous market,K,Self-interest,None,D-NA,0.1493724265662549,0.17000083977458305,0.1628081781465768,0.2011919855322429,0.04344645834515006,0.052871521388110264,0.05448336920252527,0.0608212469550573,66.0,83.66666666666667,81.33333333333333,90.66666666666667,Market-Control,0.0383838073856661,0.0063378777525320285,9.333333333333343,S,vignette,"DG-K
V02"
DG,V04,DG-S-P,DG,personal,P,Self-interest,None,D-NA,0.18284505058854142,0.1372834453628362,0.1668210551813404,0.14403829932933737,0.05328407863021609,0.042574959432040343,0.05583054074036775,0.043489865160147155,80.66666666666667,67.66666666666667,83.33333333333333,65.0,Market-Control,-0.02278275585200304,-0.012340675580220596,-18.33333333333333,S,vignette,"DG-P
V04"
DG,V07,DG-M-P,DG,personal,P,Moral,None,C-NA,0.19717438888123553,0.15078447453338908,0.17425930001711828,0.14076982907607605,0.05765385381487212,0.04677313679182261,0.05832980527434123,0.0425959352878445,86.66666666666667,74.33333333333333,87.0,63.666666666666664,Market-Control,-0.03348947094104224,-0.01573386998649673,-23.333333333333336,M,vignette,"DG-P
V07"
DG,V17,DG-C-K,DG,anonymous market,K,Cooperation,None,C-NA,0.1549042567846811,0.17577040384223674,0.16497330650209643,0.17796219013753323,0.045171107901385676,0.054529286645830156,0.05525945167036148,0.05364182243257582,68.33333333333333,86.66666666666667,82.33333333333333,80.33333333333333,Market-Control,0.012988883635436793,-0.0016176292377856616,-2.0,C,vignette,"DG-K
V17"
DG,V22,DG-C-P,DG,personal,P,Cooperation,None,C-NA,0.1692519630803141,0.17866633075683344,0.16760986474222553,0.14906411260295807,0.04935027834536875,0.05556066336430959,0.05612104270343012,0.04492866371423693,74.66666666666667,88.0,83.66666666666667,67.33333333333333,Market-Control,-0.018545752139267457,-0.011192378989193195,-16.333333333333343,C,vignette,"DG-P
V22"
DG,V28,DG-M-K,DG,anonymous market,K,Moral,None,C-NA,0.14645191409897293,0.18749450573012147,0.1635282954106425,0.18697358332185235,0.0426466913627219,0.058249468605636595,0.054720854496739135,0.05646685446374636,64.66666666666667,92.33333333333333,81.66666666666667,84.33333333333333,Market-Control,0.02344528791120984,0.0017459999670072224,2.666666666666657,M,vignette,"DG-K
V28"
TG,V01,TG-C-CC-P,TG,personal,P,Cooperation,C,C-C,0.061867475895271716,0.05883393841974832,0.06387021412914173,0.05565262898777552,0.051851482791284674,0.04862814698056014,0.0547732514746716,0.04716578339528107,87.33333333333333,83.33333333333333,89.66666666666667,79.66666666666667,Market-Control,-0.008217585141366217,-0.007607468079390535,-10.0,C-C,vignette,"TG-P
V01"
TG,V03,TG-S-DC-P,TG,personal,P,Self-interest,C,D-C,0.06204306950851651,0.054575641695910525,0.06171025949040168,0.05302855143345855,0.05199835804230013,0.045104318051097124,0.052910496819817264,0.04492346391426155,87.66666666666667,77.33333333333333,86.66666666666667,76.0,Market-Control,-0.008681708056943134,-0.007987032905555712,-10.666666666666671,S-C,vignette,"TG-P
V03"
TG,V05,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D-D,0.020408718299579392,0.01946183271304748,0.01785580455302666,0.024813236013499083,0.01710228477437012,0.016080726616262923,0.015288583354583348,0.021021090687415627,29.0,27.666666666666668,25.333333333333332,35.666666666666664,Market-Control,0.006957431460472424,0.005732507332832279,10.333333333333332,S-D,vignette,"UG-K
V05"
TG,V06,TG-M-CC-K,TG,anonymous market,K,Moral,C,C-C,0.05595319852558039,0.06209000110515588,0.0639206645518006,0.06457069482655153,0.046893776408635436,0.05131782539042621,0.05482824788034832,0.05472339955532657,79.0,88.0,89.66666666666667,92.33333333333333,Market-Control,0.0006500302747509401,-0.00010484832502175023,2.666666666666657,M-C,vignette,"TG-K
V06"
TG,V08,UG-C-CC-P,UG,personal,P,Cooperation,C,C-C,0.02443915308341746,0.02558778595880232,0.020979042658649503,0.024914559119007088,0.020480292527536623,0.021144814523105,0.017976628140825818,0.0211207467794374,34.666666666666664,36.333333333333336,29.666666666666668,35.666666666666664,Market-Control,0.003935516460357585,0.0031441186386115816,5.9999999999999964,C-C,vignette,"UG-P
V08"
TG,V09,UG-S-DC-K,UG,anonymous market,K,Self-interest,C,D-C,0.020408718299579392,0.019937683295964445,0.018344563106301344,0.025547989870956838,0.01710228477437012,0.016476374489655606,0.01571456844510518,0.021654804248885842,29.0,28.333333333333332,26.0,36.666666666666664,Market-Control,0.007203426764655494,0.005940235803780662,10.666666666666664,S-C,vignette,"UG-K
V09"
TG,V10,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C-C,0.025172329335565916,0.02677322066671367,0.021717676274392955,0.02702944239807811,0.0210957552969237,0.02212557215467235,0.018616014853199973,0.02290912168778303,35.666666666666664,38.0,30.666666666666668,38.666666666666664,Market-Control,0.005311766123685155,0.004293106834583057,7.9999999999999964,C-C,vignette,"UG-K
V10"
TG,V11,TG-S-DC-K,TG,anonymous market,K,Self-interest,C,D-C,0.05566210892241513,0.056225143712467146,0.06316230151055914,0.06457666723265441,0.046648684009618725,0.04646880778072909,0.05416177204172721,0.05471684471330495,78.66666666666667,79.66666666666667,88.66666666666667,92.33333333333333,Market-Control,0.0014143657220952732,0.0005550726715777415,3.666666666666657,S-C,vignette,"TG-K
V11"
TG,V12,UG-S-DD-P,UG,personal,P,Self-interest,D,D-D,0.02776100818253391,0.022296373450579703,0.018580204529103528,0.018935356931949573,0.023264434790977843,0.018419388787254756,0.015901290017301967,0.016024683530463327,39.333333333333336,31.666666666666668,26.333333333333332,27.333333333333332,Market-Control,0.00035515240284604566,0.00012339351316136005,1.0,S-D,vignette,"UG-P
V12"
TG,V13,UG-M-CC-K,UG,anonymous market,K,Moral,C,C-C,0.024480859371057383,0.0333981950569931,0.021259638718279125,0.027898111917376716,0.020513717836552484,0.027602554295355727,0.018217937042107914,0.023638682578541348,34.666666666666664,47.333333333333336,30.0,40.0,Market-Control,0.0066384731990975915,0.0054207455364334335,10.0,M-C,vignette,"UG-K
V13"
TG,V14,UG-M-CD-K,UG,anonymous market,K,Moral,D,C-D,0.023989579587220488,0.03244269812871386,0.020770880165004443,0.026928119292570104,0.02010015290685852,0.026809481686863517,0.01779195195158608,0.022809465595761257,34.0,46.0,29.333333333333332,38.666666666666664,Market-Control,0.006157239127565661,0.005017513644175176,9.333333333333332,M-D,vignette,"UG-K
V14"
TG,V15,UG-M-CD-P,UG,personal,P,Moral,D,C-D,0.02632673909287761,0.024145051160270176,0.019751650489631376,0.01921528484594955,0.022064875782173216,0.019950763456099547,0.016911256337929826,0.016276569839805712,37.333333333333336,34.333333333333336,28.0,27.666666666666668,Market-Control,-0.000536365643681827,-0.0006346864981241138,-0.33333333333333215,M-D,vignette,"UG-P
V15"
TG,V16,TG-C-CD-P,TG,personal,P,Cooperation,D,C-D,0.06113429964312326,0.05740638667099743,0.06288720123676095,0.05491787513031776,0.05123602002189759,0.0474412033603821,0.05392087221703653,0.04653206983381084,86.33333333333333,81.33333333333333,88.33333333333333,78.66666666666667,Market-Control,-0.007969326106443186,-0.007388802383225687,-9.666666666666657,C-D,vignette,"TG-P
V16"
TG,V18,TG-M-CC-P,TG,personal,P,Moral,C,C-C,0.06256268928338714,0.06090077063479921,0.06441491889090671,0.056214750442844186,0.05243840487680976,0.05033529089715202,0.05525464204746156,0.047640711897409045,88.33333333333333,86.33333333333333,90.33333333333333,80.33333333333333,Market-Control,-0.008200168448062525,-0.007613930150052517,-10.0,M-C,vignette,"TG-P
V18"
TG,V19,TG-C-CD-K,TG,anonymous market,K,Cooperation,D,C-D,0.055174572562185116,0.05785906669230676,0.06340668078719648,0.06363571216325899,0.046240003705078636,0.047819604873326156,0.054374764586988124,0.053934831028065455,78.0,82.0,89.0,91.0,Market-Control,0.00022903137606250512,-0.00043993355892266856,2.0,C-D,vignette,"TG-K
V19"
TG,V20,UG-M-CC-P,UG,personal,P,Moral,C,C-C,0.026818018876714506,0.025096752326104105,0.020973546872818077,0.019950038703407304,0.02247844071186718,0.020742059202884907,0.017976219064234408,0.016910283401275927,38.0,35.666666666666664,29.666666666666668,28.666666666666668,Market-Control,-0.001023508169410773,-0.0010659356629584803,-1.0,M-C,vignette,"UG-P
V20"
TG,V21,UG-C-CD-K,UG,anonymous market,K,Cooperation,D,C-D,0.02419351319149901,0.025817723738434425,0.02098453844448093,0.026059449773271497,0.02027351006268964,0.021332499546180137,0.017977037217417228,0.022079904705002942,34.333333333333336,36.666666666666664,29.666666666666668,37.333333333333336,Market-Control,0.005074911328790566,0.0041028674875857145,7.666666666666668,C-D,vignette,"UG-K
V21"
TG,V23,UG-C-CD-P,UG,personal,P,Cooperation,D,C-D,0.024414556515990605,0.025111935375885356,0.02098453844448093,0.025620275421053666,0.020458695247874827,0.02074916664971232,0.017977037217417228,0.021707257043367022,34.666666666666664,35.666666666666664,29.666666666666668,36.666666666666664,Market-Control,0.004635736976572734,0.0037302198259497946,6.9999999999999964,C-D,vignette,"UG-P
V23"
TG,V24,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D-D,0.05444139631003666,0.055043504767001115,0.0624236678948157,0.06433174928016851,0.04562454093569155,0.045489827010868594,0.05352238532935305,0.05450560685948155,77.0,78.0,87.66666666666667,92.0,Market-Control,0.0019080813853528042,0.000983221530128496,4.333333333333329,S-D,vignette,"TG-K
V24"
TG,V25,TG-M-CD-K,TG,anonymous market,K,Moral,D,C-D,0.05522002227343193,0.06065865359395967,0.06343190599852591,0.06457069482655153,0.046278313639248364,0.05012910490854131,0.05440226278982649,0.05472339955532657,78.0,86.0,89.0,92.33333333333333,Market-Control,0.001138788828025622,0.00032113676550007964,3.3333333333333286,M-D,vignette,"TG-K
V25"
TG,V26,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C-C,0.05662007192266207,0.060237923619955835,0.06435897268241642,0.06437046602071674,0.047454216589344865,0.04979125905008206,0.05519923656519343,0.054568544589535674,80.0,85.33333333333333,90.33333333333333,92.0,Market-Control,1.1493338300319622e-05,-0.0006306919756577586,1.6666666666666714,C-C,vignette,"TG-K
V26"
TG,V27,UG-S-DC-P,UG,personal,P,Self-interest,C,D-C,0.028252287966370804,0.02301014932495515,0.01906896308237821,0.019425192836921408,0.023677999720671805,0.019012860597343778,0.016327275107823797,0.01644715923811014,40.0,32.666666666666664,27.0,28.0,Market-Control,0.00035622975454319833,0.0001198841302863414,1.0,S-C,vignette,"UG-P
V27"
TG,V29,TG-M-CD-P,TG,personal,P,Moral,D,C-D,0.06182951303123868,0.05946942312360301,0.06367628527516325,0.055489675770523494,0.051822942107422686,0.04914657041526712,0.054615255335087404,0.04702273276845237,87.33333333333333,84.33333333333333,89.33333333333333,79.33333333333333,Market-Control,-0.008186609504639758,-0.007592522566635035,-10.0,M-D,vignette,"TG-P
V29"
TG,V30,TG-S-DD-P,TG,personal,P,Self-interest,D,D-D,0.060826100319744926,0.05362014476763128,0.06146588021376434,0.052303476761137856,0.05097909959352682,0.0443112454426049,0.05269750427455635,0.044305484785304876,86.0,76.0,86.33333333333333,75.0,Market-Control,-0.009162403452626484,-0.008392019489251473,-11.333333333333329,S-D,vignette,"TG-P
V30"
UG,V01,TG-C-CC-P,TG,personal,P,Cooperation,C,C-C,0.024993620362547226,0.025038124799592252,0.019517393619509816,0.02262458546034754,0.02037326343200027,0.020486151945675598,0.016326490752788806,0.0188753811201652,33.333333333333336,35.0,26.333333333333332,29.0,Market-Control,0.0031071918408377246,0.0025488903673763948,2.666666666666668,C-C,vignette,"TG-P
V01"
UG,V03,TG-S-DC-P,TG,personal,P,Self-interest,C,D-C,0.025143710125872954,0.023117733817216598,0.018986287803964514,0.021041897762934556,0.020490937839404515,0.018915029303629607,0.01587251192951118,0.01757084603561661,33.666666666666664,32.333333333333336,25.666666666666668,27.0,Market-Control,0.002055609958970042,0.0016983341061054327,1.3333333333333321,S-C,vignette,"TG-P
V03"
UG,V05,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D-D,0.05610716090709936,0.05399672998391888,0.06299943913225121,0.06982727332938794,0.04571167292749464,0.04422612526369802,0.052880281430717775,0.058272196006486865,73.66666666666667,75.33333333333333,83.66666666666667,89.33333333333333,Market-Control,0.0068278341971367285,0.00539191457576909,5.666666666666657,S-D,vignette,"UG-K
V05"
UG,V06,TG-M-CC-K,TG,anonymous market,K,Moral,C,C-C,0.023488936523444446,0.030073081334228296,0.02077321782701193,0.025703199470783488,0.01913005375423417,0.024607453560386683,0.017377232332363934,0.021433972823675467,31.0,42.0,28.0,33.0,Market-Control,0.004929981643771557,0.004056740491311533,5.0,M-C,vignette,"TG-K
V06"
UG,V08,UG-C-CC-P,UG,personal,P,Cooperation,C,C-C,0.05740734717834455,0.05719960041830307,0.06302173353415606,0.05754404847794999,0.04677190064424269,0.04686133583016703,0.05292819948638764,0.04807668262757515,75.33333333333333,79.66666666666667,83.66666666666667,73.66666666666667,Market-Control,-0.0054776850562060705,-0.0048515168588124935,-10.0,C-C,vignette,"UG-P
V08"
UG,V09,UG-S-DC-K,UG,anonymous market,K,Self-interest,C,D-C,0.05610716090709936,0.05424679249954778,0.06325506285413261,0.070351382344063,0.04571167292749464,0.04443342211278591,0.05310001335776678,0.05872975720529721,73.66666666666667,75.66666666666667,84.0,90.0,Market-Control,0.007096319489930392,0.005629743847530427,6.0,S-C,vignette,"UG-K
V09"
UG,V10,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C-C,0.05687698384782299,0.057207590796435,0.06355283934970136,0.056220502111420295,0.04635683421781722,0.04687127724211263,0.053382178309665275,0.04696832639034848,74.66666666666667,79.66666666666667,84.33333333333333,72.0,Market-Control,-0.00733233723828107,-0.0064138519193167945,-12.333333333333329,C-C,vignette,"UG-K
V10"
UG,V11,TG-S-DC-K,TG,anonymous market,K,Self-interest,C,D-C,0.022366823977019053,0.02454599014646637,0.019742011768656267,0.02676469132997566,0.018217471846680284,0.020081499659445407,0.016507748682823245,0.022313548461496968,29.666666666666668,34.333333333333336,26.666666666666668,34.333333333333336,Market-Control,0.007022679561319394,0.005805799778673723,7.666666666666668,S-C,vignette,"TG-K
V11"
UG,V12,UG-S-DD-P,UG,personal,P,Self-interest,D,D-D,0.06615094350896504,0.0571596485276434,0.06480866355720348,0.05695050790746801,0.05390356779312468,0.04681162877043903,0.05443291988924041,0.0475209545049008,86.66666666666667,79.66666666666667,86.0,72.66666666666667,Market-Control,-0.007858155649735472,-0.006911965384339608,-13.333333333333329,S-D,vignette,"UG-P
V12"
UG,V13,UG-M-CC-K,UG,anonymous market,K,Moral,C,C-C,0.05616854679248162,0.0643246959469518,0.06330836282877239,0.060849429806676604,0.04579412198219757,0.052685966754153685,0.053186405410451214,0.05083734319383917,73.66666666666667,89.66666666666667,84.0,78.0,Market-Control,-0.002458933022095787,-0.0023490622166120467,-6.0,M-C,vignette,"UG-K
V13"
