context_id,vignette_id,mean_rating,weight_all30,weight_analysis_pool,source_id_context,game_context,frame,source_id_vignette,game_vignette,setting,setting_code,sender_category,sender_action,receiver_action,joint_action,in_analysis_pool
T01,V01,29.0,0.0188753811201652,0.02262458546034754,UG_MARKET,UG,Market,TG-C-CC-P,TG,personal,P,Cooperation,C,C,C-C,True
T01,V02,50.666666666666664,0.032948952992923504,,UG_MARKET,UG,Market,DG-S-K,DG,anonymous market,K,Self-interest,D,None,D-NA,False
T01,V03,27.0,0.01757084603561661,0.021041897762934556,UG_MARKET,UG,Market,TG-S-DC-P,TG,personal,P,Self-interest,D,C,D-C,True
T01,V04,33.666666666666664,0.021719690238921757,,UG_MARKET,UG,Market,DG-S-P,DG,personal,P,Self-interest,D,None,D-NA,False
T01,V05,89.33333333333333,0.058272196006486865,0.06982727332938794,UG_MARKET,UG,Market,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D,D-D,True
T01,V06,33.0,0.021433972823675467,0.025703199470783488,UG_MARKET,UG,Market,TG-M-CC-K,TG,anonymous market,K,Moral,C,C,C-C,True
T01,V07,37.0,0.023936402713375108,,UG_MARKET,UG,Market,DG-M-P,DG,personal,P,Moral,C,None,C-NA,False
T01,V08,73.66666666666667,0.04807668262757515,0.05754404847794999,UG_MARKET,UG,Market,UG-C-CC-P,UG,personal,P,Cooperation,C,C,C-C,True
T01,V09,90.0,0.05872975720529721,0.070351382344063,UG_MARKET,UG,Market,UG-S-DC-K,UG,anonymous market,K,Self-interest,D,C,D-C,True
T01,V10,72.0,0.04696832639034848,0.056220502111420295,UG_MARKET,UG,Market,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C,C-C,True
T01,V11,34.333333333333336,0.022313548461496968,0.02676469132997566,UG_MARKET,UG,Market,TG-S-DC-K,TG,anonymous market,K,Self-interest,D,C,D-C,True
T01,V12,72.66666666666667,0.0475209545049008,0.05695050790746801,UG_MARKET,UG,Market,UG-S-DD-P,UG,personal,P,Self-interest,D,D,D-D,True
T01,V13,78.0,0.05083734319383917,0.060849429806676604,UG_MARKET,UG,Market,UG-M-CC-K,UG,anonymous market,K,Moral,C,C,C-C,True
T01,V14,78.0,0.05083734319383917,0.060849429806676604,UG_MARKET,UG,Market,UG-M-CD-K,UG,anonymous market,K,Moral,C,D,C-D,True
T01,V15,68.0,0.04440384467140637,0.05317426211357696,UG_MARKET,UG,Market,UG-M-CD-P,UG,personal,P,Moral,C,D,C-D,True
T01,V16,28.0,0.01819198432966561,0.021822234932038654,UG_MARKET,UG,Market,TG-C-CD-P,TG,personal,P,Cooperation,C,D,C-D,True
T01,V17,46.333333333333336,0.030057678751118328,,UG_MARKET,UG,Market,DG-C-K,DG,anonymous market,K,Cooperation,C,None,C-NA,False
T01,V18,29.0,0.018821957646862366,0.022554011082253828,UG_MARKET,UG,Market,TG-M-CC-P,TG,personal,P,Moral,C,C,C-C,True
T01,V19,34.0,0.022058056125440383,0.026467349633591278,UG_MARKET,UG,Market,TG-C-CD-K,TG,anonymous market,K,Cooperation,C,D,C-D,True
T01,V20,69.66666666666667,0.045547747668432226,0.05448453465026459,UG_MARKET,UG,Market,UG-M-CC-P,UG,personal,P,Moral,C,C,C-C,True
T01,V21,73.0,0.04764583316541623,0.0570552266523218,UG_MARKET,UG,Market,UG-C-CD-K,UG,anonymous market,K,Cooperation,C,D,C-D,True
T01,V22,37.333333333333336,0.02413847157612886,,UG_MARKET,UG,Market,DG-C-P,DG,personal,P,Cooperation,C,None,C-NA,False
T01,V23,74.0,0.0483025182192644,0.05782228999158382,UG_MARKET,UG,Market,UG-C-CD-P,UG,personal,P,Cooperation,C,D,C-D,True
T01,V24,33.333333333333336,0.02163015167099738,0.025962340801666775,UG_MARKET,UG,Market,TG-S-DD-K,TG,anonymous market,K,Self-interest,D,D,D-D,True
T01,V25,32.333333333333336,0.020979356632581044,0.02516290344981213,UG_MARKET,UG,Market,TG-M-CD-K,TG,anonymous market,K,Moral,C,D,C-D,True
T01,V26,35.0,0.022741452915939972,0.027269700161900164,UG_MARKET,UG,Market,TG-C-CC-K,TG,anonymous market,K,Cooperation,C,C,C-C,True
T01,V27,73.0,0.047749735104305975,0.05721256241480554,UG_MARKET,UG,Market,UG-S-DC-P,UG,personal,P,Self-interest,D,C,D-C,True
T01,V28,50.0,0.03244091332852626,,UG_MARKET,UG,Market,DG-M-K,DG,anonymous market,K,Moral,C,None,C-NA,False
T01,V29,28.0,0.018135615848646855,0.02176784756024125,UG_MARKET,UG,Market,TG-M-CD-P,TG,personal,P,Moral,C,D,C-D,True
T01,V30,26.333333333333332,0.017113284836806273,0.020517788748259505,UG_MARKET,UG,Market,TG-S-DD-P,TG,personal,P,Self-interest,D,D,D-D,True
T02,V01,83.33333333333333,0.04862814698056014,0.05883393841974832,TG_BONUS,TG,Bonus,TG-C-CC-P,TG,personal,P,Cooperation,C,C,C-C,True
T02,V02,48.0,0.02795942337597045,,TG_BONUS,TG,Bonus,DG-S-K,DG,anonymous market,K,Self-interest,D,None,D-NA,False
T02,V03,77.33333333333333,0.045104318051097124,0.054575641695910525,TG_BONUS,TG,Bonus,TG-S-DC-P,TG,personal,P,Self-interest,D,C,D-C,True
T02,V04,37.333333333333336,0.021713200177450973,,TG_BONUS,TG,Bonus,DG-S-P,DG,personal,P,Self-interest,D,None,D-NA,False
T02,V05,27.666666666666668,0.016080726616262923,0.01946183271304748,TG_BONUS,TG,Bonus,UG-S-DD-K,UG,anonymous market,K,Self-interest,D,D,D-D,True
T02,V06,88.0,0.05131782539042621,0.06209000110515588,TG_BONUS,TG,Bonus,TG-M-CC-K,TG,anonymous market,K,Moral,C,C,C-C,True
T02,V07,44.0,0.025641039032221025,,TG_BONUS,TG,Bonus,DG-M-P,DG,personal,P,Moral,C,None,C-NA,False
T02,V08,36.333333333333336,0.021144814523105,0.02558778595880232,TG_BONUS,TG,Bonus,UG-C-CC-P,UG,personal,P,Cooperation,C,C,C-C,True
T02,V09,28.333333333333332,0.016476374489655606,0.019937683295964445,TG_BONUS,TG,Bonus,UG-S-DC-K,UG,anonymous market,K,Self-interest,D,C,D-C,True
T02,V10,38.0,0.02212557215467235,0.02677322066671367,TG_BONUS,TG,Bonus,UG-C-CC-K,UG,anonymous market,K,Cooperation,C,C,C-C,True
T02,V11,79.66666666666667,0.04646880778072909,0.056225143712467146,TG_BONUS,TG,Bonus,TG-S-DC-K,TG,anonymous market,K,Self-interest,D,C,D-C,True
T02,V12,31.666666666666668,0.018419388787254756,0.022296373450579703,TG_BONUS,TG,Bonus,UG-S-DD-P,UG,personal,P,Self-interest,D,D,D-D,True
T02,V13,47.333333333333336,0.027602554295355727,0.0333981950569931,TG_BONUS,TG,Bonus,UG-M-CC-K,UG,anonymous market,K,Moral,C,C,C-C,True
T02,V14,46.0,0.026809481686863517,0.03244269812871386,TG_BONUS,TG,Bonus,UG-M-CD-K,UG,anonymous market,K,Moral,C,D,C-D,True
T02,V15,34.333333333333336,0.019950763456099547,0.024145051160270176,TG_BONUS,TG,Bonus,UG-M-CD-P,UG,personal,P,Moral,C,D,C-D,True
T02,V16,81.33333333333333,0.0474412033603821,0.05740638667099743,TG_BONUS,TG,Bonus,TG-C-CD-P,TG,personal,P,Cooperation,C,D,C-D,True
T02,V17,55.0,0.03205592403166017,,TG_BONUS,TG,Bonus,DG-C-K,DG,anonymous market,K,Cooperation,C,None,C-NA,False
T02,V18,86.33333333333333,0.05033529089715202,0.06090077063479921,TG_BONUS,TG,Bonus,TG-M-CC-P,TG,personal,P,Moral,C,C,C-C,True
T02,V19,82.0,0.047819604873326156,0.05785906669230676,TG_BONUS,TG,Bonus,TG-C-CD-K,TG,anonymous market,K,Cooperation,C,D,C-D,True
T02,V20,35.666666666666664,0.020742059202884907,0.025096752326104105,TG_BONUS,TG,Bonus,UG-M-CC-P,UG,personal,P,Moral,C,C,C-C,True
T02,V21,36.666666666666664,0.021332499546180137,0.025817723738434425,TG_BONUS,TG,Bonus,UG-C-CD-K,UG,anonymous market,K,Cooperation,C,D,C-D,True
T02,V22,54.666666666666664,0.031823607374066594,,TG_BONUS,TG,Bonus,DG-C-P,DG,personal,P,Cooperation,C,None,C-NA,False
T02,V23,35.666666666666664,0.02074916664971232,0.025111935375885356,TG_BONUS,TG,Bonus,UG-C-CD-P,UG,personal,P,Cooperation,C,D,C-D,True
