context_id,source_id_context,game_context,frame,vignette_family,family_weight_all30
T01,UG_MARKET,UG,Market,DG,0.1652421096009938
T01,UG_MARKET,UG,Market,TG,0.23986560844789412
T01,UG_MARKET,UG,Market,UG,0.594892281951112
T02,TG_BONUS,TG,Bonus,DG,0.1735705338335726
T02,TG_BONUS,TG,Bonus,TG,0.5759832041610369
T02,TG_BONUS,TG,Bonus,UG,0.25044626200539055
T03,UG_AID,UG,Aid,DG,0.18510749455866704
T03,UG_AID,UG,Aid,TG,0.2369481835627716
T03,UG_AID,UG,Aid,UG,0.5779443218785614
T04,UG_CONTROL,UG,Control,DG,0.16104405452036
T04,UG_CONTROL,UG,Control,TG,0.19758331125265918
T04,UG_CONTROL,UG,Control,UG,0.6413726342269808
T05,DG_CONTROL,DG,Control,DG,0.334745064087765
T05,DG_CONTROL,DG,Control,TG,0.30180210443453936
T05,DG_CONTROL,DG,Control,UG,0.36345283147769564
T06,UG_BONUS,UG,Bonus,DG,0.1811733066863916
T06,UG_BONUS,UG,Bonus,TG,0.25278737953698044
T06,UG_BONUS,UG,Bonus,UG,0.566039313776628
T07,DG_AID,DG,Aid,DG,0.2915524683997146
T07,DG_AID,DG,Aid,TG,0.3128149470301073
T07,DG_AID,DG,Aid,UG,0.3956325845701781
T08,TG_CONTROL,TG,Control,DG,0.14266350988839993
T08,TG_CONTROL,TG,Control,TG,0.6506606913620674
T08,TG_CONTROL,TG,Control,UG,0.20667579874953276
T09,TG_MARKET,TG,Market,DG,0.15263735776858992
T09,TG_MARKET,TG,Market,TG,0.6047628728955605
T09,TG_MARKET,TG,Market,UG,0.24259976933584956
T10,TG_AID,TG,Aid,DG,0.1619217128462747
T10,TG_AID,TG,Aid,TG,0.5894658427208592
T10,TG_AID,TG,Aid,UG,0.24861244443286606
T11,DG_MARKET,DG,Market,DG,0.30194438801360807
T11,DG_MARKET,DG,Market,TG,0.3128599256583522
T11,DG_MARKET,DG,Market,UG,0.38519568632803974
T12,DG_BONUS,DG,Bonus,DG,0.31055903622774955
T12,DG_BONUS,DG,Bonus,TG,0.3283962576152415
T12,DG_BONUS,DG,Bonus,UG,0.3610447061570089
