target_game,vignette_family,n_vignettes,total_points_Aid,total_points_Bonus,total_points_Control,total_points_Market,mean_points_per_vignette_Aid,mean_points_per_vignette_Bonus,mean_points_per_vignette_Control,mean_points_per_vignette_Market,comparison,difference_total_points,difference_mean_points
DG,DG,6.0,765.0,776.6666666666666,796.6666666666666,743.3333333333334,127.5,129.44444444444443,132.77777777777777,123.8888888888889,Market-Control,-53.33333333333326,-8.888888888888872
DG,TG,12.0,78.33333333333333,93.33333333333333,70.0,93.33333333333333,6.527777777777779,7.777777777777779,5.833333333333333,7.777777777777778,Market-Control,23.33333333333333,1.9444444444444446
DG,UG,12.0,156.66666666666666,130.0,133.33333333333334,163.33333333333334,13.055555555555555,10.833333333333334,11.111111111111112,13.611111111111112,Market-Control,30.0,2.5
TG,DG,6.0,180.0,166.66666666666666,80.0,116.66666666666667,30.0,27.777777777777775,13.333333333333334,19.444444444444443,Market-Control,36.66666666666667,6.111111111111109
TG,TG,12.0,746.6666666666666,773.3333333333334,843.3333333333334,800.0,62.22222222222223,64.44444444444444,70.27777777777777,66.66666666666667,Market-Control,-43.33333333333337,-3.6111111111111
TG,UG,12.0,73.33333333333333,60.0,76.66666666666667,83.33333333333333,6.111111111111112,5.0,6.388888888888889,6.944444444444444,Market-Control,6.666666666666657,0.5555555555555545
UG,DG,6.0,230.0,233.33333333333334,101.66666666666667,155.0,38.333333333333336,38.888888888888886,16.944444444444446,25.833333333333332,Market-Control,53.33333333333333,8.888888888888886
UG,TG,12.0,53.333333333333336,46.666666666666664,88.33333333333333,68.33333333333333,4.444444444444445,3.8888888888888893,7.361111111111111,5.6944444444444455,Market-Control,-20.0,-1.6666666666666652
UG,UG,12.0,716.6666666666666,720.0,810.0,776.6666666666666,59.72222222222223,60.0,67.5,64.72222222222223,Market-Control,-33.33333333333337,-2.7777777777777715
DG,DG,6.0,765.0,776.6666666666666,796.6666666666666,743.3333333333334,127.5,129.44444444444443,132.77777777777777,123.8888888888889,Aid-Bonus,-11.666666666666629,-1.9444444444444287
DG,TG,12.0,78.33333333333333,93.33333333333333,70.0,93.33333333333333,6.527777777777779,7.777777777777779,5.833333333333333,7.777777777777778,Aid-Bonus,-15.0,-1.25
DG,UG,12.0,156.66666666666666,130.0,133.33333333333334,163.33333333333334,13.055555555555555,10.833333333333334,11.111111111111112,13.611111111111112,Aid-Bonus,26.666666666666657,2.2222222222222214
TG,DG,6.0,180.0,166.66666666666666,80.0,116.66666666666667,30.0,27.777777777777775,13.333333333333334,19.444444444444443,Aid-Bonus,13.333333333333343,2.222222222222225
TG,TG,12.0,746.6666666666666,773.3333333333334,843.3333333333334,800.0,62.22222222222223,64.44444444444444,70.27777777777777,66.66666666666667,Aid-Bonus,-26.666666666666742,-2.2222222222222143
TG,UG,12.0,73.33333333333333,60.0,76.66666666666667,83.33333333333333,6.111111111111112,5.0,6.388888888888889,6.944444444444444,Aid-Bonus,13.333333333333329,1.1111111111111116
UG,DG,6.0,230.0,233.33333333333334,101.66666666666667,155.0,38.333333333333336,38.888888888888886,16.944444444444446,25.833333333333332,Aid-Bonus,-3.333333333333343,-0.55555555555555
UG,TG,12.0,53.333333333333336,46.666666666666664,88.33333333333333,68.33333333333333,4.444444444444445,3.8888888888888893,7.361111111111111,5.6944444444444455,Aid-Bonus,6.666666666666671,0.5555555555555554
UG,UG,12.0,716.6666666666666,720.0,810.0,776.6666666666666,59.72222222222223,60.0,67.5,64.72222222222223,Aid-Bonus,-3.3333333333333712,-0.27777777777777146
