context_id,target_game,frame,vignette_family,total_points,n_vignettes,mean_points_per_vignette,normalized_family_mean_share
T01,UG,Market,DG,155.0,6.0,25.833333333333332,0.2683982683982684
T01,UG,Market,TG,68.33333333333333,12.0,5.6944444444444455,0.059163059163059174
T01,UG,Market,UG,776.6666666666666,12.0,64.72222222222223,0.6724386724386725
T02,TG,Bonus,DG,166.66666666666666,6.0,27.777777777777775,0.2857142857142857
T02,TG,Bonus,TG,773.3333333333334,12.0,64.44444444444444,0.6628571428571429
T02,TG,Bonus,UG,60.0,12.0,5.0,0.051428571428571435
T03,UG,Aid,DG,230.0,6.0,38.333333333333336,0.3739837398373984
T03,UG,Aid,TG,53.333333333333336,12.0,4.444444444444445,0.04336043360433604
T03,UG,Aid,UG,716.6666666666666,12.0,59.72222222222223,0.5826558265582656
T04,UG,Control,DG,101.66666666666667,6.0,16.944444444444446,0.18456883509833588
T04,UG,Control,TG,88.33333333333333,12.0,7.361111111111111,0.08018154311649016
T04,UG,Control,UG,810.0,12.0,67.5,0.735249621785174
T05,DG,Control,DG,796.6666666666666,6.0,132.77777777777777,0.8868274582560296
T05,DG,Control,TG,70.0,12.0,5.833333333333333,0.03896103896103896
T05,DG,Control,UG,133.33333333333334,12.0,11.111111111111112,0.07421150278293136
T06,UG,Bonus,DG,233.33333333333334,6.0,38.888888888888886,0.37837837837837834
T06,UG,Bonus,TG,46.666666666666664,12.0,3.8888888888888893,0.03783783783783785
T06,UG,Bonus,UG,720.0,12.0,60.0,0.5837837837837838
T07,DG,Aid,DG,765.0,6.0,127.5,0.8668555240793201
T07,DG,Aid,TG,78.33333333333333,12.0,6.527777777777779,0.044381491973559964
T07,DG,Aid,UG,156.66666666666666,12.0,13.055555555555555,0.08876298394711991
T08,TG,Control,DG,80.0,6.0,13.333333333333334,0.14814814814814817
T08,TG,Control,TG,843.3333333333334,12.0,70.27777777777777,0.7808641975308642
T08,TG,Control,UG,76.66666666666667,12.0,6.388888888888889,0.07098765432098766
T09,TG,Market,DG,116.66666666666667,6.0,19.444444444444443,0.208955223880597
T09,TG,Market,TG,800.0,12.0,66.66666666666667,0.7164179104477613
T09,TG,Market,UG,83.33333333333333,12.0,6.944444444444444,0.07462686567164178
T10,TG,Aid,DG,180.0,6.0,30.0,0.30508474576271183
T10,TG,Aid,TG,746.6666666666666,12.0,62.22222222222223,0.632768361581921
T10,TG,Aid,UG,73.33333333333333,12.0,6.111111111111112,0.06214689265536723
T11,DG,Market,DG,743.3333333333334,6.0,123.8888888888889,0.8527724665391969
T11,DG,Market,TG,93.33333333333333,12.0,7.777777777777778,0.053537284894837465
T11,DG,Market,UG,163.33333333333334,12.0,13.611111111111112,0.09369024856596558
T12,DG,Bonus,DG,776.6666666666666,6.0,129.44444444444443,0.874296435272045
T12,DG,Bonus,TG,93.33333333333333,12.0,7.777777777777779,0.05253283302063791
T12,DG,Bonus,UG,130.0,12.0,10.833333333333334,0.07317073170731708
