task,context_id,rater_a,rater_b,pearson,spearman,mean_absolute_point_difference,total_variation_distance
structural_all30,T01,relative-agent-1,relative-agent-2,0.9018388948843322,0.9545560128778435,13.333333333333334,0.2
structural_all30,T01,relative-agent-1,relative-agent-3,0.9453391275245258,0.9273593285420696,10.733333333333333,0.161
structural_all30,T01,relative-agent-2,relative-agent-3,0.9113244194030506,0.9094045015712564,15.8,0.237
structural_all30,T02,relative-agent-1,relative-agent-2,0.8402603676485416,0.933139917421323,13.733333333333333,0.206
structural_all30,T02,relative-agent-1,relative-agent-3,0.847786873451185,0.9550386337877738,14.066666666666666,0.211
structural_all30,T02,relative-agent-2,relative-agent-3,0.9603065812439575,0.9796316050605268,6.866666666666666,0.103
structural_all30,T03,relative-agent-1,relative-agent-2,0.8265632612739611,0.9584594492753836,10.666666666666666,0.16
structural_all30,T03,relative-agent-1,relative-agent-3,0.9001773565030168,0.9189049298672525,10.666666666666666,0.16
structural_all30,T03,relative-agent-2,relative-agent-3,0.8755811326350688,0.9335946592519564,11.2,0.168
structural_all30,T04,relative-agent-1,relative-agent-2,0.9628758659017331,0.964158877630631,6.066666666666666,0.091
structural_all30,T04,relative-agent-1,relative-agent-3,0.9842225516056448,0.9045074763811652,5.0,0.075
structural_all30,T04,relative-agent-2,relative-agent-3,0.9439668702558154,0.8792690825097002,8.2,0.123
structural_all30,T05,relative-agent-1,relative-agent-2,0.9662327805700704,0.9392929464292363,8.0,0.12
structural_all30,T05,relative-agent-1,relative-agent-3,0.9709093550188499,0.8638401908025277,7.333333333333333,0.11
structural_all30,T05,relative-agent-2,relative-agent-3,0.9806920606726265,0.8501771461481319,6.866666666666666,0.103
structural_all30,T06,relative-agent-1,relative-agent-2,0.8915903477684356,0.8890887977937179,11.333333333333334,0.17
structural_all30,T06,relative-agent-1,relative-agent-3,0.9006733597879122,0.933423555881767,11.866666666666667,0.178
structural_all30,T06,relative-agent-2,relative-agent-3,0.9625522032825996,0.9675033860188008,8.4,0.126
structural_all30,T07,relative-agent-1,relative-agent-2,0.9350206773268059,0.9557186071348956,10.533333333333333,0.158
structural_all30,T07,relative-agent-1,relative-agent-3,0.9648130304205984,0.7937476904262288,13.6,0.204
structural_all30,T07,relative-agent-2,relative-agent-3,0.9134957300115168,0.7117626984431412,15.133333333333333,0.227
structural_all30,T08,relative-agent-1,relative-agent-2,0.9476966741718783,0.9691035984803958,7.333333333333333,0.11
structural_all30,T08,relative-agent-1,relative-agent-3,0.9674007747203116,0.9196526544462876,6.466666666666667,0.097
structural_all30,T08,relative-agent-2,relative-agent-3,0.8476586598471356,0.9007779488821098,12.266666666666667,0.184
structural_all30,T09,relative-agent-1,relative-agent-2,0.9388214140091168,0.9733665494232716,9.933333333333334,0.149
structural_all30,T09,relative-agent-1,relative-agent-3,0.9308006234962212,0.9151177798618757,13.333333333333334,0.2
structural_all30,T09,relative-agent-2,relative-agent-3,0.9372242617719503,0.9370549659234575,10.133333333333333,0.152
structural_all30,T10,relative-agent-1,relative-agent-2,0.9414667226726912,0.9718767568007706,8.0,0.12
structural_all30,T10,relative-agent-1,relative-agent-3,0.8793354254236738,0.9580921511309755,12.0,0.18
structural_all30,T10,relative-agent-2,relative-agent-3,0.9274187821190046,0.9761213651897516,9.8,0.147
structural_all30,T11,relative-agent-1,relative-agent-2,0.9764790745728976,0.8957269524499185,6.8,0.102
structural_all30,T11,relative-agent-1,relative-agent-3,0.9676897757003174,0.8847135836635704,12.066666666666666,0.181
structural_all30,T11,relative-agent-2,relative-agent-3,0.9677095756606786,0.9380947109042046,8.933333333333334,0.134
structural_all30,T12,relative-agent-1,relative-agent-2,0.9935891329316549,0.9134335052702399,4.733333333333333,0.071
structural_all30,T12,relative-agent-1,relative-agent-3,0.9834704925311456,0.6165059430365553,13.733333333333333,0.206
structural_all30,T12,relative-agent-2,relative-agent-3,0.9673569797809053,0.5842117066606863,16.0,0.24
within_game,T01,relative-agent-1,relative-agent-2,0.8486805129089353,0.5590653920196748,33.333333333333336,0.2
within_game,T01,relative-agent-1,relative-agent-3,0.9675971382139442,1.0,11.666666666666666,0.07
within_game,T01,relative-agent-2,relative-agent-3,0.810078249186791,0.5590653920196748,36.666666666666664,0.22
within_game,T02,relative-agent-1,relative-agent-2,0.5542818463245442,0.4638168285219587,25.0,0.15
within_game,T02,relative-agent-1,relative-agent-3,0.652729325670566,0.7075535986363439,20.833333333333332,0.125
within_game,T02,relative-agent-2,relative-agent-3,0.8328859626540596,0.8566707137397943,15.0,0.09
within_game,T03,relative-agent-1,relative-agent-2,0.4555403515492655,0.6000000000000001,23.333333333333332,0.14
within_game,T03,relative-agent-1,relative-agent-3,0.9691655971223585,0.9411779658470733,14.166666666666666,0.085
