provider,model,replicate,context_id,vignette_id,presentation_label,presentation_order,rating,prompt_version,attempts,timestamp_utc,input_fingerprint
codex,codex-self-rating,1,T01,V01,V01,1,27.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V02,V02,2,56.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V03,V03,3,24.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V04,V04,4,38.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V05,V05,5,86.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V06,V06,6,30.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V07,V07,7,42.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V08,V08,8,68.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V09,V09,9,86.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V10,V10,10,66.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V11,V11,11,32.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V12,V12,12,74.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V13,V13,13,70.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V14,V14,14,70.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V15,V15,15,65.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V16,V16,16,26.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V17,V17,17,48.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V18,V18,18,25.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V19,V19,19,31.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V20,V20,20,65.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V21,V21,21,69.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V22,V22,22,41.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V23,V23,23,69.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V24,V24,24,31.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V25,V25,25,29.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V26,V26,26,32.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V27,V27,27,74.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V28,V28,28,53.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V29,V29,29,25.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T01,V30,V30,30,24.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T02,V01,V01,1,84.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T02,V02,V02,2,52.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
codex,codex-self-rating,1,T02,V03,V03,3,78.0,round6-neutral-v1,1,2026-08-17T14:16:22.421688+00:00,876368ab1629fc052a449e4ec277239a1d67750e45e4670817814d172c411886
