replicate,term,coefficient,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
1,weight_C,-0.0527380859339488,True,159,0.0043082337991026,1190,1125
1,weight_M,0.1999716860253312,True,159,0.0043082337991026,1190,1125
1,weight_S,-0.0418519856849452,True,159,0.0043082337991026,1190,1125
2,weight_C,-0.2164976942265011,True,129,0.0022100664560467,1210,1125
2,weight_M,0.0504079253510712,True,129,0.0022100664560467,1210,1125
2,weight_S,-0.0931279888383055,True,129,0.0022100664560467,1210,1125
3,weight_C,-0.0848775286696077,True,146,0.0013673949911758,1205,1125
3,weight_M,0.1301715934740318,True,146,0.0013673949911758,1205,1125
3,weight_S,-0.0585198045247789,True,146,0.0013673949911758,1205,1125
4,weight_C,-0.0578835167779342,True,142,0.0012857547973266,1193,1125
4,weight_M,0.1807749960894289,True,142,0.0012857547973266,1193,1125
4,weight_S,0.0093926105701405,True,142,0.0012857547973266,1193,1125
5,weight_C,-0.0182832213648142,True,148,0.0046271748740839,1200,1125
5,weight_M,0.1848890702586064,True,148,0.0046271748740839,1200,1125
5,weight_S,0.0201321436737733,True,148,0.0046271748740839,1200,1125
6,weight_C,-0.038340287629298,True,126,0.0024881290299663,1196,1125
6,weight_M,0.1262282703407275,True,126,0.0024881290299663,1196,1125
6,weight_S,-0.0645795522340122,True,126,0.0024881290299663,1196,1125
7,weight_C,-0.0598741814303099,True,155,0.0005966045447971,1208,1125
7,weight_M,0.0921495405533961,True,155,0.0005966045447971,1208,1125
7,weight_S,-0.1288414596159904,True,155,0.0005966045447971,1208,1125
8,weight_C,-0.053493183511976,True,154,0.0036350734171441,1187,1125
8,weight_M,0.2484985151267042,True,154,0.0036350734171441,1187,1125
8,weight_S,0.0042414896768115,True,154,0.0036350734171441,1187,1125
9,weight_C,-0.0530255858385632,True,138,0.0021181654468012,1208,1125
9,weight_M,0.1099343249180403,True,138,0.0021181654468012,1208,1125
9,weight_S,-0.0211892181646651,True,138,0.0021181654468012,1208,1125
10,weight_C,-0.067751556320728,True,130,0.0028392518445925,1194,1125
10,weight_M,0.1597703532987563,True,130,0.0028392518445925,1194,1125
10,weight_S,0.0078041811041747,True,130,0.0028392518445925,1194,1125
11,weight_C,-0.0503745251569513,True,142,0.0009452582407045,1193,1125
11,weight_M,0.131637265460153,True,142,0.0009452582407045,1193,1125
11,weight_S,-0.0492295812469356,True,142,0.0009452582407045,1193,1125
12,weight_C,-0.0819725520188148,True,151,0.0017913287254793,1202,1125
12,weight_M,0.1759957451173204,True,151,0.0017913287254793,1202,1125
12,weight_S,-0.0679874090231627,True,151,0.0017913287254793,1202,1125
13,weight_C,-0.1105677941385465,True,131,0.0022727091893394,1184,1125
13,weight_M,0.1191363855026443,True,131,0.0022727091893394,1184,1125
13,weight_S,-0.1380363042523284,True,131,0.0022727091893394,1184,1125
14,weight_C,-0.1245109359109989,True,134,0.0042532423496648,1184,1125
14,weight_M,0.1556287791931258,True,134,0.0042532423496648,1184,1125
14,weight_S,-0.1012705698539266,True,134,0.0042532423496648,1184,1125
15,weight_C,-0.1338336531306165,True,134,0.0027401070855588,1201,1125
