term,category_vs_no_clear,log_odds_coefficient,odds_ratio
Intercept,Moral,-0.06866057056441485,0.9336435323978973
Intercept,Self-interest,-0.9342516934482127,0.3928797500509767
Intercept,Mutual Benefit / Cooperation,-1.0992330405648305,0.33312648024329267
HP=6,Moral,0.3063365478136301,1.3584394094382843
HP=6,Self-interest,-0.5082708464019852,0.6015348261531571
HP=6,Mutual Benefit / Cooperation,0.09257790423240982,1.0969985990653248
HP=8,Moral,-0.5052688019555889,0.6033433737491977
HP=8,Self-interest,0.045578239974368905,1.0466328899410366
HP=8,Mutual Benefit / Cooperation,-0.36121297062810576,0.6968305782169306
HP=12,Moral,-0.8519101627914816,0.4265992791120518
HP=12,Self-interest,0.8394013568742633,2.314980714593323
HP=12,Mutual Benefit / Cooperation,-0.48844669711633454,0.6135787279690407
