replicate,term,coefficient,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
1,weight_C,-0.11758577625447571,True,110,0.0010230115107092708,1063,990
1,weight_S,-0.10815585584918065,True,110,0.0010230115107092708,1063,990
2,weight_C,-0.19887976931415433,True,112,0.0017714581662276463,1075,990
2,weight_S,-0.20033696534628778,True,112,0.0017714581662276463,1075,990
3,weight_C,-0.25781628081054,True,110,0.0016235151929602232,1068,990
3,weight_S,-0.19403673250097472,True,110,0.0016235151929602232,1068,990
4,weight_C,-0.3028093738494902,True,111,0.001244385755338584,1059,990
4,weight_S,-0.24632068635648863,True,111,0.001244385755338584,1059,990
5,weight_C,-0.12949787102721075,True,98,0.0034658278863894942,1060,990
5,weight_S,-0.05602644535484248,True,98,0.0034658278863894942,1060,990
6,weight_C,-0.19808923767489953,True,97,0.0007002766782606695,1067,990
6,weight_S,-0.18486154223508142,True,97,0.0007002766782606695,1067,990
7,weight_C,-0.2889871910239907,True,94,0.0004512935005505092,1050,990
7,weight_S,-0.27943737663480966,True,94,0.0004512935005505092,1050,990
8,weight_C,-0.2725092163388415,True,111,0.00048311569172909685,1050,990
8,weight_S,-0.19603684313440312,True,111,0.00048311569172909685,1050,990
9,weight_C,-0.22365080024714756,True,106,0.003653774105337959,1058,990
9,weight_S,-0.13313502129145124,True,106,0.003653774105337959,1058,990
10,weight_C,-0.21165523717986198,True,104,0.0007895415006257123,1063,990
10,weight_S,-0.22940570623630818,True,104,0.0007895415006257123,1063,990
11,weight_C,-0.2787287734673206,True,102,0.005328695326386246,1053,990
11,weight_S,-0.23932937340057686,True,102,0.005328695326386246,1053,990
12,weight_C,-0.2849080961567909,True,108,0.0013495871971245244,1065,990
12,weight_S,-0.24726338749762053,True,108,0.0013495871971245244,1065,990
13,weight_C,-0.22204759889072556,True,102,0.0010385068503224737,1052,990
13,weight_S,-0.1570932047046214,True,102,0.0010385068503224737,1052,990
14,weight_C,-0.32229473227931854,True,112,0.001328566777954343,1059,990
14,weight_S,-0.21479220285825945,True,112,0.001328566777954343,1059,990
15,weight_C,-0.3705325910322725,True,104,0.004101873948387014,1069,990
15,weight_S,-0.30610225823823217,True,104,0.004101873948387014,1069,990
16,weight_C,-0.2625826599660915,True,113,0.0010715049811973465,1073,990
16,weight_S,-0.19175177846065322,True,113,0.0010715049811973465,1073,990
17,weight_C,-0.3432747239598071,True,117,0.0008090070824806617,1071,990
17,weight_S,-0.3372992982747292,True,117,0.0008090070824806617,1071,990
18,weight_C,-0.2533590054793251,True,115,0.00040987449317775315,1050,990
18,weight_S,-0.24564605259449157,True,115,0.00040987449317775315,1050,990
19,weight_C,-0.2816487966330977,True,103,0.0003538148638486671,1054,990
19,weight_S,-0.20986976660731055,True,103,0.0003538148638486671,1054,990
20,weight_C,-0.24125929223249637,True,110,0.00040754816005517114,1061,990
20,weight_S,-0.18980952211000324,True,110,0.00040754816005517114,1061,990
21,weight_C,-0.22572481547456338,True,115,0.00306728080405283,1071,990
21,weight_S,-0.26021207551152803,True,115,0.00306728080405283,1071,990
22,weight_C,-0.2936097505054541,True,124,0.002176117449419035,1052,990
22,weight_S,-0.23437076701961987,True,124,0.002176117449419035,1052,990
23,weight_C,-0.21876308157603375,True,119,0.0013966976532695519,1041,990
23,weight_S,-0.2455004258534996,True,119,0.0013966976532695519,1041,990
24,weight_C,-0.17669951403108272,True,99,0.000846718102193833,1074,990
24,weight_S,-0.1514162826086403,True,99,0.000846718102193833,1074,990
25,weight_C,-0.28548500932150256,True,110,0.004971660047444981,1059,990
25,weight_S,-0.21048641659367215,True,110,0.004971660047444981,1059,990
26,weight_C,-0.21224411446580002,True,104,0.0017581212145376668,1065,990
26,weight_S,-0.13616244406071473,True,104,0.0017581212145376668,1065,990
27,weight_C,-0.30564097144332264,True,112,0.004331748787672396,1076,990
27,weight_S,-0.24293283015977196,True,112,0.004331748787672396,1076,990
28,weight_C,-0.24071764019000078,True,119,0.0035747508784558235,1082,990
28,weight_S,-0.19588421762048855,True,119,0.0035747508784558235,1082,990
29,weight_C,-0.2197639903143838,True,100,0.0007472663769898524,1054,990
29,weight_S,-0.12059363443037986,True,100,0.0007472663769898524,1054,990
30,weight_C,-0.16573122624281592,True,107,0.001095754197782961,1061,990
30,weight_S,-0.09849951938235077,True,107,0.001095754197782961,1061,990
31,weight_C,-0.2187460789501802,True,105,0.0006963038108089847,1054,990
31,weight_S,-0.21354581234578052,True,105,0.0006963038108089847,1054,990
32,weight_C,-0.332493813949198,True,114,0.0017549772934860597,1063,990
32,weight_S,-0.2666812583277669,True,114,0.0017549772934860597,1063,990
33,weight_C,-0.19048629895154962,True,112,0.001264775772074067,1054,990
33,weight_S,-0.14847260451408534,True,112,0.001264775772074067,1054,990
34,weight_C,-0.2616989797085106,True,101,0.0017208555356438282,1039,990
34,weight_S,-0.2845323220689629,True,101,0.0017208555356438282,1039,990
35,weight_C,-0.29893765484144363,True,108,0.004505550124549007,1052,990
35,weight_S,-0.2359313995539326,True,108,0.004505550124549007,1052,990
36,weight_C,-0.24115179993222213,True,103,0.0011431324154567157,1071,990
36,weight_S,-0.2285166847268623,True,103,0.0011431324154567157,1071,990
