context_id,target_game,frame,class,points,share
T01,TG,Aid,C-C,258.3333333333333,0.25833333333333336
T01,TG,Aid,C-D,245.0,0.245
T01,TG,Aid,M-C,265.0,0.26499999999999996
T01,TG,Aid,S-D,231.66666666666666,0.23166666666666666
T02,TG,Control,C-C,265.0,0.265
T02,TG,Control,C-D,246.66666666666666,0.24666666666666667
T02,TG,Control,M-C,248.33333333333334,0.24833333333333332
T02,TG,Control,S-D,240.0,0.24
T03,DG,Control,C,295.6666666666667,0.2956666666666667
T03,DG,Control,M,352.6666666666667,0.3526666666666667
T03,DG,Control,S,351.6666666666667,0.35166666666666674
T04,DG,Bonus,C,398.3333333333333,0.3983333333333334
T04,DG,Bonus,M,376.6666666666667,0.37666666666666665
T04,DG,Bonus,S,225.0,0.225
T05,DG,Market,C,335.0,0.33499999999999996
T05,DG,Market,M,316.6666666666667,0.31666666666666665
T05,DG,Market,S,348.3333333333333,0.34833333333333333
T06,UG,Aid,C-C,215.0,0.215
T06,UG,Aid,C-D,195.0,0.19499999999999998
T06,UG,Aid,M-C,261.6666666666667,0.26166666666666666
T06,UG,Aid,S-C,328.3333333333333,0.3283333333333333
T07,UG,Control,C-C,256.6666666666667,0.25666666666666665
T07,UG,Control,C-D,255.0,0.255
T07,UG,Control,M-C,241.66666666666666,0.24166666666666667
T07,UG,Control,S-C,246.66666666666666,0.24666666666666667
T08,UG,Bonus,C-C,286.6666666666667,0.2866666666666667
T08,UG,Bonus,C-D,210.0,0.21
T08,UG,Bonus,M-C,331.6666666666667,0.33166666666666667
T08,UG,Bonus,S-C,171.66666666666666,0.17166666666666666
T09,DG,Aid,C,283.3333333333333,0.2833333333333333
T09,DG,Aid,M,346.6666666666667,0.3466666666666667
T09,DG,Aid,S,370.0,0.36999999999999994
T10,TG,Bonus,C-C,308.3333333333333,0.30833333333333335
T10,TG,Bonus,C-D,208.33333333333334,0.20833333333333334
T10,TG,Bonus,M-C,320.0,0.32
T10,TG,Bonus,S-D,163.33333333333334,0.16333333333333333
T11,UG,Market,C-C,285.0,0.285
T11,UG,Market,C-D,261.6666666666667,0.26166666666666666
T11,UG,Market,M-C,180.0,0.18000000000000002
T11,UG,Market,S-C,273.3333333333333,0.2733333333333333
T12,TG,Market,C-C,280.0,0.28
T12,TG,Market,C-D,251.66666666666666,0.25166666666666665
T12,TG,Market,M-C,231.66666666666666,0.2316666666666667
T12,TG,Market,S-D,236.66666666666666,0.23666666666666666
