rater,replicate,context_id,target_game,frame,vignette_family,total_points,n_vignettes,mean_points_per_vignette,normalized_family_mean_share,ratings_source
relative-agent-1,1,T04,DG,Aid,DG,700,6,116.66666666666667,0.7567567567567567,round9_dg_c_neutral
relative-agent-1,1,T04,DG,Aid,TG,140,8,17.5,0.1135135135135135,round9_dg_c_neutral
relative-agent-1,1,T04,DG,Aid,UG,160,8,20.0,0.1297297297297297,round9_dg_c_neutral
relative-agent-1,1,T06,DG,Control,DG,820,6,136.66666666666666,0.8586387434554974,round9_dg_c_neutral
relative-agent-1,1,T06,DG,Control,TG,90,8,11.25,0.07068062827225131,round9_dg_c_neutral
relative-agent-1,1,T06,DG,Control,UG,90,8,11.25,0.07068062827225131,round9_dg_c_neutral
relative-agent-1,1,T10,DG,Market,DG,700,6,116.66666666666667,0.7567567567567567,round9_dg_c_neutral
relative-agent-1,1,T10,DG,Market,TG,180,8,22.5,0.14594594594594593,round9_dg_c_neutral
relative-agent-1,1,T10,DG,Market,UG,120,8,15.0,0.09729729729729729,round9_dg_c_neutral
relative-agent-1,1,T11,DG,Bonus,DG,700,6,116.66666666666667,0.7567567567567567,round9_dg_c_neutral
relative-agent-1,1,T11,DG,Bonus,TG,160,8,20.0,0.1297297297297297,round9_dg_c_neutral
relative-agent-1,1,T11,DG,Bonus,UG,140,8,17.5,0.1135135135135135,round9_dg_c_neutral
relative-agent-2,1,T04,DG,Aid,DG,820,6,136.66666666666666,0.8586387434554974,round9_dg_c_neutral
relative-agent-2,1,T04,DG,Aid,TG,85,8,10.625,0.06675392670157068,round9_dg_c_neutral
relative-agent-2,1,T04,DG,Aid,UG,95,8,11.875,0.07460732984293195,round9_dg_c_neutral
relative-agent-2,1,T06,DG,Control,DG,830,6,138.33333333333334,0.8668407310704961,round9_dg_c_neutral
relative-agent-2,1,T06,DG,Control,TG,80,8,10.0,0.06266318537859007,round9_dg_c_neutral
relative-agent-2,1,T06,DG,Control,UG,90,8,11.25,0.07049608355091383,round9_dg_c_neutral
relative-agent-2,1,T10,DG,Market,DG,780,6,130.0,0.8253968253968254,round9_dg_c_neutral
relative-agent-2,1,T10,DG,Market,TG,90,8,11.25,0.07142857142857142,round9_dg_c_neutral
relative-agent-2,1,T10,DG,Market,UG,130,8,16.25,0.10317460317460317,round9_dg_c_neutral
relative-agent-2,1,T11,DG,Bonus,DG,850,6,141.66666666666666,0.8831168831168831,round9_dg_c_neutral
relative-agent-2,1,T11,DG,Bonus,TG,50,8,6.25,0.03896103896103896,round9_dg_c_neutral
relative-agent-2,1,T11,DG,Bonus,UG,100,8,12.5,0.07792207792207792,round9_dg_c_neutral
relative-agent-3,1,T04,DG,Aid,DG,700,6,116.66666666666667,0.7567567567567567,round9_dg_c_neutral
relative-agent-3,1,T04,DG,Aid,TG,120,8,15.0,0.09729729729729729,round9_dg_c_neutral
relative-agent-3,1,T04,DG,Aid,UG,180,8,22.5,0.14594594594594593,round9_dg_c_neutral
relative-agent-3,1,T06,DG,Control,DG,800,6,133.33333333333334,0.8421052631578948,round9_dg_c_neutral
relative-agent-3,1,T06,DG,Control,TG,80,8,10.0,0.06315789473684211,round9_dg_c_neutral
relative-agent-3,1,T06,DG,Control,UG,120,8,15.0,0.09473684210526315,round9_dg_c_neutral
relative-agent-3,1,T10,DG,Market,DG,800,6,133.33333333333334,0.8421052631578948,round9_dg_c_neutral
relative-agent-3,1,T10,DG,Market,TG,90,8,11.25,0.07105263157894737,round9_dg_c_neutral
relative-agent-3,1,T10,DG,Market,UG,110,8,13.75,0.08684210526315789,round9_dg_c_neutral
relative-agent-3,1,T11,DG,Bonus,DG,780,6,130.0,0.8253968253968254,round9_dg_c_neutral
relative-agent-3,1,T11,DG,Bonus,TG,80,8,10.0,0.06349206349206349,round9_dg_c_neutral
relative-agent-3,1,T11,DG,Bonus,UG,140,8,17.5,0.1111111111111111,round9_dg_c_neutral
relative-agent-1,1,T01,TG,Aid,DG,140,6,23.333333333333332,0.178343949044586,round8_original
relative-agent-1,1,T01,TG,Aid,TG,750,8,93.75,0.7165605095541402,round8_original
relative-agent-1,1,T01,TG,Aid,UG,110,8,13.75,0.1050955414012739,round8_original
relative-agent-1,1,T02,TG,Control,DG,90,6,15.0,0.11650485436893204,round8_original
relative-agent-1,1,T02,TG,Control,TG,820,8,102.5,0.7961165048543689,round8_original
relative-agent-1,1,T02,TG,Control,UG,90,8,11.25,0.08737864077669903,round8_original
relative-agent-1,1,T06,UG,Aid,DG,130,6,21.666666666666668,0.16613418530351437,round8_original
relative-agent-1,1,T06,UG,Aid,TG,120,8,15.0,0.11501597444089455,round8_original
relative-agent-1,1,T06,UG,Aid,UG,750,8,93.75,0.718849840255591,round8_original
relative-agent-1,1,T07,UG,Control,DG,90,6,15.0,0.11650485436893204,round8_original
relative-agent-1,1,T07,UG,Control,TG,90,8,11.25,0.08737864077669903,round8_original
relative-agent-1,1,T07,UG,Control,UG,820,8,102.5,0.7961165048543689,round8_original
relative-agent-1,1,T08,UG,Bonus,DG,150,6,25.0,0.19047619047619047,round8_original
relative-agent-1,1,T08,UG,Bonus,TG,90,8,11.25,0.08571428571428572,round8_original
relative-agent-1,1,T08,UG,Bonus,UG,760,8,95.0,0.7238095238095238,round8_original
relative-agent-1,1,T10,TG,Bonus,DG,150,6,25.0,0.19047619047619047,round8_original
relative-agent-1,1,T10,TG,Bonus,TG,750,8,93.75,0.7142857142857143,round8_original
relative-agent-1,1,T10,TG,Bonus,UG,100,8,12.5,0.09523809523809523,round8_original
relative-agent-1,1,T11,UG,Market,DG,120,6,20.0,0.15384615384615385,round8_original
relative-agent-1,1,T11,UG,Market,TG,150,8,18.75,0.14423076923076922,round8_original
relative-agent-1,1,T11,UG,Market,UG,730,8,91.25,0.7019230769230769,round8_original
relative-agent-1,1,T12,TG,Market,DG,120,6,20.0,0.15384615384615385,round8_original
relative-agent-1,1,T12,TG,Market,TG,730,8,91.25,0.7019230769230769,round8_original
relative-agent-1,1,T12,TG,Market,UG,150,8,18.75,0.14423076923076922,round8_original
relative-agent-2,1,T01,TG,Aid,DG,65,6,10.833333333333334,0.08482871125611746,round8_original
relative-agent-2,1,T01,TG,Aid,TG,700,8,87.5,0.6851549755301795,round8_original
relative-agent-2,1,T01,TG,Aid,UG,235,8,29.375,0.2300163132137031,round8_original
relative-agent-2,1,T02,TG,Control,DG,80,6,13.333333333333334,0.10389610389610392,round8_original
relative-agent-2,1,T02,TG,Control,TG,800,8,100.0,0.7792207792207794,round8_original
relative-agent-2,1,T02,TG,Control,UG,120,8,15.0,0.1168831168831169,round8_original
relative-agent-2,1,T06,UG,Aid,DG,140,6,23.333333333333332,0.178343949044586,round8_original
relative-agent-2,1,T06,UG,Aid,TG,160,8,20.0,0.15286624203821658,round8_original
relative-agent-2,1,T06,UG,Aid,UG,700,8,87.5,0.6687898089171975,round8_original
relative-agent-2,1,T07,UG,Control,DG,90,6,15.0,0.11650485436893204,round8_original
relative-agent-2,1,T07,UG,Control,TG,110,8,13.75,0.10679611650485436,round8_original
relative-agent-2,1,T07,UG,Control,UG,800,8,100.0,0.7766990291262136,round8_original
relative-agent-2,1,T08,UG,Bonus,DG,210,6,35.0,0.2616822429906542,round8_original
relative-agent-2,1,T08,UG,Bonus,TG,90,8,11.25,0.08411214953271028,round8_original
relative-agent-2,1,T08,UG,Bonus,UG,700,8,87.5,0.6542056074766355,round8_original
relative-agent-2,1,T10,TG,Bonus,DG,210,6,35.0,0.2616822429906542,round8_original
relative-agent-2,1,T10,TG,Bonus,TG,700,8,87.5,0.6542056074766355,round8_original
relative-agent-2,1,T10,TG,Bonus,UG,90,8,11.25,0.08411214953271028,round8_original
relative-agent-2,1,T11,UG,Market,DG,150,6,25.0,0.19047619047619047,round8_original
relative-agent-2,1,T11,UG,Market,TG,150,8,18.75,0.14285714285714285,round8_original
relative-agent-2,1,T11,UG,Market,UG,700,8,87.5,0.6666666666666666,round8_original
relative-agent-2,1,T12,TG,Market,DG,140,6,23.333333333333332,0.178343949044586,round8_original
relative-agent-2,1,T12,TG,Market,TG,700,8,87.5,0.6687898089171975,round8_original
relative-agent-2,1,T12,TG,Market,UG,160,8,20.0,0.15286624203821658,round8_original
relative-agent-3,1,T01,TG,Aid,DG,160,6,26.666666666666668,0.20253164556962022,round8_original
relative-agent-3,1,T01,TG,Aid,TG,750,8,93.75,0.7120253164556961,round8_original
relative-agent-3,1,T01,TG,Aid,UG,90,8,11.25,0.08544303797468353,round8_original
relative-agent-3,1,T02,TG,Control,DG,80,6,13.333333333333334,0.10389610389610392,round8_original
relative-agent-3,1,T02,TG,Control,TG,800,8,100.0,0.7792207792207794,round8_original
relative-agent-3,1,T02,TG,Control,UG,120,8,15.0,0.1168831168831169,round8_original
relative-agent-3,1,T06,UG,Aid,DG,170,6,28.333333333333332,0.21451104100946375,round8_original
relative-agent-3,1,T06,UG,Aid,TG,70,8,8.75,0.06624605678233439,round8_original
relative-agent-3,1,T06,UG,Aid,UG,760,8,95.0,0.719242902208202,round8_original
relative-agent-3,1,T07,UG,Control,DG,64,6,10.666666666666666,0.0835509138381201,round8_original
relative-agent-3,1,T07,UG,Control,TG,96,8,12.0,0.09399477806788513,round8_original
relative-agent-3,1,T07,UG,Control,UG,840,8,105.0,0.8224543080939949,round8_original
relative-agent-3,1,T08,UG,Bonus,DG,160,6,26.666666666666668,0.20253164556962028,round8_original
relative-agent-3,1,T08,UG,Bonus,TG,40,8,5.0,0.0379746835443038,round8_original
relative-agent-3,1,T08,UG,Bonus,UG,800,8,100.0,0.759493670886076,round8_original
relative-agent-3,1,T10,TG,Bonus,DG,160,6,26.666666666666668,0.20253164556962022,round8_original
relative-agent-3,1,T10,TG,Bonus,TG,800,8,100.0,0.7594936708860759,round8_original
relative-agent-3,1,T10,TG,Bonus,UG,40,8,5.0,0.03797468354430379,round8_original
relative-agent-3,1,T11,UG,Market,DG,100,6,16.666666666666668,0.12903225806451615,round8_original
relative-agent-3,1,T11,UG,Market,TG,60,8,7.5,0.05806451612903226,round8_original
relative-agent-3,1,T11,UG,Market,UG,840,8,105.0,0.8129032258064517,round8_original
relative-agent-3,1,T12,TG,Market,DG,40,6,6.666666666666667,0.05263157894736842,round8_original
relative-agent-3,1,T12,TG,Market,TG,900,8,112.5,0.888157894736842,round8_original
relative-agent-3,1,T12,TG,Market,UG,60,8,7.5,0.05921052631578947,round8_original
