target_game,class,comparison,difference_share,sd_across_agents,n_agents,ci95_low,ci95_high,difference_points,ratings_source
DG,C,Aid-Bonus,-0.12166666666666666,0.052993710318615474,3,-0.25331034095966276,0.009977007626329457,-121.66666666666666,round9_dg_c_neutral
DG,C,Market-Control,0.01666666666666668,0.005773502691896263,3,0.0023244909002957496,0.03100884243303761,16.666666666666682,round9_dg_c_neutral
DG,M,Aid-Bonus,-0.013333333333333327,0.0028867513459481155,3,-0.020504421216518753,-0.006162245450147903,-13.333333333333327,round9_dg_c_neutral
DG,M,Market-Control,-0.02833333333333334,0.007637626158259716,3,-0.04730624850203062,-0.009360418164636057,-28.33333333333334,round9_dg_c_neutral
DG,S,Aid-Bonus,0.135,0.050744457825461074,3,0.008943778648707323,0.2610562213512927,135.0,round9_dg_c_neutral
DG,S,Market-Control,0.011666666666666659,0.010408329997330651,3,-0.014189058397016997,0.03752239173035031,11.666666666666659,round9_dg_c_neutral
TG,C-C,Aid-Bonus,-0.04999999999999999,0.02645751311064593,3,-0.11572410607975606,0.01572410607975608,-49.999999999999986,round8_original
TG,C-C,Market-Control,0.014999999999999994,0.015000000000000015,3,-0.02226206567765634,0.05226206567765632,14.999999999999995,round8_original
TG,C-D,Aid-Bonus,0.036666666666666674,0.03013856886670855,3,-0.03820168883612406,0.1115350221694574,36.66666666666667,round8_original
TG,C-D,Market-Control,0.004999999999999995,0.008660254037844378,3,-0.01651326364955636,0.02651326364955635,4.999999999999995,round8_original
TG,M-C,Aid-Bonus,-0.055000000000000014,0.03968626966596886,3,-0.15358615911963402,0.043586159119634,-55.000000000000014,round8_original
TG,M-C,Market-Control,-0.016666666666666673,0.0028867513459481155,3,-0.023837754549852097,-0.00949557878348125,-16.666666666666675,round8_original
TG,S-D,Aid-Bonus,0.06833333333333332,0.03253203549323854,3,-0.012480722878460027,0.14914738954512666,68.33333333333331,round8_original
TG,S-D,Market-Control,-0.003333333333333336,0.005773502691896263,3,-0.017675509099704268,0.011008842433037595,-3.333333333333336,round8_original
UG,C-C,Aid-Bonus,-0.07166666666666667,0.02020725942163689,3,-0.12186428184896485,-0.021469051484368493,-71.66666666666667,round8_original
UG,C-C,Market-Control,0.02833333333333332,0.016072751268321573,3,-0.011593594225388804,0.06826026089205545,28.33333333333332,round8_original
UG,C-D,Aid-Bonus,-0.015000000000000005,0.05074445782546109,3,-0.14105622135129273,0.11105622135129271,-15.000000000000005,round8_original
UG,C-D,Market-Control,0.006666666666666654,0.016072751268321573,3,-0.03326026089205547,0.04659359422538878,6.666666666666654,round8_original
UG,M-C,Aid-Bonus,-0.06999999999999999,0.034999999999999996,3,-0.15694481991453132,0.01694481991453134,-69.99999999999999,round8_original
UG,M-C,Market-Control,-0.061666666666666675,0.018929694486000914,3,-0.1086906346130223,-0.014642698720311056,-61.66666666666668,round8_original
UG,S-C,Aid-Bonus,0.15666666666666665,0.09073771725877468,3,-0.06873831866247126,0.38207165199580456,156.66666666666666,round8_original
UG,S-C,Market-Control,0.026666666666666655,0.014433756729740625,3,-0.009188772749260585,0.0625221060825939,26.666666666666654,round8_original
