rater,replicate,target_game,vignette_family,comparison,difference_share
relative-agent-1,1,DG,DG,Market-Control,-0.10188198669874071
relative-agent-1,1,DG,TG,Market-Control,0.07526531767369461
relative-agent-1,1,DG,UG,Market-Control,0.026616669025045975
relative-agent-1,1,TG,DG,Market-Control,0.03734129947722181
relative-agent-1,1,TG,TG,Market-Control,-0.12303958177744578
relative-agent-1,1,TG,UG,Market-Control,0.08569828230022404
relative-agent-1,1,UG,DG,Market-Control,0.012527403695584083
relative-agent-1,1,UG,TG,Market-Control,0.10616974632007513
relative-agent-1,1,UG,UG,Market-Control,-0.11869715001565928
relative-agent-2,1,DG,DG,Market-Control,-0.04144390567367073
relative-agent-2,1,DG,TG,Market-Control,0.008765386049981352
relative-agent-2,1,DG,UG,Market-Control,0.03267851962368934
relative-agent-2,1,TG,DG,Market-Control,-0.012608750472828126
relative-agent-2,1,TG,TG,Market-Control,0.022065313327449432
relative-agent-2,1,TG,UG,Market-Control,-0.009456562854621098
relative-agent-2,1,UG,DG,Market-Control,-0.01244684161394044
relative-agent-2,1,UG,TG,Market-Control,-0.009335131210455358
relative-agent-2,1,UG,UG,Market-Control,0.021781972824395757
relative-agent-3,1,DG,DG,Market-Control,0.0
relative-agent-3,1,DG,TG,Market-Control,0.00789473684210526
relative-agent-3,1,DG,UG,Market-Control,-0.00789473684210526
relative-agent-3,1,TG,DG,Market-Control,-0.02529964264254768
relative-agent-3,1,TG,TG,Market-Control,0.03437588944056158
relative-agent-3,1,TG,UG,Market-Control,-0.00907624679801397
relative-agent-3,1,UG,DG,Market-Control,0.0
relative-agent-3,1,UG,TG,Market-Control,0.019230769230769232
relative-agent-3,1,UG,UG,Market-Control,-0.019230769230769273
relative-agent-1,1,DG,DG,Aid-Bonus,0.0
relative-agent-1,1,DG,TG,Aid-Bonus,-0.016216216216216203
relative-agent-1,1,DG,UG,Aid-Bonus,0.016216216216216203
relative-agent-1,1,TG,DG,Aid-Bonus,-0.04717120198119043
relative-agent-1,1,TG,TG,Aid-Bonus,0.007665320321943558
relative-agent-1,1,TG,UG,Aid-Bonus,0.039505881659247066
relative-agent-1,1,UG,DG,Aid-Bonus,-0.02373347309711929
relative-agent-1,1,UG,TG,Aid-Bonus,0.019698782670609108
relative-agent-1,1,UG,UG,Aid-Bonus,0.004034690426510501
relative-agent-2,1,DG,DG,Aid-Bonus,-0.02447813966138568
relative-agent-2,1,DG,TG,Aid-Bonus,0.02779288774053172
relative-agent-2,1,DG,UG,Aid-Bonus,-0.003314748079145974
relative-agent-2,1,TG,DG,Aid-Bonus,-0.11721611721611724
relative-agent-2,1,TG,TG,Aid-Bonus,0.0776556776556776
relative-agent-2,1,TG,UG,Aid-Bonus,0.03956043956043956
relative-agent-2,1,UG,DG,Aid-Bonus,-0.12854221443178498
relative-agent-2,1,UG,TG,Aid-Bonus,0.03970201577563541
relative-agent-2,1,UG,UG,Aid-Bonus,0.08884019865614956
relative-agent-3,1,DG,DG,Aid-Bonus,-0.06864006864006866
relative-agent-3,1,DG,TG,Aid-Bonus,0.0338052338052338
relative-agent-3,1,DG,UG,Aid-Bonus,0.03483483483483482
relative-agent-3,1,TG,DG,Aid-Bonus,-0.09146341463414637
relative-agent-3,1,TG,TG,Aid-Bonus,0.07042682926829258
relative-agent-3,1,TG,UG,Aid-Bonus,0.021036585365853636
relative-agent-3,1,UG,DG,Aid-Bonus,-0.034400382226469184
relative-agent-3,1,UG,TG,Aid-Bonus,0.019235547061634023
relative-agent-3,1,UG,UG,Aid-Bonus,0.015164835164835133
