rater,replicate,context_id,target_game,frame,vignette_family,total_points,n_vignettes,mean_points_per_vignette,normalized_family_mean_share
relative-agent-1,1,T01,UG,Control,DG,90,6,15.0,0.11650485436893204
relative-agent-1,1,T01,UG,Control,TG,90,8,11.25,0.08737864077669903
relative-agent-1,1,T01,UG,Control,UG,820,8,102.5,0.7961165048543689
relative-agent-1,1,T02,TG,Aid,DG,170,6,28.333333333333332,0.21451104100946375
relative-agent-1,1,T02,TG,Aid,TG,650,8,81.25,0.6151419558359622
relative-agent-1,1,T02,TG,Aid,UG,180,8,22.5,0.17034700315457416
relative-agent-1,1,T03,TG,Market,DG,120,6,20.0,0.15384615384615385
relative-agent-1,1,T03,TG,Market,TG,700,8,87.5,0.6730769230769231
relative-agent-1,1,T03,TG,Market,UG,180,8,22.5,0.17307692307692307
relative-agent-1,1,T04,DG,Aid,DG,700,6,116.66666666666667,0.7567567567567567
relative-agent-1,1,T04,DG,Aid,TG,140,8,17.5,0.1135135135135135
relative-agent-1,1,T04,DG,Aid,UG,160,8,20.0,0.1297297297297297
relative-agent-1,1,T05,UG,Market,DG,100,6,16.666666666666668,0.12903225806451613
relative-agent-1,1,T05,UG,Market,TG,200,8,25.0,0.19354838709677416
relative-agent-1,1,T05,UG,Market,UG,700,8,87.5,0.6774193548387096
relative-agent-1,1,T06,DG,Control,DG,820,6,136.66666666666666,0.8586387434554974
relative-agent-1,1,T06,DG,Control,TG,90,8,11.25,0.07068062827225131
relative-agent-1,1,T06,DG,Control,UG,90,8,11.25,0.07068062827225131
relative-agent-1,1,T07,UG,Bonus,DG,190,6,31.666666666666668,0.23824451410658304
relative-agent-1,1,T07,UG,Bonus,TG,130,8,16.25,0.12225705329153604
relative-agent-1,1,T07,UG,Bonus,UG,680,8,85.0,0.6394984326018808
relative-agent-1,1,T08,TG,Bonus,DG,210,6,35.0,0.2616822429906542
relative-agent-1,1,T08,TG,Bonus,TG,650,8,81.25,0.6074766355140186
relative-agent-1,1,T08,TG,Bonus,UG,140,8,17.5,0.1308411214953271
relative-agent-1,1,T09,TG,Control,DG,90,6,15.0,0.11650485436893204
relative-agent-1,1,T09,TG,Control,TG,820,8,102.5,0.7961165048543689
relative-agent-1,1,T09,TG,Control,UG,90,8,11.25,0.08737864077669903
relative-agent-1,1,T10,DG,Market,DG,700,6,116.66666666666667,0.7567567567567567
relative-agent-1,1,T10,DG,Market,TG,180,8,22.5,0.14594594594594593
relative-agent-1,1,T10,DG,Market,UG,120,8,15.0,0.09729729729729729
relative-agent-1,1,T11,DG,Bonus,DG,700,6,116.66666666666667,0.7567567567567567
relative-agent-1,1,T11,DG,Bonus,TG,160,8,20.0,0.1297297297297297
relative-agent-1,1,T11,DG,Bonus,UG,140,8,17.5,0.1135135135135135
