target_game,vignette_family,comparison,difference_share,sd_across_agents,n_agents,ci95_low,ci95_high
DG,DG,Aid-Bonus,-0.031039402767151447,0.03478724458599224,3,-0.11745570893434719,0.055376903400044294
DG,DG,Market-Control,-0.04777529745747048,0.05123523879968327,3,-0.17505068633508394,0.079500091420143
DG,TG,Aid-Bonus,0.015127301776516439,0.02731023922306432,3,-0.05271509339697208,0.08296969695000496
DG,TG,Market-Control,0.030641813521927075,0.038647540020005214,3,-0.06536399811175854,0.12664762515561268
DG,UG,Aid-Bonus,0.015912100990635017,0.019076609596060213,3,-0.031476824321058576,0.06330102630232862
DG,UG,Market-Control,0.017133483935543353,0.021885963187420136,3,-0.03723426257835111,0.07150123044943782
TG,DG,Aid-Bonus,-0.08528357794381802,0.03542901810248722,3,-0.1732941379058015,0.002726982018165472
TG,DG,Market-Control,-0.00018903121271799753,0.033115841787398986,3,-0.08245334265624704,0.08207528023081104
TG,TG,Aid-Bonus,0.05191594241530458,0.03849223595725556,3,-0.043704072539302065,0.14753595736991124
TG,TG,Market-Control,-0.02219945966981159,0.08754676031168207,3,-0.23967766850980698,0.19527874917018379
TG,UG,Aid-Bonus,0.03336763552851342,0.010679037537468888,3,0.006839435655491916,0.059895835401534925
TG,UG,Market-Control,0.022388490882529657,0.05482821743490942,3,-0.11381235172069797,0.15858933348575727
UG,DG,Aid-Bonus,-0.062225356585124486,0.05767919870788848,3,-0.20550842928431973,0.08105771611407075
UG,DG,Market-Control,2.685402721454751e-05,0.012487144311217042,3,-0.03099293206951489,0.031046640123943984
UG,TG,Aid-Bonus,0.026212115169292848,0.011684892407896049,3,-0.0028147667199984842,0.05523899705858418
UG,TG,Market-Control,0.038688461446796336,0.06016058114011153,3,-0.11075870692979076,0.18813562982338342
UG,UG,Aid-Bonus,0.03601324141583173,0.04608671814011918,3,-0.0784725131311519,0.15049899596281535
UG,UG,Market-Control,-0.038715315474010935,0.07223802077304296,3,-0.21816450710527935,0.14073387615725746
