rater,replicate,target_game,class,comparison,difference_share
relative-agent-1,1,DG,C,Market-Control,0.010000000000000009
relative-agent-1,1,DG,M,Market-Control,-0.030000000000000027
relative-agent-1,1,DG,S,Market-Control,0.019999999999999962
relative-agent-1,1,TG,C-C,Market-Control,0.0
relative-agent-1,1,TG,C-D,Market-Control,0.015000000000000013
relative-agent-1,1,TG,M-C,Market-Control,-0.015000000000000013
relative-agent-1,1,TG,S-D,Market-Control,0.0
relative-agent-1,1,UG,C-C,Market-Control,0.020000000000000018
relative-agent-1,1,UG,C-D,Market-Control,0.03500000000000003
relative-agent-1,1,UG,M-C,Market-Control,-0.08000000000000002
relative-agent-1,1,UG,S-C,Market-Control,0.025000000000000022
relative-agent-2,1,DG,C,Market-Control,0.020000000000000018
relative-agent-2,1,DG,M,Market-Control,-0.034999999999999976
relative-agent-2,1,DG,S,Market-Control,0.015000000000000013
relative-agent-2,1,TG,C-C,Market-Control,0.0
relative-agent-2,1,TG,C-D,Market-Control,0.0
relative-agent-2,1,TG,M-C,Market-Control,-0.0050000000000000044
relative-agent-2,1,TG,S-D,Market-Control,0.0050000000000000044
relative-agent-2,1,UG,C-C,Market-Control,0.020000000000000018
relative-agent-2,1,UG,C-D,Market-Control,0.0050000000000000044
relative-agent-2,1,UG,M-C,Market-Control,-0.034999999999999976
relative-agent-2,1,UG,S-C,Market-Control,0.010000000000000009
relative-agent-3,1,DG,C,Market-Control,0.020000000000000018
relative-agent-3,1,DG,M,Market-Control,-0.020000000000000018
relative-agent-3,1,DG,S,Market-Control,0.0
relative-agent-3,1,TG,C-C,Market-Control,-0.0050000000000000044
relative-agent-3,1,TG,C-D,Market-Control,0.0050000000000000044
relative-agent-3,1,TG,M-C,Market-Control,-0.010000000000000009
relative-agent-3,1,TG,S-D,Market-Control,0.010000000000000009
relative-agent-3,1,UG,C-C,Market-Control,0.010000000000000009
relative-agent-3,1,UG,C-D,Market-Control,0.02999999999999997
relative-agent-3,1,UG,M-C,Market-Control,-0.07
relative-agent-3,1,UG,S-C,Market-Control,0.02999999999999997
relative-agent-1,1,DG,C,Aid-Bonus,-0.13
relative-agent-1,1,DG,M,Aid-Bonus,-0.014999999999999958
relative-agent-1,1,DG,S,Aid-Bonus,0.145
relative-agent-1,1,TG,C-C,Aid-Bonus,-0.05999999999999997
relative-agent-1,1,TG,C-D,Aid-Bonus,0.04999999999999999
relative-agent-1,1,TG,M-C,Aid-Bonus,-0.10499999999999998
relative-agent-1,1,TG,S-D,Aid-Bonus,0.11500000000000002
relative-agent-1,1,UG,C-C,Aid-Bonus,-0.10999999999999999
relative-agent-1,1,UG,C-D,Aid-Bonus,-0.04500000000000001
relative-agent-1,1,UG,M-C,Aid-Bonus,-0.014999999999999986
relative-agent-1,1,UG,S-C,Aid-Bonus,0.17
relative-agent-2,1,DG,C,Aid-Bonus,-0.16999999999999998
relative-agent-2,1,DG,M,Aid-Bonus,-0.010000000000000009
relative-agent-2,1,DG,S,Aid-Bonus,0.18
relative-agent-2,1,TG,C-C,Aid-Bonus,-0.034999999999999976
relative-agent-2,1,TG,C-D,Aid-Bonus,0.04000000000000001
relative-agent-2,1,TG,M-C,Aid-Bonus,-0.05499999999999999
relative-agent-2,1,TG,S-D,Aid-Bonus,0.05000000000000002
relative-agent-2,1,UG,C-C,Aid-Bonus,-0.020000000000000018
relative-agent-2,1,UG,C-D,Aid-Bonus,0.0
relative-agent-2,1,UG,M-C,Aid-Bonus,-0.16
relative-agent-2,1,UG,S-C,Aid-Bonus,0.18
relative-agent-3,1,DG,C,Aid-Bonus,-0.065
relative-agent-3,1,DG,M,Aid-Bonus,-0.015000000000000013
relative-agent-3,1,DG,S,Aid-Bonus,0.08000000000000002
relative-agent-3,1,TG,C-C,Aid-Bonus,-0.05500000000000002
relative-agent-3,1,TG,C-D,Aid-Bonus,0.035
relative-agent-3,1,TG,M-C,Aid-Bonus,-0.03999999999999998
relative-agent-3,1,TG,S-D,Aid-Bonus,0.060000000000000026
relative-agent-3,1,UG,C-C,Aid-Bonus,-0.04000000000000001
relative-agent-3,1,UG,C-D,Aid-Bonus,-0.01999999999999999
relative-agent-3,1,UG,M-C,Aid-Bonus,-0.03
relative-agent-3,1,UG,S-C,Aid-Bonus,0.09
