rater,replicate,context_id,target_game,frame,class,points,share
relative-agent-1,1,T01,UG,Control,C-C,260,0.26
relative-agent-1,1,T01,UG,Control,C-D,235,0.235
relative-agent-1,1,T01,UG,Control,M-C,260,0.26
relative-agent-1,1,T01,UG,Control,S-C,245,0.245
relative-agent-1,1,T02,TG,Aid,C-C,225,0.225
relative-agent-1,1,T02,TG,Aid,C-D,250,0.25
relative-agent-1,1,T02,TG,Aid,M-C,245,0.245
relative-agent-1,1,T02,TG,Aid,S-D,280,0.28
relative-agent-1,1,T03,TG,Market,C-C,255,0.255
relative-agent-1,1,T03,TG,Market,C-D,255,0.255
relative-agent-1,1,T03,TG,Market,M-C,245,0.245
relative-agent-1,1,T03,TG,Market,S-D,245,0.245
relative-agent-1,1,T04,DG,Aid,C,305,0.305
relative-agent-1,1,T04,DG,Aid,M,335,0.335
relative-agent-1,1,T04,DG,Aid,S,360,0.36
relative-agent-1,1,T05,UG,Market,C-C,280,0.28
relative-agent-1,1,T05,UG,Market,C-D,270,0.27
relative-agent-1,1,T05,UG,Market,M-C,180,0.18
relative-agent-1,1,T05,UG,Market,S-C,270,0.27
relative-agent-1,1,T06,DG,Control,C,325,0.325
relative-agent-1,1,T06,DG,Control,M,335,0.335
relative-agent-1,1,T06,DG,Control,S,340,0.34
relative-agent-1,1,T07,UG,Bonus,C-C,305,0.305
relative-agent-1,1,T07,UG,Bonus,C-D,255,0.255
relative-agent-1,1,T07,UG,Bonus,M-C,235,0.235
relative-agent-1,1,T07,UG,Bonus,S-C,205,0.205
relative-agent-1,1,T08,TG,Bonus,C-C,285,0.285
relative-agent-1,1,T08,TG,Bonus,C-D,200,0.2
relative-agent-1,1,T08,TG,Bonus,M-C,350,0.35
relative-agent-1,1,T08,TG,Bonus,S-D,165,0.165
relative-agent-1,1,T09,TG,Control,C-C,255,0.255
relative-agent-1,1,T09,TG,Control,C-D,240,0.24
relative-agent-1,1,T09,TG,Control,M-C,260,0.26
relative-agent-1,1,T09,TG,Control,S-D,245,0.245
relative-agent-1,1,T10,DG,Market,C,335,0.335
relative-agent-1,1,T10,DG,Market,M,305,0.305
relative-agent-1,1,T10,DG,Market,S,360,0.36
relative-agent-1,1,T11,DG,Bonus,C,435,0.435
relative-agent-1,1,T11,DG,Bonus,M,350,0.35
relative-agent-1,1,T11,DG,Bonus,S,215,0.215
relative-agent-1,1,T12,UG,Aid,C-C,195,0.195
relative-agent-1,1,T12,UG,Aid,C-D,210,0.21
relative-agent-1,1,T12,UG,Aid,M-C,220,0.22
relative-agent-1,1,T12,UG,Aid,S-C,375,0.375
relative-agent-2,1,T01,UG,Control,C-C,260,0.26
relative-agent-2,1,T01,UG,Control,C-D,245,0.245
relative-agent-2,1,T01,UG,Control,M-C,235,0.235
relative-agent-2,1,T01,UG,Control,S-C,260,0.26
relative-agent-2,1,T02,TG,Aid,C-C,260,0.26
relative-agent-2,1,T02,TG,Aid,C-D,230,0.23
relative-agent-2,1,T02,TG,Aid,M-C,280,0.28
relative-agent-2,1,T02,TG,Aid,S-D,230,0.23
relative-agent-2,1,T03,TG,Market,C-C,255,0.255
relative-agent-2,1,T03,TG,Market,C-D,245,0.245
relative-agent-2,1,T03,TG,Market,M-C,245,0.245
relative-agent-2,1,T03,TG,Market,S-D,255,0.255
relative-agent-2,1,T04,DG,Aid,C,260,0.26
relative-agent-2,1,T04,DG,Aid,M,370,0.37
relative-agent-2,1,T04,DG,Aid,S,370,0.37
relative-agent-2,1,T05,UG,Market,C-C,280,0.28
relative-agent-2,1,T05,UG,Market,C-D,250,0.25
relative-agent-2,1,T05,UG,Market,M-C,200,0.2
relative-agent-2,1,T05,UG,Market,S-C,270,0.27
relative-agent-2,1,T06,DG,Control,C,310,0.31
relative-agent-2,1,T06,DG,Control,M,345,0.345
relative-agent-2,1,T06,DG,Control,S,345,0.345
relative-agent-2,1,T07,UG,Bonus,C-C,255,0.255
relative-agent-2,1,T07,UG,Bonus,C-D,215,0.215
relative-agent-2,1,T07,UG,Bonus,M-C,330,0.33
relative-agent-2,1,T07,UG,Bonus,S-C,200,0.2
relative-agent-2,1,T08,TG,Bonus,C-C,295,0.295
relative-agent-2,1,T08,TG,Bonus,C-D,190,0.19
relative-agent-2,1,T08,TG,Bonus,M-C,335,0.335
relative-agent-2,1,T08,TG,Bonus,S-D,180,0.18
relative-agent-2,1,T09,TG,Control,C-C,255,0.255
relative-agent-2,1,T09,TG,Control,C-D,245,0.245
relative-agent-2,1,T09,TG,Control,M-C,250,0.25
relative-agent-2,1,T09,TG,Control,S-D,250,0.25
relative-agent-2,1,T10,DG,Market,C,330,0.33
relative-agent-2,1,T10,DG,Market,M,310,0.31
relative-agent-2,1,T10,DG,Market,S,360,0.36
relative-agent-2,1,T11,DG,Bonus,C,430,0.43
relative-agent-2,1,T11,DG,Bonus,M,380,0.38
relative-agent-2,1,T11,DG,Bonus,S,190,0.19
relative-agent-2,1,T12,UG,Aid,C-C,235,0.235
relative-agent-2,1,T12,UG,Aid,C-D,215,0.215
relative-agent-2,1,T12,UG,Aid,M-C,170,0.17
relative-agent-2,1,T12,UG,Aid,S-C,380,0.38
relative-agent-3,1,T01,UG,Control,C-C,285,0.285
relative-agent-3,1,T01,UG,Control,C-D,260,0.26
relative-agent-3,1,T01,UG,Control,M-C,200,0.2
relative-agent-3,1,T01,UG,Control,S-C,255,0.255
relative-agent-3,1,T02,TG,Aid,C-C,220,0.22
relative-agent-3,1,T02,TG,Aid,C-D,260,0.26
relative-agent-3,1,T02,TG,Aid,M-C,245,0.245
relative-agent-3,1,T02,TG,Aid,S-D,275,0.275
relative-agent-3,1,T03,TG,Market,C-C,260,0.26
relative-agent-3,1,T03,TG,Market,C-D,245,0.245
relative-agent-3,1,T03,TG,Market,M-C,240,0.24
relative-agent-3,1,T03,TG,Market,S-D,255,0.255
relative-agent-3,1,T04,DG,Aid,C,285,0.285
relative-agent-3,1,T04,DG,Aid,M,375,0.375
relative-agent-3,1,T04,DG,Aid,S,340,0.34
relative-agent-3,1,T05,UG,Market,C-C,295,0.295
relative-agent-3,1,T05,UG,Market,C-D,290,0.29
relative-agent-3,1,T05,UG,Market,M-C,130,0.13
relative-agent-3,1,T05,UG,Market,S-C,285,0.285
relative-agent-3,1,T06,DG,Control,C,315,0.315
relative-agent-3,1,T06,DG,Control,M,335,0.335
relative-agent-3,1,T06,DG,Control,S,350,0.35
relative-agent-3,1,T07,UG,Bonus,C-C,270,0.27
relative-agent-3,1,T07,UG,Bonus,C-D,245,0.245
relative-agent-3,1,T07,UG,Bonus,M-C,255,0.255
relative-agent-3,1,T07,UG,Bonus,S-C,230,0.23
relative-agent-3,1,T08,TG,Bonus,C-C,275,0.275
relative-agent-3,1,T08,TG,Bonus,C-D,225,0.225
relative-agent-3,1,T08,TG,Bonus,M-C,285,0.285
relative-agent-3,1,T08,TG,Bonus,S-D,215,0.215
relative-agent-3,1,T09,TG,Control,C-C,265,0.265
relative-agent-3,1,T09,TG,Control,C-D,240,0.24
relative-agent-3,1,T09,TG,Control,M-C,250,0.25
relative-agent-3,1,T09,TG,Control,S-D,245,0.245
relative-agent-3,1,T10,DG,Market,C,335,0.335
relative-agent-3,1,T10,DG,Market,M,315,0.315
relative-agent-3,1,T10,DG,Market,S,350,0.35
relative-agent-3,1,T11,DG,Bonus,C,350,0.35
relative-agent-3,1,T11,DG,Bonus,M,390,0.39
relative-agent-3,1,T11,DG,Bonus,S,260,0.26
relative-agent-3,1,T12,UG,Aid,C-C,230,0.23
relative-agent-3,1,T12,UG,Aid,C-D,225,0.225
relative-agent-3,1,T12,UG,Aid,M-C,225,0.225
relative-agent-3,1,T12,UG,Aid,S-C,320,0.32
