target_game,class,comparison,difference_share,sd_across_agents,n_agents,ci95_low,ci95_high,difference_points
DG,C,Aid-Bonus,-0.12166666666666666,0.052993710318615474,3,-0.25331034095966276,0.009977007626329457,-121.66666666666666
DG,C,Market-Control,0.01666666666666668,0.005773502691896263,3,0.0023244909002957496,0.03100884243303761,16.666666666666682
DG,M,Aid-Bonus,-0.013333333333333327,0.0028867513459481155,3,-0.020504421216518753,-0.006162245450147903,-13.333333333333327
DG,M,Market-Control,-0.02833333333333334,0.007637626158259716,3,-0.04730624850203062,-0.009360418164636057,-28.33333333333334
DG,S,Aid-Bonus,0.135,0.050744457825461074,3,0.008943778648707323,0.2610562213512927,135.0
DG,S,Market-Control,0.011666666666666659,0.010408329997330651,3,-0.014189058397016997,0.03752239173035031,11.666666666666659
TG,C-C,Aid-Bonus,-0.04999999999999999,0.013228756555322959,3,-0.08286205303987801,-0.01713794696012197,-49.999999999999986
TG,C-C,Market-Control,-0.001666666666666668,0.0028867513459481316,3,-0.008837754549852134,0.0055044212165187975,-1.666666666666668
TG,C-D,Aid-Bonus,0.041666666666666664,0.0076376261582597246,3,0.022693751497969362,0.06063958183536397,41.666666666666664
TG,C-D,Market-Control,0.006666666666666672,0.00763762615825974,3,-0.012306248502030673,0.025639581835364016,6.666666666666672
TG,M-C,Aid-Bonus,-0.06666666666666665,0.03403429642777023,3,-0.1512125459189598,0.017879212585626497,-66.66666666666666
TG,M-C,Market-Control,-0.010000000000000009,0.0050000000000000044,3,-0.022420688559218784,0.0024206885592187657,-10.000000000000009
TG,S-D,Aid-Bonus,0.07500000000000002,0.034999999999999996,3,-0.011944819914531307,0.16194481991453136,75.00000000000003
TG,S-D,Market-Control,0.0050000000000000044,0.0050000000000000044,3,-0.00742068855921877,0.01742068855921878,5.000000000000004
UG,C-C,Aid-Bonus,-0.05666666666666667,0.04725815626252607,3,-0.1740624348306127,0.060729101497279364,-56.66666666666667
UG,C-C,Market-Control,0.01666666666666668,0.005773502691896262,3,0.002324490900295753,0.031008842433037608,16.666666666666682
UG,C-D,Aid-Bonus,-0.021666666666666667,0.022546248764114478,3,-0.07767465348221406,0.034341320148880715,-21.666666666666668
UG,C-D,Market-Control,0.023333333333333334,0.016072751268321594,3,-0.016593594225388846,0.06326026089205551,23.333333333333336
UG,M-C,Aid-Bonus,-0.06833333333333333,0.07973915809270458,3,-0.26641638306209176,0.1297497163954251,-68.33333333333333
UG,M-C,Market-Control,-0.06166666666666667,0.023629078131263064,3,-0.12036455074863975,-0.0029687825846935814,-61.66666666666667
UG,S-C,Aid-Bonus,0.14666666666666667,0.04932882862316247,3,0.024127063202791232,0.2692062701305421,146.66666666666666
UG,S-C,Market-Control,0.021666666666666667,0.010408329997330651,3,-0.004189058397016988,0.04752239173035032,21.666666666666668
