hp_response_id,similarity_reference_B
HP2001,69
HP2002,58
HP2003,30
HP2004,12
HP2005,42
HP2006,0
HP2007,53
HP2008,56
HP2009,54
HP2010,17
HP2011,0
HP2012,23
HP2013,40
HP2014,55
HP2015,9
HP2016,56
HP2017,0
HP2018,20
HP2019,23
HP2020,9
HP2021,22
HP2022,59
HP2023,39
HP2024,6
HP2025,69
HP2026,55
HP2027,20
HP2028,25
HP2029,25
HP2030,66
HP2031,44
HP2032,58
HP2033,64
HP2034,5
HP2035,46
HP2036,18
HP2037,58
HP2038,20
HP2039,19
HP2040,8
HP2041,55
HP2042,29
HP2043,16
HP2044,25
HP2045,29
HP2046,7
HP2047,20
HP2048,59
HP2049,73
HP2050,52
HP2051,17
HP2052,42
HP2053,39
HP2054,59
HP2055,8
HP2056,56
HP2057,52
HP2058,4
HP2059,68
HP2060,62
HP2061,18
HP2062,10
HP2063,5
HP2064,0
HP2065,2
HP2066,58
HP2067,51
HP2068,18
HP2069,2
HP2070,60
HP2071,12
HP2072,54
HP2073,70
HP2074,48
HP2075,54
HP2076,53
HP2077,10
HP2078,77
HP2079,4
HP2080,5
HP2081,48
HP2082,45
HP2083,48
HP2084,59
HP2085,72
HP2086,18
HP2087,24
HP2088,21
HP2089,12
HP2090,42
HP2091,70
HP2092,55
HP2093,18
HP2094,18
HP2095,61
HP2096,14
HP2097,51
HP2098,43
HP2099,69
HP2100,56
HP2101,60
HP2102,55
HP2103,28
HP2104,57
HP2105,72
HP2106,68
HP2107,31
HP2108,14
HP2109,22
HP2110,52
HP2111,71
HP2112,55
HP2113,31
HP2114,18
HP2115,65
HP2116,48
HP2117,23
HP2118,20
HP2119,24
HP2120,58
HP2121,78
HP2122,57
HP2123,42
HP2124,0
HP2125,35
HP2126,43
HP2127,8
HP2128,1
HP2129,57
HP2130,49
HP2131,29
HP2132,28
HP2133,82
HP2134,38
HP2135,18
HP2136,54
HP2137,78
HP2138,6
HP2139,47
HP2140,14
HP2141,24
HP2142,57
HP2143,46
HP2144,10
HP2145,2
HP2146,6
HP2147,54
HP2148,51
HP2149,63
HP2150,52
HP2151,78
HP2152,1
HP2153,54
HP2154,63
HP2155,57
HP2156,82
HP2157,67
HP2158,58
HP2159,19
HP2160,8
HP2161,52
HP2162,71
HP2163,24
HP2164,31
HP2165,61
HP2166,6
HP2167,58
HP2168,18
HP2169,34
HP2170,18
HP2171,69
HP2172,52
HP2173,2
HP2174,57
HP2175,16
HP2176,18
HP2177,10
HP2178,56
HP2179,33
HP2180,55
HP2181,18
HP2182,56
HP2183,0
HP2184,48
HP2185,43
HP2186,54
HP2187,15
HP2188,32
HP2189,2
HP2190,5
HP2191,59
HP2192,61
HP2193,3
HP2194,36
HP2195,58
HP2196,0
HP2197,59
HP2198,7
HP2199,56
HP2200,55
HP2201,53
HP2202,64
HP2203,67
HP2204,24
HP2205,40
HP2206,18
HP2207,25
HP2208,60
HP2209,60
HP2210,0
HP2211,0
HP2212,18
HP2213,59
HP2214,0
HP2215,0
HP2216,20
HP2217,12
HP2218,82
HP2219,60
HP2220,52
HP2221,28
HP2222,35
HP2223,55
HP2224,29
HP2225,51
HP2226,15
HP2227,65
HP2228,3
HP2229,42
HP2230,5
HP2231,3
HP2232,52
HP2233,0
HP2234,12
HP2235,5
HP2236,21
HP2237,59
HP2238,83
HP2239,5
HP2240,49
HP2241,75
HP2242,18
HP2243,49
HP2244,10
HP2245,69
HP2246,56
HP2247,60
HP2248,0
HP2249,1
HP2250,60
HP2251,18
HP2252,53
HP2253,93
HP2254,16
HP2255,70
HP2256,0
HP2257,16
HP2258,53
HP2259,49
HP2260,53
HP2261,32
HP2262,14
HP2263,31
HP2264,58
HP2265,58
HP2266,33
HP2267,70
HP2268,47
HP2269,54
HP2270,7
HP2271,18
HP2272,75
HP2273,38
HP2274,4
HP2275,69
HP2276,55
HP2277,39
HP2278,53
HP2279,53
HP2280,20
HP2281,16
HP2282,12
HP2283,25
HP2284,79
HP2285,26
HP2286,59
HP2287,21
HP2288,18
HP2289,52
HP2290,12
HP2291,1
HP2292,53
HP2293,58
HP2294,50
HP2295,4
HP2296,50
HP2297,4
HP2298,55
HP2299,50
HP2300,50
HP2301,77
HP2302,57
HP2303,65
HP2304,8
HP2305,9
HP2306,60
HP2307,55
HP2308,60
HP2309,44
HP2310,57
HP2311,54
HP2312,17
HP2313,20
HP2314,53
HP2315,48
HP2316,53
HP2317,51
HP2318,64
HP2319,52
HP2320,58
HP2321,37
HP2322,2
HP2323,54
HP2324,53
HP2325,51
HP2326,49
HP2327,53
HP2328,18
HP2329,57
HP2330,31
HP2331,68
HP2332,18
HP2333,55
HP2334,0
HP2335,18
HP2336,54
HP2337,45
HP2338,49
HP2339,55
HP2340,50
HP2341,7
HP2342,84
HP2343,3
HP2344,53
HP2345,10
HP2346,18
HP2347,57
HP2348,55
HP2349,52
HP2350,59
HP2351,63
HP2352,1
HP2353,54
HP2354,75
HP2355,50
HP2356,53
HP2357,39
HP2358,55
HP2359,23
HP2360,53
HP2361,58
HP2362,22
HP2363,4
HP2364,5
HP2365,54
HP2366,9
HP2367,56
HP2368,81
HP2369,84
HP2370,46
HP2371,22
HP2372,50
HP2373,0
HP2374,18
HP2375,56
HP2376,44
HP2377,68
HP2378,20
HP2379,57
HP2380,19
HP2381,68
HP2382,58
HP2383,45
HP2384,42
HP2385,64
HP2386,54
HP2387,42
HP2388,52
HP2389,46
HP2390,23
HP2391,69
HP2392,2
HP2393,54
HP2394,53
