rater,replicate,target_game,vignette_family,comparison,difference_share,ratings_source
relative-agent-1,1,DG,DG,Market-Control,-0.10188198669874071,round9_dg_c_neutral
relative-agent-1,1,DG,TG,Market-Control,0.07526531767369461,round9_dg_c_neutral
relative-agent-1,1,DG,UG,Market-Control,0.026616669025045975,round9_dg_c_neutral
relative-agent-2,1,DG,DG,Market-Control,-0.04144390567367073,round9_dg_c_neutral
relative-agent-2,1,DG,TG,Market-Control,0.008765386049981352,round9_dg_c_neutral
relative-agent-2,1,DG,UG,Market-Control,0.03267851962368934,round9_dg_c_neutral
relative-agent-3,1,DG,DG,Market-Control,0.0,round9_dg_c_neutral
relative-agent-3,1,DG,TG,Market-Control,0.00789473684210526,round9_dg_c_neutral
relative-agent-3,1,DG,UG,Market-Control,-0.00789473684210526,round9_dg_c_neutral
relative-agent-1,1,DG,DG,Aid-Bonus,0.0,round9_dg_c_neutral
relative-agent-1,1,DG,TG,Aid-Bonus,-0.016216216216216203,round9_dg_c_neutral
relative-agent-1,1,DG,UG,Aid-Bonus,0.016216216216216203,round9_dg_c_neutral
relative-agent-2,1,DG,DG,Aid-Bonus,-0.02447813966138568,round9_dg_c_neutral
relative-agent-2,1,DG,TG,Aid-Bonus,0.02779288774053172,round9_dg_c_neutral
relative-agent-2,1,DG,UG,Aid-Bonus,-0.003314748079145974,round9_dg_c_neutral
relative-agent-3,1,DG,DG,Aid-Bonus,-0.06864006864006866,round9_dg_c_neutral
relative-agent-3,1,DG,TG,Aid-Bonus,0.0338052338052338,round9_dg_c_neutral
relative-agent-3,1,DG,UG,Aid-Bonus,0.03483483483483482,round9_dg_c_neutral
relative-agent-1,1,TG,DG,Market-Control,0.03734129947722181,round8_original
relative-agent-1,1,TG,TG,Market-Control,-0.09419342793129204,round8_original
relative-agent-1,1,TG,UG,Market-Control,0.056852128454070186,round8_original
relative-agent-1,1,UG,DG,Market-Control,0.03734129947722181,round8_original
relative-agent-1,1,UG,TG,Market-Control,0.056852128454070186,round8_original
relative-agent-1,1,UG,UG,Market-Control,-0.09419342793129204,round8_original
relative-agent-2,1,TG,DG,Market-Control,0.07444784514848209,round8_original
relative-agent-2,1,TG,TG,Market-Control,-0.11043097030358184,round8_original
relative-agent-2,1,TG,UG,Market-Control,0.03598312515509969,round8_original
relative-agent-2,1,UG,DG,Market-Control,0.07397133610725842,round8_original
relative-agent-2,1,UG,TG,Market-Control,0.036061026352288486,round8_original
relative-agent-2,1,UG,UG,Market-Control,-0.11003236245954695,round8_original
relative-agent-3,1,TG,DG,Market-Control,-0.0512645249487355,round8_original
relative-agent-3,1,TG,TG,Market-Control,0.10893711551606267,round8_original
relative-agent-3,1,TG,UG,Market-Control,-0.057672590567327424,round8_original
relative-agent-3,1,UG,DG,Market-Control,0.04548134422639605,round8_original
relative-agent-3,1,UG,TG,Market-Control,-0.03593026193885287,round8_original
relative-agent-3,1,UG,UG,Market-Control,-0.0095510822875432,round8_original
relative-agent-1,1,TG,DG,Aid-Bonus,-0.012132241431604462,round8_original
relative-agent-1,1,TG,TG,Aid-Bonus,0.0022747952684258888,round8_original
relative-agent-1,1,TG,UG,Aid-Bonus,0.00985744616317867,round8_original
relative-agent-1,1,UG,DG,Aid-Bonus,-0.024342005172676096,round8_original
relative-agent-1,1,UG,TG,Aid-Bonus,0.029301688726608835,round8_original
relative-agent-1,1,UG,UG,Aid-Bonus,-0.0049596835539328366,round8_original
relative-agent-2,1,TG,DG,Aid-Bonus,-0.17685353173453672,round8_original
relative-agent-2,1,TG,TG,Aid-Bonus,0.03094936805354398,round8_original
relative-agent-2,1,TG,UG,Aid-Bonus,0.14590416368099285,round8_original
relative-agent-2,1,UG,DG,Aid-Bonus,-0.08333829394606818,round8_original
relative-agent-2,1,UG,TG,Aid-Bonus,0.0687540925055063,round8_original
relative-agent-2,1,UG,UG,Aid-Bonus,0.01458420144056205,round8_original
relative-agent-3,1,TG,DG,Aid-Bonus,0.0,round8_original
relative-agent-3,1,TG,TG,Aid-Bonus,-0.04746835443037978,round8_original
relative-agent-3,1,TG,UG,Aid-Bonus,0.047468354430379736,round8_original
relative-agent-3,1,UG,DG,Aid-Bonus,0.011979395439843471,round8_original
relative-agent-3,1,UG,TG,Aid-Bonus,0.02827137323803059,round8_original
relative-agent-3,1,UG,UG,Aid-Bonus,-0.04025076867787403,round8_original
