rater,replicate,target_game,class,comparison,difference_share,ratings_source
relative-agent-1,1,DG,C,Market-Control,0.010000000000000009,round9_dg_c_neutral
relative-agent-1,1,DG,M,Market-Control,-0.030000000000000027,round9_dg_c_neutral
relative-agent-1,1,DG,S,Market-Control,0.019999999999999962,round9_dg_c_neutral
relative-agent-2,1,DG,C,Market-Control,0.020000000000000018,round9_dg_c_neutral
relative-agent-2,1,DG,M,Market-Control,-0.034999999999999976,round9_dg_c_neutral
relative-agent-2,1,DG,S,Market-Control,0.015000000000000013,round9_dg_c_neutral
relative-agent-3,1,DG,C,Market-Control,0.020000000000000018,round9_dg_c_neutral
relative-agent-3,1,DG,M,Market-Control,-0.020000000000000018,round9_dg_c_neutral
relative-agent-3,1,DG,S,Market-Control,0.0,round9_dg_c_neutral
relative-agent-1,1,DG,C,Aid-Bonus,-0.13,round9_dg_c_neutral
relative-agent-1,1,DG,M,Aid-Bonus,-0.014999999999999958,round9_dg_c_neutral
relative-agent-1,1,DG,S,Aid-Bonus,0.145,round9_dg_c_neutral
relative-agent-2,1,DG,C,Aid-Bonus,-0.16999999999999998,round9_dg_c_neutral
relative-agent-2,1,DG,M,Aid-Bonus,-0.010000000000000009,round9_dg_c_neutral
relative-agent-2,1,DG,S,Aid-Bonus,0.18,round9_dg_c_neutral
relative-agent-3,1,DG,C,Aid-Bonus,-0.065,round9_dg_c_neutral
relative-agent-3,1,DG,M,Aid-Bonus,-0.015000000000000013,round9_dg_c_neutral
relative-agent-3,1,DG,S,Aid-Bonus,0.08000000000000002,round9_dg_c_neutral
relative-agent-1,1,TG,C-C,Market-Control,0.014999999999999958,round8_original
relative-agent-1,1,TG,C-D,Market-Control,0.0,round8_original
relative-agent-1,1,TG,M-C,Market-Control,-0.015000000000000013,round8_original
relative-agent-1,1,TG,S-D,Market-Control,0.0,round8_original
relative-agent-1,1,UG,C-C,Market-Control,0.03999999999999998,round8_original
relative-agent-1,1,UG,C-D,Market-Control,0.024999999999999967,round8_original
relative-agent-1,1,UG,M-C,Market-Control,-0.07500000000000001,round8_original
relative-agent-1,1,UG,S-C,Market-Control,0.010000000000000009,round8_original
relative-agent-2,1,TG,C-C,Market-Control,0.030000000000000027,round8_original
relative-agent-2,1,TG,C-D,Market-Control,0.0,round8_original
relative-agent-2,1,TG,M-C,Market-Control,-0.01999999999999999,round8_original
relative-agent-2,1,TG,S-D,Market-Control,-0.010000000000000009,round8_original
relative-agent-2,1,UG,C-C,Market-Control,0.010000000000000009,round8_original
relative-agent-2,1,UG,C-D,Market-Control,-0.0050000000000000044,round8_original
relative-agent-2,1,UG,M-C,Market-Control,-0.04000000000000001,round8_original
relative-agent-2,1,UG,S-C,Market-Control,0.034999999999999976,round8_original
relative-agent-3,1,TG,C-C,Market-Control,0.0,round8_original
relative-agent-3,1,TG,C-D,Market-Control,0.014999999999999986,round8_original
relative-agent-3,1,TG,M-C,Market-Control,-0.015000000000000013,round8_original
relative-agent-3,1,TG,S-D,Market-Control,0.0,round8_original
relative-agent-3,1,UG,C-C,Market-Control,0.034999999999999976,round8_original
relative-agent-3,1,UG,C-D,Market-Control,0.0,round8_original
relative-agent-3,1,UG,M-C,Market-Control,-0.07,round8_original
relative-agent-3,1,UG,S-C,Market-Control,0.034999999999999976,round8_original
relative-agent-1,1,TG,C-C,Aid-Bonus,-0.08000000000000002,round8_original
relative-agent-1,1,TG,C-D,Aid-Bonus,0.06500000000000003,round8_original
relative-agent-1,1,TG,M-C,Aid-Bonus,-0.08500000000000002,round8_original
relative-agent-1,1,TG,S-D,Aid-Bonus,0.09999999999999998,round8_original
relative-agent-1,1,UG,C-C,Aid-Bonus,-0.09,round8_original
relative-agent-1,1,UG,C-D,Aid-Bonus,-0.06,round8_original
relative-agent-1,1,UG,M-C,Aid-Bonus,-0.10999999999999999,round8_original
relative-agent-1,1,UG,S-C,Aid-Bonus,0.26,round8_original
relative-agent-2,1,TG,C-C,Aid-Bonus,-0.03999999999999998,round8_original
relative-agent-2,1,TG,C-D,Aid-Bonus,0.03999999999999998,round8_original
relative-agent-2,1,TG,M-C,Aid-Bonus,-0.07,round8_original
relative-agent-2,1,TG,S-D,Aid-Bonus,0.06999999999999998,round8_original
relative-agent-2,1,UG,C-C,Aid-Bonus,-0.05000000000000002,round8_original
relative-agent-2,1,UG,C-D,Aid-Bonus,-0.024999999999999994,round8_original
relative-agent-2,1,UG,M-C,Aid-Bonus,-0.044999999999999984,round8_original
relative-agent-2,1,UG,S-C,Aid-Bonus,0.12,round8_original
relative-agent-3,1,TG,C-C,Aid-Bonus,-0.02999999999999997,round8_original
relative-agent-3,1,TG,C-D,Aid-Bonus,0.0050000000000000044,round8_original
relative-agent-3,1,TG,M-C,Aid-Bonus,-0.010000000000000009,round8_original
relative-agent-3,1,TG,S-D,Aid-Bonus,0.035,round8_original
relative-agent-3,1,UG,C-C,Aid-Bonus,-0.07500000000000001,round8_original
relative-agent-3,1,UG,C-D,Aid-Bonus,0.03999999999999998,round8_original
relative-agent-3,1,UG,M-C,Aid-Bonus,-0.05499999999999999,round8_original
relative-agent-3,1,UG,S-C,Aid-Bonus,0.09,round8_original
