PROLIFIC_PID,F,O,J,dominant
657235b694db71c5aadcafe9,82,25,55,F
69b251b3ce3acf86c4abb823,55,60,30,balanced
6733e5e2a104a80184bf6358,70,45,30,F
6877c6ce14c8ef7fb2717669,75,55,15,F
5e668d33ffed4c410e662f8a,75,40,10,F
65e615620fd6a1c087dafc48,20,55,55,balanced
6696cb900298e5e424ddbb00,75,20,70,balanced
69d95f3f08867331c4b96358,65,45,40,F
677dc096791809f5e6c196a9,20,65,30,O
662f9f3b4b077703703d2f93,55,65,5,O
64aff8a2c8ddc83286a349c3,65,55,30,balanced
6108ae6c74dd26aba7b1a058,65,45,25,F
5fd67cce91f9895969c0edee,78,25,40,F
677b49e36a182ae3bba65ac8,68,45,20,F
671d5e492160124dc47b5b2a,75,30,20,F
5a8895f0f1408d0001769b7b,78,30,45,F
67c0e436ceaee1b193936cc3,75,40,20,F
63d3fe76e4e3acc87c79496a,55,45,15,balanced
5d29d6bd30fa6f0015cd4a75,55,40,30,F
5e9ff19a308f2b1a83d82661,90,15,40,F
5ceac2dd06aa230001363420,70,30,45,F
6321b8a415804175faa4a824,45,55,30,O
669150c4ca6ea56274c3e472,65,55,15,balanced
6649a85b84cfe4b5b8a6132e,70,55,10,F
5e2b0d34a8dc8c000cc53114,55,25,10,F
5fbafd1b299177bdcc7aa4ac,78,45,25,F
6712a9609c91525099272eb1,65,30,40,F
698f9430cab070331f26a085,55,35,60,J
671a49f097ed9a0a68519d16,65,55,30,balanced
5c5c694d46aa74000133e2c4,65,45,35,F
660d55d001f4fd64aeadd502,65,40,35,F
66ab955e70fbb4f16f2ae0ec,75,55,20,F
697cd31d69677a82b9e94fb3,65,55,20,balanced
599de70d8a6cc5000128f980,65,60,15,balanced
63ea88e62f54ec96a1f8dadb,55,60,20,balanced
6650c46dc4f3ab332602c04b,65,55,15,balanced
65a53ce092b4798f1b1ff5bb,70,45,55,F
677d6b77fb855e239a363913,65,45,40,F
66c9315f2a2b2f05c70d2fb6,70,45,30,F
650af20a70328dddf0a8d35d,78,45,55,F
5f204db86a1b2a30a723f56c,78,45,40,F
5e62b7646cf0bf04667c8683,65,30,25,F
69b9a5bffd066eb55746149d,65,40,5,F
65ca418b08131c4a0ee1655a,65,45,5,F
5bedb3c2e3368e0001e0225c,78,25,10,F
5d812e3c613aa900188746a6,75,40,45,F
63d8131629c916e53967971d,55,65,10,O
66b9d46b03a99bd2a4709656,65,60,10,balanced
