PROLIFIC_PID,game,story,F,O,J,dominant,note
657235b694db71c5aadcafe9,dgkw,bonus,78,12,55,F,whether bonus should be shared with co-worker
69b251b3ce3acf86c4abb823,tg,aid,45,55,40,O,deciding whether to share own aid with struggling neighbor
6733e5e2a104a80184bf6358,tg,bonus,55,30,45,F,deciding how much bonus to share with teammate
6877c6ce14c8ef7fb2717669,dglt,aid,45,55,30,O,deciding whether to share aid with a less-fortunate acquaintance
5e668d33ffed4c410e662f8a,dglt,aid,62,30,25,F,deciding whether to share aid with a struggling acquaintance
65e615620fd6a1c087dafc48,tg,bonus,50,52,38,balanced,Steve holds full team bonus with option to share with Max
6696cb900298e5e424ddbb00,dglt,bonus,55,10,70,J,sharing bonus to show teamwork
69d95f3f08867331c4b96358,tg,bonus,62,40,45,F,deciding whether to share bonus with contributing teammate
677dc096791809f5e6c196a9,dglt,bonus,5,70,40,O,personal satisfaction and recognition for hard work
662f9f3b4b077703703d2f93,dgkw,aid,35,65,15,O,James entitled to keep the money he qualified for
64aff8a2c8ddc83286a349c3,ug,aid,55,50,40,balanced,deciding whether to share approved aid with a turned-down neighbor
6108ae6c74dd26aba7b1a058,ug,bonus,55,45,50,balanced,moral dilemma over keeping vs. sharing a bonus with teammate
5fd67cce91f9895969c0edee,dgkw,bonus,85,20,40,F,whether and how much bonus he should share with helpful coworker
677b49e36a182ae3bba65ac8,dglt,bonus,55,45,35,F,whether team leader should share bonus with teammate
671d5e492160124dc47b5b2a,ug,aid,62,30,40,F,deciding whether to share money with a denied neighbor
5a8895f0f1408d0001769b7b,dgkw,bonus,55,35,60,J,joint effort with discretionary sharing of bonus
67c0e436ceaee1b193936cc3,tg,aid,68,30,40,F,moral dilemma over who deserves the assistance
63d3fe76e4e3acc87c79496a,dglt,bonus,40,45,30,balanced,framing a bonus-split decision between keeping it or sharing
5d29d6bd30fa6f0015cd4a75,tg,bonus,62,45,40,F,deciding whether to share bonus with teammate for his contribution
5e9ff19a308f2b1a83d82661,dgkw,bonus,95,5,40,F,Max deserves a share for his contribution
5ceac2dd06aa230001363420,ug,bonus,55,30,45,F,deciding whether to share bonus with teammate
6321b8a415804175faa4a824,dgkw,bonus,35,45,55,J,team bonus allocation choice between self and teammate
669150c4ca6ea56274c3e472,ug,aid,55,45,20,balanced,debating keeping money vs sharing with rejected neighbor
6649a85b84cfe4b5b8a6132e,dglt,aid,45,55,30,O,dilemma of sharing aid vs keeping it for self
5e2b0d34a8dc8c000cc53114,tg,aid,30,55,20,O,individual need for and waiting on funding
5fbafd1b299177bdcc7aa4ac,dglt,aid,55,30,40,F,whether to share aid with an equally struggling acquaintance
6712a9609c91525099272eb1,ug,aid,45,25,40,balanced,deciding whether to share awarded assistance with a peer who got none
698f9430cab070331f26a085,ug,bonus,30,25,70,J,team effort and shared success with a teammate
671a49f097ed9a0a68519d16,tg,aid,45,55,40,O,James's financial hardship and his choice to help a rejected acquaintance
5c5c694d46aa74000133e2c4,ug,bonus,55,45,40,balanced,framing a keep-or-share bonus decision
660d55d001f4fd64aeadd502,ug,bonus,45,40,35,balanced,team bonus and whether to share with colleague
66ab955e70fbb4f16f2ae0ec,dgkw,aid,55,50,20,balanced,conflict over keeping money for himself versus sharing with another struggling person
697cd31d69677a82b9e94fb3,ug,aid,55,45,30,F,dilemma of sharing aid with an equally struggling neighbor
599de70d8a6cc5000128f980,ug,aid,45,55,30,balanced,deciding whether to share aid with a struggling acquaintance
63ea88e62f54ec96a1f8dadb,dgkw,aid,45,55,30,O,James's financial struggle and dilemma about sharing aid with neighbour
6650c46dc4f3ab332602c04b,tg,aid,45,55,30,O,moral conflict between keeping aid for himself vs sharing with needy neighbor
65a53ce092b4798f1b1ff5bb,dgkw,bonus,55,30,50,balanced,deciding whether to share bonus with contributing teammate
677d6b77fb855e239a363913,tg,bonus,62,40,45,F,deciding whether to share bonus in recognition of team member's contribution
66c9315f2a2b2f05c70d2fb6,ug,bonus,55,20,45,F,whether Steve should share bonus given Max's contribution
650af20a70328dddf0a8d35d,dglt,bonus,55,45,40,F,deciding whether to share bonus with Max
5f204db86a1b2a30a723f56c,tg,bonus,68,45,40,F,deciding whether to share bonus with contributing teammate
5e62b7646cf0bf04667c8683,dgkw,aid,55,45,40,F,dilemma of keeping money vs. sharing with unselected neighbor
69b9a5bffd066eb55746149d,tg,aid,30,55,15,O,"no obligation to share own aid, protecting one's resources"
65ca418b08131c4a0ee1655a,dglt,aid,45,55,10,O,"James keeps approved money, neighbor may not qualify"
5bedb3c2e3368e0001e0225c,dglt,aid,55,40,10,F,conditional provisioning based on wrongful rejection and shortfall
5d812e3c613aa900188746a6,dglt,bonus,62,45,33,F,weighing Max's contribution against keeping the bonus
63d8131629c916e53967971d,dgkw,aid,45,55,30,O,struggling recipient deciding whether to share aid with Mark
66b9d46b03a99bd2a4709656,dgkw,aid,45,60,20,O,own need vs whether to share grant with distant neighbour
