PROLIFIC_PID,game,story,F,O,J,dominant,note
5384dca7fdf99b381c04cbac,dgkw,bonus,65,10,45,F,Steve allocating team bonus considering Max's contribution
5424a61afdf99b691fb384eb,tg,aid,45,40,30,balanced,deciding whether to share aid with a struggling neighbor
542bdb6dfdf99b324ea37c3a,dglt,aid,62,30,28,F,moral dilemma over sharing aid with a neighbour who missed out
54468870fdf99b648b6a5c69,tg,aid,45,40,30,balanced,deciding whether to share aid with an unlucky neighbour
546878f8fdf99b1dac305237,dglt,bonus,55,45,40,F,discretion over sharing a bonus with teammate
546e3264fdf99b2bc7ebcfec,dgkw,bonus,30,45,40,balanced,team bonus given to Steve to allocate as he wishes
54924b8efdf99b77ccedc1d5,dglt,bonus,55,20,60,J,team's joint success and how to fairly split the shared bonus
54aefa06fdf99b09c01b37f4,dgkw,bonus,62,20,55,F,sharing bonus with a contributing teammate
54cb7189fdf99b385b78ea97,ug,aid,55,45,30,balanced,"guilt over friend's rejection vs own scarcity, deciding whether to share"
55117d8dfdf99b6593ea5236,ug,aid,55,45,30,F,deciding whether to share aid with a rejected neighbour
55146e64fdf99b253d5b1c5d,ug,bonus,62,40,45,F,deciding whether to share a bonus with a hard-working teammate
55281372fdf99b347f30b241,dgkw,bonus,45,35,55,J,team effort and whether to share bonus with Max
553cb53ffdf99b2a28d6d898,ug,bonus,35,45,25,O,team lead deciding whether to keep bonus or share with teammate
555a457afdf99b10ecc87187,tg,aid,55,45,30,F,conflict over whether to share aid with a denied neighbor
5578b513fdf99b12e00afae9,dgkw,aid,55,45,30,F,moral dilemma over sharing government funds with an unselected neighbour
5589629dfdf99b72ead88339,dgkw,bonus,70,20,45,F,"Max helped but got nothing, so bonus should be shared"
5589be79fdf99b18be320155,ug,bonus,62,20,68,J,joint team success and whether to share the bonus with a crucial teammate
5589cd58fdf99b18be3203af,dglt,aid,45,55,20,O,James's hardship vs. whether to share with someone who got nothing
558afc18fdf99b7dfef4d84e,tg,aid,45,40,30,balanced,whether to share received aid with a rejected neighbor
558b20eefdf99b7dfdbac3c9,dglt,aid,55,40,30,F,deciding whether to share aid with a rejected neighbor
55900dcffdf99b3f7aada3f5,tg,bonus,45,30,40,balanced,bonus for team success with option to share with teammate
559347f6fdf99b790feb6435,dglt,bonus,55,40,45,F,deciding whether to share a bonus with a contributing teammate
