StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q212,Q213,Q214,Q215,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,Q217,Q218_First Click,Q218_Last Click,Q218_Page Submit,Q218_Click Count,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q219,Q220,Q221,Q222,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q225_First Click,Q225_Last Click,Q225_Page Submit,Q225_Click Count,Q2,Q3,Q4,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,hp_lt_1,hp_lt_2,hp_lt_3,hp_lt_4,hp_kw_1,hp_kw_2,hp_kw_3,hp_kw_4,memory_lt_-$4,memory_lt_$0,memory_lt_$2,memory_lt_$4,memory_kw_$0,memory_kw_$4,memory_kw_$6,memory_kw_$8,reasons,attention_check,collect_hp,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The decision on how to split the money..,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Imagine transferring [Field-hp_lt_1] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_lt_2] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_lt_3] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_lt_4] to the other participant. What do you find it similar to?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this allocation.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Imagine transferring [Field-hp_kw_1] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_kw_2] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_kw_3] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_kw_4] to the other participant. What do you find it similar to?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this allocation.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your age?,Are you currenty employed?,"Including yourself, how many people work on your immediate team?



By “immediate/direct team,” we mean the group of people you work with regularly and share responsibilities with (not the entire company).",mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,hp_lt_1,hp_lt_2,hp_lt_3,hp_lt_4,hp_kw_1,hp_kw_2,hp_kw_3,hp_kw_4,memory_lt_-$4,memory_lt_$0,memory_lt_$2,memory_lt_$4,memory_kw_$0,memory_kw_$4,memory_kw_$6,memory_kw_$8,reasons,attention_check,collect_hp,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID212_TEXT""}","{""ImportId"":""QID213_TEXT""}","{""ImportId"":""QID214_TEXT""}","{""ImportId"":""QID215_TEXT""}","{""ImportId"":""QID33_FIRST_CLICK""}","{""ImportId"":""QID33_LAST_CLICK""}","{""ImportId"":""QID33_PAGE_SUBMIT""}","{""ImportId"":""QID33_CLICK_COUNT""}","{""ImportId"":""QID217_TEXT""}","{""ImportId"":""QID218_FIRST_CLICK""}","{""ImportId"":""QID218_LAST_CLICK""}","{""ImportId"":""QID218_PAGE_SUBMIT""}","{""ImportId"":""QID218_CLICK_COUNT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID219_TEXT""}","{""ImportId"":""QID220_TEXT""}","{""ImportId"":""QID221_TEXT""}","{""ImportId"":""QID222_TEXT""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID225_FIRST_CLICK""}","{""ImportId"":""QID225_LAST_CLICK""}","{""ImportId"":""QID225_PAGE_SUBMIT""}","{""ImportId"":""QID225_CLICK_COUNT""}","{""ImportId"":""QID1219179457_TEXT""}","{""ImportId"":""QID1219179458""}","{""ImportId"":""QID1219179459_TEXT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""treatment""}","{""ImportId"":""transfer""}","{""ImportId"":""hp_lt_1""}","{""ImportId"":""hp_lt_2""}","{""ImportId"":""hp_lt_3""}","{""ImportId"":""hp_lt_4""}","{""ImportId"":""hp_kw_1""}","{""ImportId"":""hp_kw_2""}","{""ImportId"":""hp_kw_3""}","{""ImportId"":""hp_kw_4""}","{""ImportId"":""memory_lt_-$4""}","{""ImportId"":""memory_lt_$0""}","{""ImportId"":""memory_lt_$2""}","{""ImportId"":""memory_lt_$4""}","{""ImportId"":""memory_kw_$0""}","{""ImportId"":""memory_kw_$4""}","{""ImportId"":""memory_kw_$6""}","{""ImportId"":""memory_kw_$8""}","{""ImportId"":""reasons""}","{""ImportId"":""attention_check""}","{""ImportId"":""collect_hp""}","{""ImportId"":""Q_DataPolicyViolations""}"
2025-12-03 13:32:21,2025-12-03 13:38:09,IP Address,,100,347,True,2025-12-03 13:38:09,R_8qfZOOuvobrhBE2,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.108,0,,,,,7.742,7.742,10.121,1,"I would of liked to have kept all the money for myself but if i was the one with 0 money and someone was left to allocate money for me, i would hope they would share with me to. I decided not to give half, but what i feel was still a generous offering.  ",0,0,0.206,0,37,Yes,3,0,8,6658cd59b7804e03c7d0529a,69303bdbdd60eacec52193e2,693007ea9ccbb73de3debb7f,kw,4,'-$4,$0,$2,$4,$6,$8,$4,$0,,,,,,,,,"I would of liked to have kept all the money for myself but if i was the one with 0 money and someone was left to allocate money for me, i would hope they would share with me to. I decided not to give half, but what i feel was still a generous offering.  ",1,0,
2025-12-03 13:38:10,2025-12-03 13:40:29,IP Address,,100,139,True,2025-12-03 13:40:30,R_3wucOgXZwOFRJEY,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.105,0,,,,,6.255,11.511,13.034,3,Giving the other participant something,0,0,0.203,0,37,Yes,50,0,10,5ea720a669cae10d910fba3e,69303d3ba1b5db6cef34cc9d,693007ea9ccbb73de3debb7f,kw,2,$2,'-$4,$4,$0,$0,$4,$8,$6,,,,,,,,,Giving the other participant something,1,0,
2025-12-03 13:41:29,2025-12-03 13:43:54,IP Address,,100,145,True,2025-12-03 13:43:55,R_3k2DLzNMC94oBgZ,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,0,0,3.116,0,,,,,16.984,16.984,18.356,1,I decided to be kind and offer a little amount from my earnings whiles also been cautious should they decide to deduct from my earnings,0,0,0.218,0,,,,,,,,,,,,,,,,,,58,Yes,10,0,7,64727ea9591087aef21f3dcf,69303d082462215882cd088b,693007ea9ccbb73de3debb7f,lt,1,'-$4,$0,$4,$2,$8,$0,$4,$6,,,,,,,,,I decided to be kind and offer a little amount from my earnings whiles also been cautious should they decide to deduct from my earnings,1,0,
2025-12-03 13:43:38,2025-12-03 13:46:57,IP Address,,100,198,True,2025-12-03 13:46:57,R_6IH4MxfbnFZyXTd,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.019,0,,,,,24.265,24.265,28.903,1,I want us both on n even playing field,0,0,0.237,0,45,Yes,30,0,6,5d02c9be020a21001835c3b4,69303e801efbf996608c8f49,693007ea9ccbb73de3debb7f,kw,6,'-$4,$4,$0,$2,$4,$6,$0,$8,,,,,,,,,I want us both on n even playing field,1,0,
2025-12-03 13:42:51,2025-12-03 13:48:01,IP Address,,100,310,True,2025-12-03 13:48:01,R_2utsa0OEn1DNsHL,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.11,0,Buying someone a coffee,Buying someone food,Buying someone a bus ticket,Nothing,8.751,10.893,11.993,2,50/50 split seems fair,0,0,0.21,0,25,No,,0,6,63ecfe7a1e5faf247a255ac2,69303e50785e5ba1cf2897a6,693007ea9ccbb73de3debb7f,kw,6,'-$4,$2,$4,$0,$4,$8,$6,$0,,,,,Nothing,Buying someone a coffee,Buying someone a bus ticket,Buying someone food,50/50 split seems fair,1,1,
2025-12-03 13:42:59,2025-12-03 13:49:33,IP Address,,100,393,True,2025-12-03 13:49:33,R_8djm5cRZQy8SWf5,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,0,0,3.132,0,When I decided not share my winning of the money I won in a darts double game. ,"Not splitting 10 pounds from someone, and leaving them with nothing ",Giving the person all your winnings and leaving yourself with 0 ,"Splitting the strategy of the game in half, and giving both users the opportunity to win fairly. ",18.475,27.267,28.306,5,"It's better to split things in the middle. Promotes fairness, and opportunity. ",0,0,0.224,0,,,,,,,,,,,,,,,,,,33,Yes,2,0,4,66421a683ec1aada2f687975,69303e5b426f4c985623e9ad,693007ea9ccbb73de3debb7f,lt,4,$0,'-$4,$4,$2,$0,$4,$6,$8,"Not splitting 10 pounds from someone, and leaving them with nothing ",When I decided not share my winning of the money I won in a darts double game. ,"Splitting the strategy of the game in half, and giving both users the opportunity to win fairly. ",Giving the person all your winnings and leaving yourself with 0 ,,,,,"It's better to split things in the middle. Promotes fairness, and opportunity. ",1,1,
2025-12-03 13:49:56,2025-12-03 13:51:22,IP Address,,100,86,True,2025-12-03 13:51:23,R_8h0jcNXgJ1K7pz1,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.013,0,,,,,6.917,8.886,13.06,2,to make it even,0,0,0.217,0,38,Yes,15,0,6,6127a6834afacbaa6e8c71c4,69303ffd672dd54b687adfb2,693007ea9ccbb73de3debb7f,kw,6,'-$4,$4,$0,$2,$8,$4,$6,$0,,,,,,,,,to make it even,1,0,
2025-12-03 14:03:17,2025-12-03 14:05:58,IP Address,,100,160,True,2025-12-03 14:05:58,R_8e45fb0gYPdW9uj,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,0,0,3.119,0,,,,,8.279,8.279,8.901,1,I thought I'd chance getting a bit exta,0,0,0.216,0,,,,,,,,,,,,,,,,,,28,No,,0,12,5b844bb6db11320001c56ca3,693043070c1240eada50f192,693007ea9ccbb73de3debb7f,lt,-4,$4,$0,$2,'-$4,$6,$0,$4,$8,,,,,,,,,I thought I'd chance getting a bit exta,1,0,
