StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,Q225_First Click,Q225_Last Click,Q225_Page Submit,Q225_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,reasons,beliefs,beliefs_hp,attention_check,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The decision on how to split the money..,Player 2's decision..,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this proposal.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,reasons,beliefs,beliefs_hp,attention_check,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID231""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID234_FIRST_CLICK""}","{""ImportId"":""QID234_LAST_CLICK""}","{""ImportId"":""QID234_PAGE_SUBMIT""}","{""ImportId"":""QID234_CLICK_COUNT""}","{""ImportId"":""QID236_FIRST_CLICK""}","{""ImportId"":""QID236_LAST_CLICK""}","{""ImportId"":""QID236_PAGE_SUBMIT""}","{""ImportId"":""QID236_CLICK_COUNT""}","{""ImportId"":""QID225_FIRST_CLICK""}","{""ImportId"":""QID225_LAST_CLICK""}","{""ImportId"":""QID225_PAGE_SUBMIT""}","{""ImportId"":""QID225_CLICK_COUNT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""treatment""}","{""ImportId"":""transfer""}","{""ImportId"":""reasons""}","{""ImportId"":""beliefs""}","{""ImportId"":""beliefs_hp""}","{""ImportId"":""attention_check""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-04-20 10:06:11,2026-04-20 10:07:15,IP Address,,100,64,True,2026-04-20 10:07:15,R_2LbWrL7me6A4VYS,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.119,0,2.04,2.04,3.632,1,Because it is almost half.,1.689,1.689,2.748,1,1.778,1.778,2.634,1,0,0,0.208,0,0,6.5,54b1e80cfdf99b0b3d806352,69e5fa8bb229d9cdaa9872f5,69e5f3e940b1445faaf04dae,,5.5,Because it is almost half.,67,27,1,
2026-04-20 10:06:32,2026-04-20 10:08:27,IP Address,,100,114,True,2026-04-20 10:08:27,R_25YqexixmDulXJT,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.012,0,2.83,2.83,5.493,1,"I think it makes sense to split the money equally as we are both participating, equally.",4.801,5.69,6.225,2,1.959,6.116,7.254,2,0,0,0.21,0,0,6,60fae066c4ab91522a85f075,69e5faa18d09bfb32491f9d9,69e5f3e940b1445faaf04dae,,6,"I think it makes sense to split the money equally as we are both participating, equally.",85,41,1,
2026-04-20 10:05:45,2026-04-20 10:08:50,IP Address,,100,184,True,2026-04-20 10:08:50,R_8z5WHDrpqFH2pAM,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.012,0,3.906,6.791,11.927,2,"I thought this seemed the most fair and likely to be accepted - if I was player two, I'd see this as a good faith offer and a fair split so I would take it, so I'd hope the other participant would have a similar opinion. ",3.476,6.248,7.684,2,3.201,10.767,12.601,2,0,0,0.209,0,0,6,5cec366130e2430001abdf6d,69e5fa7206b9653db07633cd,69e5f3e940b1445faaf04dae,,6,"I thought this seemed the most fair and likely to be accepted - if I was player two, I'd see this as a good faith offer and a fair split so I would take it, so I'd hope the other participant would have a similar opinion. ",90,33,1,
2026-04-20 10:06:29,2026-04-20 10:09:10,IP Address,,100,160,True,2026-04-20 10:09:11,R_84wkQsuEaSJyHzK,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.108,0,3.484,3.484,8.484,1,It seems fair that we split the $12 equally and also gives me a better chance of them accepting the proposal,1.394,9.066,9.681,4,5.181,5.181,6.731,1,0,0,0.205,0,0,6,59f8868e05d1d60001f1464d,69e5faa22169bd3b7b9894f5,69e5f3e940b1445faaf04dae,,6,It seems fair that we split the $12 equally and also gives me a better chance of them accepting the proposal,80,37,1,
2026-04-20 10:07:17,2026-04-20 10:09:21,IP Address,,100,123,True,2026-04-20 10:09:21,R_2SIV40rXHjo1DRj,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.009,0,6.545,6.545,7.818,1,Because half is fair to both players,4.425,4.425,6.248,1,7.619,7.619,8.629,1,0,0,0.206,0,0,6,6645b72a1a5f7902bfd57b52,69e5facfe32f0966ac39f0c3,69e5f3e940b1445faaf04dae,,6,Because half is fair to both players,94,31,1,
2026-04-20 10:07:08,2026-04-20 10:09:31,IP Address,,100,142,True,2026-04-20 10:09:31,R_2lPHqV5uOKcwsTn,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.011,0,5.473,5.473,10.326,1,I always think it's fairest to share winnings equally.,5.779,15.895,17.386,4,12.855,12.855,14.401,1,0,0,0.207,0,0,6,57d42e23f7b8540001e77bfc,69e5fac42635ae9435d6ceb2,69e5f3e940b1445faaf04dae,,6,I always think it's fairest to share winnings equally.,80,65,1,
2026-04-20 10:07:37,2026-04-20 10:09:44,IP Address,,100,126,True,2026-04-20 10:09:44,R_2UYSsFtcrW2jo0F,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects your match earnings,..affects both players' final payment,,,,,,,,,,,,,,,,,,,,,,1,,67e04653f72e455c5cb22f12,69e5fae1ea0236780a14d470,69e5f3e940b1445faaf04dae,,,,,,1,
2026-04-20 10:06:51,2026-04-20 10:09:53,IP Address,,100,182,True,2026-04-20 10:09:53,R_82WuJe5SSbYdhTO,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,..affects both players' final payment,0,0,2.105,0,5.953,11.979,13.137,2,i think this is good amount as i dont want to loose more money,1.322,2.635,3.666,2,1.333,1.333,2.346,1,0,0,0.205,0,1,8.5,66aba420ff3e6b366e465ffc,69e5faae9ac598acd139e0d5,69e5f3e940b1445faaf04dae,,3.5,i think this is good amount as i dont want to loose more money,42,37,1,
