StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q238_First Click,Q238_Last Click,Q238_Page Submit,Q238_Click Count,Q225_First Click,Q225_Last Click,Q225_Page Submit,Q225_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,P1_ID,P1_CHOICE,LOCK_TOKEN,P2,allocation_hp,transfer_hp,attention_check,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The decision on how to split the money..,Suppose Player 1 decides to send $2. How much money will Player 2 receive?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose that amount.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,P1_ID,P1_CHOICE,LOCK_TOKEN,P2,allocation_hp,transfer_hp,attention_check,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID231""}","{""ImportId"":""QID236_FIRST_CLICK""}","{""ImportId"":""QID236_LAST_CLICK""}","{""ImportId"":""QID236_PAGE_SUBMIT""}","{""ImportId"":""QID236_CLICK_COUNT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID238_FIRST_CLICK""}","{""ImportId"":""QID238_LAST_CLICK""}","{""ImportId"":""QID238_PAGE_SUBMIT""}","{""ImportId"":""QID238_CLICK_COUNT""}","{""ImportId"":""QID225_FIRST_CLICK""}","{""ImportId"":""QID225_LAST_CLICK""}","{""ImportId"":""QID225_PAGE_SUBMIT""}","{""ImportId"":""QID225_CLICK_COUNT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""transfer""}","{""ImportId"":""reasons""}","{""ImportId"":""beliefs""}","{""ImportId"":""P1_ID""}","{""ImportId"":""P1_CHOICE""}","{""ImportId"":""LOCK_TOKEN""}","{""ImportId"":""P2""}","{""ImportId"":""allocation_hp""}","{""ImportId"":""transfer_hp""}","{""ImportId"":""attention_check""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-04-20 15:09:33,2026-04-20 15:12:54,IP Address,,100,201,True,2026-04-20 15:12:55,R_7X0Yl3Zs9HPBiC5,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,3.383,0,0,0,2.109,0,5.632,18.999,21.139,13,"By sending back half of the amount, both myself and the other player are getting the same amount. I would want player 2 to do this for me if I was in their shoes.",5.604,5.604,7.392,1,0,0,0.207,0,0,1.5,69d7ce692f1789cb2ba9ecd3,69e641a5e334a49268120444,69e638d4b2228b5d05917569,1.5,"By sending back half of the amount, both myself and the other player are getting the same amount. I would want player 2 to do this for me if I was in their shoes.",,5cd128f0a36804001767bab4,1,ee382d15-aac2-45bd-84d6-7e8dc5b7d26d,3,3,3,1,
2026-04-20 15:09:46,2026-04-20 15:13:10,IP Address,,100,203,True,2026-04-20 15:13:11,R_1M0ecF0yZZZfIfU,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,4.521,0,0,0,2.006,0,16.75,19.65,21.101,2,"In order to make John whole, I chose to send $1 so that he would have his whole $6 back. ",,,,,0,0,0.207,0,0,5,69c542bdcba6535d6e41f354,69e641b20e11c67547808472,69e638d4b2228b5d05917569,1,"In order to make John whole, I chose to send $1 so that he would have his whole $6 back. ",,67e986689e08191058043a95,2,ab76d3f7-290f-4e8e-bd0e-052c29261568,6,,,1,
2026-04-20 15:09:27,2026-04-20 15:13:21,IP Address,,100,234,True,2026-04-20 15:13:21,R_8elVsY20NwIrgqw,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,3.034,0,0,0,2.114,0,22.745,22.865,27.428,2,I felt person should have half ,9.527,12.919,18.626,4,0,0,0.207,0,0,5.5,59777ecfe645fa0001d3bbf6,69e6419de072debf6d1fc36a,69e638d4b2228b5d05917569,3.5,I felt person should have half ,,586b9179d53c97000159d702,3,0785208e-918b-4fd2-b764-e23082bf0d70,9,3,3,1,
2026-04-20 15:09:13,2026-04-20 15:13:27,IP Address,,100,254,True,2026-04-20 15:13:28,R_672PMCEFpwMK5s3,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,4.3,0,0,0,2.022,0,14.656,14.656,21.142,1,wanted to make the final outcome as equal as possible.,14.632,14.632,15.563,1,0,0,0.207,0,0,4.5,5a6df612e70ca900017ae25e,69e64190d989a847e742d485,69e638d4b2228b5d05917569,0,wanted to make the final outcome as equal as possible.,,66293db7e0d7455abf6064c1,1.5,e9f9e603-04d4-4cc2-ac7e-b1e7daf6e3c4,4.5,5,1,1,
2026-04-20 15:09:32,2026-04-20 15:13:58,IP Address,,100,266,True,2026-04-20 15:13:59,R_7nW6dtFyM3NTgza,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,2.703,0,0,0,2.011,0,20.624,21.864,29.228,2,I would have sent that amount back because I was sent more the second time.,9.003,9.003,11.659,1,0,0,0.206,0,0,0.5,69dc0826b66148de35dc555c,69e641a182ffceda525c983c,69e638d4b2228b5d05917569,1,I would have sent that amount back because I was sent more the second time.,,63b727ff899db0b1392413ed,0.5,fe2697f4-8cab-4974-a30a-6b7bf8cba6ea,1.5,1.5,4.5,1,
2026-04-20 15:09:15,2026-04-20 15:14:21,IP Address,,100,305,True,2026-04-20 15:14:21,R_1hxYPa21Zw4kFMM,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,3.4,0,0,0,2.018,0,52.506,54.947,56.7,2,So we both could have half of the money like sharing,,,,,0,0,0.112,0,0,3,65563f4cf137044f7feaff1c,69e64191228197f41aabdd17,69e638d4b2228b5d05917569,3,So we both could have half of the money like sharing,,67a8f159e3d9c1263914bc6a,2,2ba444bc-b84b-4ac9-a6c4-5494105654ae,6,,,1,
2026-04-20 15:09:41,2026-04-20 15:14:30,IP Address,,100,289,True,2026-04-20 15:14:31,R_732HNKDkPiWIkQ3,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,4.349,0,0,0,2.006,0,21.04,21.04,23.346,1,I chose to be fair and try to make the payments equal between both myself and the other player,24.506,29.389,31.05,3,0,0,0.206,0,0,9,69c09c436415f218dff13b33,69e641a8d4de6129ac5d0427,69e638d4b2228b5d05917569,9,I chose to be fair and try to make the payments equal between both myself and the other player,,631b41500bed6fddcc87c089,6,0f9d5112-aed8-4efe-ae0b-f00e70e3eb90,18,4,2,1,
2026-04-20 15:10:20,2026-04-20 15:14:48,IP Address,,100,267,True,2026-04-20 15:14:49,R_7EsE3OpXYteohM1,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,3.048,0,0,0,2.011,0,9.001,10.607,46.242,2,"I wanted to balance out our amounts. Since they sent me $2 (resulting in me getting 6), that left them with $4. If I send $1 back, we both end up with $5. I thought this was the best way to express my appreciation for sending something and making sure we both walked away with the same (or similar) amount of money.",,,,,0,0,0.209,0,0,5,666c684b942658f46ce0eb03,69e6419d44bec8460fbfd779,69e638d4b2228b5d05917569,1,"I wanted to balance out our amounts. Since they sent me $2 (resulting in me getting 6), that left them with $4. If I send $1 back, we both end up with $5. I thought this was the best way to express my appreciation for sending something and making sure we both walked away with the same (or similar) amount of money.",,5f5a14224848f606446bbca8,2,155f1313-0dca-4138-b0c7-973e8e6486ca,6,,,1,
