StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,Q238_First Click,Q238_Last Click,Q238_Page Submit,Q238_Click Count,Q225_First Click,Q225_Last Click,Q225_Page Submit,Q225_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,beliefs_hp,attention_check,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The decision on how to split the money..,Suppose Player 1 decides to send $2. How much money will Player 2 receive?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose that amount.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,beliefs_hp,attention_check,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID231""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID234_FIRST_CLICK""}","{""ImportId"":""QID234_LAST_CLICK""}","{""ImportId"":""QID234_PAGE_SUBMIT""}","{""ImportId"":""QID234_CLICK_COUNT""}","{""ImportId"":""QID236_FIRST_CLICK""}","{""ImportId"":""QID236_LAST_CLICK""}","{""ImportId"":""QID236_PAGE_SUBMIT""}","{""ImportId"":""QID236_CLICK_COUNT""}","{""ImportId"":""QID238_FIRST_CLICK""}","{""ImportId"":""QID238_LAST_CLICK""}","{""ImportId"":""QID238_PAGE_SUBMIT""}","{""ImportId"":""QID238_CLICK_COUNT""}","{""ImportId"":""QID225_FIRST_CLICK""}","{""ImportId"":""QID225_LAST_CLICK""}","{""ImportId"":""QID225_PAGE_SUBMIT""}","{""ImportId"":""QID225_CLICK_COUNT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""transfer""}","{""ImportId"":""reasons""}","{""ImportId"":""beliefs""}","{""ImportId"":""beliefs_hp""}","{""ImportId"":""attention_check""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-04-20 10:06:33,2026-04-20 10:08:17,0,,100,103,1,2026-04-20 10:08:17,R_8prJY2m40JJYB3l,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.023,0,1.853,3.271,4.852,2,"I trust that Player 2 will be fair and send me an equal share back, so I sent the majority of the money.",2.888,4.792,5.828,2,,,,,4.573,4.573,6.29,1,0,0,0.213,0,0,1,5c0a29b6c307a400016adb9f,69e5faa2328101c8d0552108,69e5eb933e3c8016d3f8510e,5,"I trust that Player 2 will be fair and send me an equal share back, so I sent the majority of the money.",7,3,1,
2026-04-20 10:06:32,2026-04-20 10:08:40,0,,100,127,1,2026-04-20 10:08:41,R_2NEvLsMGTzpu6xG,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.01,0,8.397,10.389,12.476,2,Seemed pretty fair. I get something and so do they.,5.002,11.657,13.069,6,,,,,5.926,5.926,7.785,1,0,0,0.213,0,0,5,5b70758cf3dd6600010aa9eb,69e5fa9ba1ca6c822c085383,69e5eb933e3c8016d3f8510e,1,Seemed pretty fair. I get something and so do they.,1,1,1,
2026-04-20 10:05:25,2026-04-20 10:08:53,0,,100,208,1,2026-04-20 10:08:54,R_8neJxjRDrJgVgI4,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.011,0,6.531,6.531,12.555,1,opportunity to maximise both players earnings,13.467,13.467,17.124,1,,,,,11.582,11.582,13.223,1,0,0,0.211,0,0,0,5ea083cc6d17e505304ab238,69e5fa5ea6ae2ea0ff409328,69e5eb933e3c8016d3f8510e,6,opportunity to maximise both players earnings,9,3,1,
2026-04-20 10:07:08,2026-04-20 10:09:01,0,,100,113,1,2026-04-20 10:09:02,R_2iIMXl0ACgGAsyo,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.11,0,5.357,24.966,28.881,5,We then both get $4.50 ,4.414,5.446,6.066,3,,,,,6.199,6.199,7.163,1,0,0,0.214,0,0,4.5,5cbf7efc33c9c70017d49c79,69e5fac8bde28c7e434d5f11,69e5eb933e3c8016d3f8510e,1.5,We then both get $4.50 ,0,3,1,
2026-04-20 10:06:42,2026-04-20 10:09:19,0,,100,156,1,2026-04-20 10:09:19,R_5kZD0i90nIu35Hb,,,,,,,anonymous,EN,1,,,1,1,3,2,0.432,1.451,2.022,3,7.414,9.622,12.74,2,I gave some hoping that the other person would return at least half to me.,6.159,6.159,7.82,1,,,,,,,,,0,0,0.221,0,0,4,5dd5e27fe25acf59990e1adf,69e5faa2e66896ac7f7d602c,69e5eb933e3c8016d3f8510e,2,I gave some hoping that the other person would return at least half to me.,3,,1,
2026-04-20 10:06:49,2026-04-20 10:09:29,0,,100,159,1,2026-04-20 10:09:29,R_2xv9Acdz4Wao2GZ,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.028,0,6.285,8.18,12.482,2,"As this amount will be tripled, it means the other player will receive an amount that is fair",6.999,6.999,8.909,1,,,,,,,,,0,0,0.222,0,0,4,6018880c76e9e614739fde32,69e5fa84b1c1768e590eac15,69e5eb933e3c8016d3f8510e,2,"As this amount will be tripled, it means the other player will receive an amount that is fair",1,,1,
2026-04-20 10:07:05,2026-04-20 10:09:34,0,,100,149,1,2026-04-20 10:09:34,R_2kzib3dRKkzroCB,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.009,0,7.27,10.071,13.808,2,I wanted to give myself some wriggle room and guarantee at least a little bonus even if my counterpart decides to keep all the money for themselves.,7.311,7.311,12.117,1,,,,,5.476,5.476,6.633,1,0,0,0.208,0,0,2,63f77a5dde1ea03305e119e0,69e5fac40a6f85b21c9cac33,69e5eb933e3c8016d3f8510e,4,I wanted to give myself some wriggle room and guarantee at least a little bonus even if my counterpart decides to keep all the money for themselves.,4,3,1,
2026-04-20 10:08:24,2026-04-20 10:10:06,0,,100,102,1,2026-04-20 10:10:06,R_2t4jaAiyXeEdE4c,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.008,0,0.929,0.929,2.959,1,"Because this seemed fair. I started with 6, it gives them 6. I have no guarantee they'll send anything back. ",2.034,3.962,5.298,2,,,,,,,,,0,0,0.217,0,0,4,677ac5abfeff92f43b1755ba,69e5fb1123a4c8d53ec2b66b,69e5eb933e3c8016d3f8510e,2,"Because this seemed fair. I started with 6, it gives them 6. I have no guarantee they'll send anything back. ",2,,1,
