StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,Q225_First Click,Q225_Last Click,Q225_Page Submit,Q225_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,reasons,beliefs,beliefs_hp,attention_check,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The data provider's decision on how to set the price..,The broker's decision..,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this proposal.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,reasons,beliefs,beliefs_hp,attention_check,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID231""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID234_FIRST_CLICK""}","{""ImportId"":""QID234_LAST_CLICK""}","{""ImportId"":""QID234_PAGE_SUBMIT""}","{""ImportId"":""QID234_CLICK_COUNT""}","{""ImportId"":""QID236_FIRST_CLICK""}","{""ImportId"":""QID236_LAST_CLICK""}","{""ImportId"":""QID236_PAGE_SUBMIT""}","{""ImportId"":""QID236_CLICK_COUNT""}","{""ImportId"":""QID225_FIRST_CLICK""}","{""ImportId"":""QID225_LAST_CLICK""}","{""ImportId"":""QID225_PAGE_SUBMIT""}","{""ImportId"":""QID225_CLICK_COUNT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""treatment""}","{""ImportId"":""transfer""}","{""ImportId"":""reasons""}","{""ImportId"":""beliefs""}","{""ImportId"":""beliefs_hp""}","{""ImportId"":""attention_check""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-04-20 13:43:04,2026-04-20 13:43:30,IP Address,,100,25,True,2026-04-20 13:43:30,R_6I4WI8JwWrHPNai,,,,,,,anonymous,EN,Very interested,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,691db4c3abfbe16e737f5d9a,69e62d60c089f5620734f796,69e6291709971d25849ff06d,,,,,,0,
2026-04-20 13:43:36,2026-04-20 13:43:47,IP Address,,100,10,True,2026-04-20 13:43:47,R_7DkjeIOFIE3m2JV,,,,,,,anonymous,EN,,A bit interested,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,69b80627a6e2d369613ee8d7,69e62d813ff9e638ecae91e4,69e6291709971d25849ff06d,,,,,,0,
2026-04-20 13:43:13,2026-04-20 13:44:37,IP Address,,100,84,True,2026-04-20 13:44:37,R_2zworxZTwsojcJ0,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects the broker's earnings,..affects both the broker's and the data provider's final payment,,,,,,,,,,,,,,,,,,,,,,1,,5723714684458100120292f6,69e62d6b09aba32fe49b4be2,69e6291709971d25849ff06d,,,,,,1,
2026-04-20 13:42:17,2026-04-20 13:45:36,IP Address,,100,199,True,2026-04-20 13:45:36,R_8k4UEyWeX14MFnd,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.004,0,14.004,14.004,17.145,1,Seems to be a bonus for the sale going through so good to undercut to increase the likelihood of acceptance,3.343,4.212,5.046,2,2.263,2.263,3.167,1,0,0,0.102,0,0,10,5e0a1251b1fb052bddb6d755,69e62d3783ac92e711838005,69e6291709971d25849ff06d,,2,Seems to be a bonus for the sale going through so good to undercut to increase the likelihood of acceptance,100,100,1,
2026-04-20 13:43:16,2026-04-20 13:46:05,IP Address,,100,169,True,2026-04-20 13:46:05,R_2NXoB1c4E5s8rWh,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.111,0,50.769,53.919,58.391,2,I didn't want to change the price,2.34,2.34,3.527,1,1.653,2.99,4.164,2,0,0,0.22,0,0,12,6768434c73d3cbf6add74da9,69e62d6e000905c85b83367f,69e6291709971d25849ff06d,,0,I didn't want to change the price,47,47,1,
2026-04-20 13:43:44,2026-04-20 13:46:43,IP Address,,100,178,True,2026-04-20 13:46:43,R_12tAhf5lDEz3lYk,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.108,0,10.935,16.991,18.161,3,It was sort of random since I don't know what data is being sent. I just went with a flat $10.,4.485,7.957,9.007,2,5.219,7.699,8.965,2,0,0,0.203,0,0,10,69c7dc615282f01e1f8f7416,69e62d875b836035ea41933a,69e6291709971d25849ff06d,,2,It was sort of random since I don't know what data is being sent. I just went with a flat $10.,50,50,1,
2026-04-20 13:42:49,2026-04-20 13:46:54,IP Address,,100,245,True,2026-04-20 13:46:55,R_6q1vFIPS1YgtkqT,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.105,0,19.497,19.497,21.678,1,I preferred the number to be $10 instead of $12. ,5.897,5.897,7.266,1,12.414,12.414,13.478,1,0,0,0.214,0,1,10,699fa8c620ad93f6736a23e3,69e62d4f1f0d5b72cf4bef23,69e6291709971d25849ff06d,,2,I preferred the number to be $10 instead of $12. ,50,50,1,
2026-04-20 13:43:24,2026-04-20 13:46:55,IP Address,,100,211,True,2026-04-20 13:46:55,R_7ddhO7Nxl3x22Za,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.008,0,9.95,13.099,14.374,2,I just didn't want to change the price. Just wanted to go with it.,7.251,11.701,12.925,2,7.574,10.59,11.881,2,0,0,0.206,0,0,12,67673cda94b4d0cf1a6a7382,69e62d749291c9fc93eb52d7,69e6291709971d25849ff06d,,0,I just didn't want to change the price. Just wanted to go with it.,50,35,1,
