StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,Q238_First Click,Q238_Last Click,Q238_Page Submit,Q238_Click Count,Q225_First Click,Q225_Last Click,Q225_Page Submit,Q225_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,beliefs_hp,attention_check,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The data provider's decision on how much to send to the broker..,Suppose the data provider decides to send $2 worth of data. How much value in data will the broker receive?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose that amount.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,beliefs_hp,attention_check,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID231""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID234_FIRST_CLICK""}","{""ImportId"":""QID234_LAST_CLICK""}","{""ImportId"":""QID234_PAGE_SUBMIT""}","{""ImportId"":""QID234_CLICK_COUNT""}","{""ImportId"":""QID236_FIRST_CLICK""}","{""ImportId"":""QID236_LAST_CLICK""}","{""ImportId"":""QID236_PAGE_SUBMIT""}","{""ImportId"":""QID236_CLICK_COUNT""}","{""ImportId"":""QID238_FIRST_CLICK""}","{""ImportId"":""QID238_LAST_CLICK""}","{""ImportId"":""QID238_PAGE_SUBMIT""}","{""ImportId"":""QID238_CLICK_COUNT""}","{""ImportId"":""QID225_FIRST_CLICK""}","{""ImportId"":""QID225_LAST_CLICK""}","{""ImportId"":""QID225_PAGE_SUBMIT""}","{""ImportId"":""QID225_CLICK_COUNT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""transfer""}","{""ImportId"":""reasons""}","{""ImportId"":""beliefs""}","{""ImportId"":""beliefs_hp""}","{""ImportId"":""attention_check""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-04-20 13:43:02,2026-04-20 13:45:25,IP Address,,100,142,True,2026-04-20 13:45:26,R_7fyD5c2RgmTGdTH,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,2.009,0,5.864,5.864,8.974,1,I thought it'd be a safe choice because it's not too much and not too little ,4.701,7.809,8.819,2,,,,,,,,,0,0,0.207,0,0,4,69a874a3cb66fa9650cf5c56,69e62d5fada2148c732c9d95,69e6293cac546095efbb4be0,2,I thought it'd be a safe choice because it's not too much and not too little ,2,,1,
2026-04-20 13:43:51,2026-04-20 13:46:22,IP Address,,100,151,True,2026-04-20 13:46:23,R_7M5SEcJlnG08jmN,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,2.11,0,11.021,11.021,12.224,1,Just seemed right? No particular reasoning.,10.025,10.025,12.006,1,,,,,8.733,8.733,9.303,1,0,0,0.105,0,0,2,6983a21981e747a4cdb8659e,69e62d901e56188d8aac629f,69e6293cac546095efbb4be0,4,Just seemed right? No particular reasoning.,6,2.5,1,
2026-04-20 13:42:17,2026-04-20 13:46:30,IP Address,,100,252,True,2026-04-20 13:46:30,R_2r6nOp5NS1exPRE,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,2.014,0,13.273,15.13,24.279,2,"Because it has the potential to give both of us the highest reward, providing of course that the broker behaves fairly.",18.449,28.074,29.767,3,,,,,12.105,19.178,21.341,2,0,0,0.21,0,0,0,5a04ccfef2e3460001edadef,69e62d30f0ba6de58a96f670,69e6293cac546095efbb4be0,6,"Because it has the potential to give both of us the highest reward, providing of course that the broker behaves fairly.",8,2.5,1,
2026-04-20 13:43:26,2026-04-20 13:46:30,IP Address,,100,184,True,2026-04-20 13:46:31,R_7EBi30K24oAIMnm,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,2.009,0,8.704,11.103,12.277,2,I wanted to send half to see if that would increase the chance of being successful,9.594,9.594,10.884,1,,,,,6.323,6.323,7.641,1,0,0,0.211,0,1,3,69dd53fd54f9b38f6e4c5019,69e62d5b583ee244b18c60d4,69e6293cac546095efbb4be0,3,I wanted to send half to see if that would increase the chance of being successful,4.5,3,1,
2026-04-20 13:42:59,2026-04-20 13:46:38,IP Address,,100,219,True,2026-04-20 13:46:38,R_8eyKEB4n6jIhv84,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,2.008,0,11.987,13.907,17.001,2,"I wanted to hedge a bit, but reasoned that there was a good enough chance overall of rmaximizing my earnings this way.",5.066,9.921,11.649,4,,,,,7.22,11.577,13.57,5,0,0,0.208,0,0,2,5dcfb0ffcc19200baabf0e8a,69e62d5bb668cb7fc3cc08d7,69e6293cac546095efbb4be0,4,"I wanted to hedge a bit, but reasoned that there was a good enough chance overall of rmaximizing my earnings this way.",6,3,1,
2026-04-20 13:42:12,2026-04-20 13:46:42,IP Address,,100,269,True,2026-04-20 13:46:42,R_2f9dR9Mq4bTmWva,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,2.013,0,12.377,12.377,14.335,1,i think its a good halfway mark,6.681,12.87,13.903,2,,,,,17.441,17.441,19.031,1,0,0,0.209,0,1,3.5,5abe9da9a3ba7a0001b46a18,69e62d2cb1000661f27a8f02,69e6293cac546095efbb4be0,2.5,i think its a good halfway mark,2,3,1,
2026-04-20 13:44:36,2026-04-20 13:46:43,IP Address,,100,126,True,2026-04-20 13:46:43,R_5OJFACK25ayAVXH,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..is irrelevant for your final payment,$2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,66be3ed60ce8896e4feb1003,69e62dbe26e03e002f60fe72,69e6293cac546095efbb4be0,,,,,1,
2026-04-20 13:42:54,2026-04-20 13:47:04,IP Address,,100,249,True,2026-04-20 13:47:04,R_58ciU7v5jPbOkKt,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,3.7,0,12.373,15.759,16.283,2,"To maximize the amount earned, but also still have something to send.",5.916,8.024,8.672,2,,,,,7.402,9.163,9.643,2,0,0,0.212,0,0,1,65b930253f67ecba5f26fc07,69e62d4fb8db2522f15db6c2,69e6293cac546095efbb4be0,5,"To maximize the amount earned, but also still have something to send.",5,1,1,
2026-04-20 13:43:12,2026-04-20 13:47:10,IP Address,,100,237,True,2026-04-20 13:47:10,R_2jk9GzIumwOp2eJ,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,2.007,0,17.127,19.901,21.127,2,I chose 3 as theres a possibilty i could make 9 dollars. However this depends on the broker and whether he wants to be generous. ,7.354,7.354,10.887,1,,,,,11.834,17.248,19.114,6,0,0,0.208,0,0,3,6978df8260b73a449958a8f0,69e62d5d21256e777af5366a,69e6293cac546095efbb4be0,3,I chose 3 as theres a possibilty i could make 9 dollars. However this depends on the broker and whether he wants to be generous. ,4.5,2,1,
2026-04-20 13:43:18,2026-04-20 13:47:13,IP Address,,100,235,True,2026-04-20 13:47:13,R_80wa9i0omjZjsOh,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,$6,0,0,2.008,0,6.54,7.773,9.479,2,"I felt that it might be a good idea to give a fair amount, $4, to the broker, because he could then get 12$ in revenue and might decide to give me some of that, so that I can potentially make a profit.",2.962,5.028,6.069,2,,,,,4.163,5.696,6.637,2,0,0,0.104,0,0,2,60420bb25042bc00088c5376,69e62d70f42f5456c599471c,69e6293cac546095efbb4be0,4,"I felt that it might be a good idea to give a fair amount, $4, to the broker, because he could then get 12$ in revenue and might decide to give me some of that, so that I can potentially make a profit.",6,3,1,
2026-04-20 13:45:02,2026-04-20 13:47:55,IP Address,,100,172,True,2026-04-20 13:47:55,R_87Otf8jNp7Ode7x,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..is irrelevant for your final payment,$6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,599957e96b939900012da17e,69e62dd154027044dc4f6e70,69e6293cac546095efbb4be0,,,,,1,
