StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q237_First Click,Q237_Last Click,Q237_Page Submit,Q237_Click Count,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q235,Q224,Q240,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,reasons,beliefs,P1_CHOICE,P1_ID,attention_check,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The data provider's decision on how to set the price..,The broker's decision..,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you accept or reject the data provider proposed price?,"Please briefly explain your decision.



It is crucial that you answer this question truthfully and carefully.",Would you accept or reject the data provider proposed price?,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,reasons,beliefs,P1_CHOICE,P1_ID,attention_check,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID231""}","{""ImportId"":""QID237_FIRST_CLICK""}","{""ImportId"":""QID237_LAST_CLICK""}","{""ImportId"":""QID237_PAGE_SUBMIT""}","{""ImportId"":""QID237_CLICK_COUNT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID235""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID240""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""treatment""}","{""ImportId"":""transfer""}","{""ImportId"":""reasons""}","{""ImportId"":""beliefs""}","{""ImportId"":""P1_CHOICE""}","{""ImportId"":""P1_ID""}","{""ImportId"":""attention_check""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-04-21 13:33:51,2026-04-21 13:36:47,IP Address,,100,175,True,2026-04-21 13:36:47,R_7N9D9DlHTgutpCS,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.512,0,0,0,2.118,0,Accept,I would rather receive a small payment of 50 cents even if i receive less than the other participant than receive nothing.,Accept,0,,69ab9294132963fa410c2626,69e77cb92504a557ecdf1dbe,69e77a006a79977a2df1e51b,,,I would rather receive a small payment of 50 cents even if i receive less than the other participant than receive nothing.,,11.5,69db0b94b3c4d7fd11ea7b66,1,
2026-04-21 13:33:22,2026-04-21 13:37:19,IP Address,,100,236,True,2026-04-21 13:37:19,R_2wyoCabjwiHOvbB,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,2.91,0,0,0,2.006,0,Reject,I get no money in this deal.,Accept,0,,69e6a0fb2ffde146a3a74679,69e77c98b76da772db9e7ed3,69e77a006a79977a2df1e51b,,,I get no money in this deal.,,12,6134e3d48d0eaa5c8fe8c25e,1,
2026-04-21 13:37:45,2026-04-21 13:37:59,IP Address,,100,13,True,2026-04-21 13:37:59,R_6FsuM4QPiNXXukD,,,,,,,anonymous,EN,Very interested,,,,,,,,,,,,,,,,,,0,,69e66ee47128e6d3dd8fa74d,69e77da13ab115f79dd0de67,69e77a006a79977a2df1e51b,,,,,,,0,
2026-04-21 13:35:18,2026-04-21 13:38:12,IP Address,,100,174,True,2026-04-21 13:38:13,R_6Wklsj2crZLO9ot,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,4.834,0,0,0,2.011,0,Accept,"IF i get 12$ and it cost 0$, that is a 12$ profit",Reject,0,,69d2ac3719975f29f97802b6,69e77cf9be2978da8ca98910,69e77a006a79977a2df1e51b,,,"IF i get 12$ and it cost 0$, that is a 12$ profit",,0,676302645c023570f5d43a0f,1,
2026-04-21 13:34:47,2026-04-21 13:38:23,IP Address,,100,216,True,2026-04-21 13:38:24,R_6lxbiqQ1tUEBmUU,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,3.502,0,0,0,2.009,0,Accept,That seems like a fair compromise,Reject,0,,67ee7da9117dd0baae454be2,69e77cec36e70142af935ac4,69e77a006a79977a2df1e51b,,,That seems like a fair compromise,,6,6760593df7f817c80461df21,1,
2026-04-21 13:36:56,2026-04-21 13:38:33,IP Address,,100,97,True,2026-04-21 13:38:34,R_7knuWC0JbFwxEEF,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..is irrelevant for the final payment,..is irrelevant for final payment,,,,,,,,,,,,1,,6978be0eab560c96b4a47039,69e77d6ebfe508d173cbc77d,69e77a006a79977a2df1e51b,,,,,,,1,
2026-04-21 13:35:34,2026-04-21 13:40:58,IP Address,,100,323,True,2026-04-21 13:40:58,R_1MYws0GNebH0IeC,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both the broker's and the data provider's earnings,..affects both the broker's and the data provider's final payment,0,0,10.651,0,0,0,2.107,0,Accept,"50/50 is about as fair as you can make it, Being the broker I would have expected 10% to 30% going to me and the rest going to the person because it is their data being sold. So an offer at 50% is extremely fair. ",Accept,0,,698cf4dee24b87ad4c3038e1,69e77d21ff6ef47bc3b60d12,69e77a006a79977a2df1e51b,,,"50/50 is about as fair as you can make it, Being the broker I would have expected 10% to 30% going to me and the rest going to the person because it is their data being sold. So an offer at 50% is extremely fair. ",,6,695bdb51d64a67f8428fe313,1,
2026-04-21 13:41:24,2026-04-21 13:41:33,IP Address,,100,8,True,2026-04-21 13:41:33,R_82bv72gZ0r3Yrfj,,,,,,,anonymous,EN,,A bit interested,,,,,,,,,,,,,,,,,0,,69e66a7cd2346ebf0ab586aa,69e77e7d27f2efe3e0b28e17,69e77a006a79977a2df1e51b,,,,,,,0,
