StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q238_First Click,Q238_Last Click,Q238_Page Submit,Q238_Click Count,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q241_First Click,Q241_Last Click,Q241_Page Submit,Q241_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,P1_CHOICE,P1_ID,allocation_hp,transfer_hp,attention_check,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The data provider's decision on how much to send to the broker..,Suppose the data provider decides to send $2 worth of data. How much value in data will the broker receive?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose that amount.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,P1_CHOICE,P1_ID,allocation_hp,transfer_hp,attention_check,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID231""}","{""ImportId"":""QID238_FIRST_CLICK""}","{""ImportId"":""QID238_LAST_CLICK""}","{""ImportId"":""QID238_PAGE_SUBMIT""}","{""ImportId"":""QID238_CLICK_COUNT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID241_FIRST_CLICK""}","{""ImportId"":""QID241_LAST_CLICK""}","{""ImportId"":""QID241_PAGE_SUBMIT""}","{""ImportId"":""QID241_CLICK_COUNT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""transfer""}","{""ImportId"":""reasons""}","{""ImportId"":""beliefs""}","{""ImportId"":""P1_CHOICE""}","{""ImportId"":""P1_ID""}","{""ImportId"":""allocation_hp""}","{""ImportId"":""transfer_hp""}","{""ImportId"":""attention_check""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-04-21 13:32:39,2026-04-21 13:36:35,0,,100,235,1,2026-04-21 13:36:35,R_7ra9Jjwf0g2ayjv,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.552,0,0,0,2.006,0,14.238,31.678,32.85,3,It's a kickback to the provider but ultimately in my favor.,8.311,10.829,12.187,4,0,14,69bd4d6a081ebb98d25fe173,69e77c714f43517a0250af3d,69e773e81779eeec606ecf09,4,It's a kickback to the provider but ultimately in my favor.,,6,582009dd87f6b90001f13e40,5.5,0.5,1,
2026-04-21 13:34:27,2026-04-21 13:39:04,0,,100,277,1,2026-04-21 13:39:05,R_1RrT92JPS4vjguK,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,20.501,0,0,0,2.011,0,7.575,20.769,23.984,3,I have double his money and I made the same amount we are all even.,9.953,20.254,23.435,3,0,8,675de3bd64119cef93edfc75,69e77cd9e1ea745a07b31cdb,69e773e81779eeec606ecf09,4,I have double his money and I made the same amount we are all even.,,4,66b13d245047496c530bffd2,4,2,1,
2026-04-21 13:34:59,2026-04-21 13:39:24,0,,100,264,1,2026-04-21 13:39:24,R_5fjbuRJ0EW1HpZO,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.347,0,0,0,2.113,0,18.405,18.405,19.388,1,I chose to keep half for myself from what I received and send half back because that seems like the most equally fair option with the current money floating around. ,6.465,6.465,7.007,1,1,4.5,66686316b5076c050a4f32d0,69e77ce79bc063bff3450012,69e773e81779eeec606ecf09,4.5,I chose to keep half for myself from what I received and send half back because that seems like the most equally fair option with the current money floating around. ,,3,599f161d617ca80001fcd17a,3,3,1,
2026-04-21 13:36:13,2026-04-21 13:40:15,0,,100,242,1,2026-04-21 13:40:15,R_8179Bfsy5Io5Kes,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,2.919,0,0,0,2.009,0,9.126,16.872,32.402,2,"I chose this amount because I felt it was only fair that the amount we received was relatively equal, but that the extra amount I kept versus the other participant acted as a kind of commission for ""selling"". I would have felt guilty keeping too much/all of the amount, as I would not have received as much if they hadn't chosen what they did. ",9.294,9.294,10.382,1,0,10,5f5056419089361d29808a06,69e77d4553dee6affcdf2c2c,69e773e81779eeec606ecf09,8,,,6,5da486f989f3800015f5a4d3,3.5,2.5,1,
2026-04-21 13:34:04,2026-04-21 13:41:18,0,,100,434,1,2026-04-21 13:41:20,R_6jVD3hep8EnULH3,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,4.69,0,0,0,2.113,0,9.831,11.233,24.873,2,"Because the data provider entrusted me as the broker to connect to higher value buyers, we should both benefit from that. I split it 50/50 as it seemed to be fair.",17.555,17.555,37.892,1,0,9,6942e3f64a7f5f274bdc3c00,69e77caecd5caaa2a340a82c,69e773e81779eeec606ecf09,9,"Because the data provider entrusted me as the broker to connect to higher value buyers, we should both benefit from that. I split it 50/50 as it seemed to be fair.",,6,67099bcb59199185f719e426,3,3,1,
2026-04-21 13:39:02,2026-04-21 13:42:02,0,,100,180,1,2026-04-21 13:42:03,R_3Zgk2Pu5ATUIC53,,,,,,,anonymous,EN,1,,,1,1,3,2,0,0,3.963,0,0,0,2.008,0,8.526,12.709,13.533,4,I just felt like it would be good to send half back.,7.173,10.756,11.814,4,0,4.5,5f93aff4d654c619d22b94b9,69e77dee33334dea8e890f39,69e773e81779eeec606ecf09,4.5,I just felt like it would be good to send half back.,,3,5ee6cc4e34f12e44e827f657,3,3,1,
2026-04-21 13:41:06,2026-04-21 13:42:12,0,,100,65,1,2026-04-21 13:42:16,R_7MQpEaFb04Srn9l,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,0,,69e284a6c6328426388392aa,69e77e60ba6fc076aa99ae67,69e773e81779eeec606ecf09,,,,,,,,0,
2026-04-21 13:40:50,2026-04-21 13:42:42,0,,100,112,1,2026-04-21 13:42:43,R_1CBYpts69IXDCVl,,,,,,,anonymous,EN,1,,,1,1,1,3,,,,,,,,,,,,,,,,,,1,,69c406fa730cafd4e3a5c838,69e77e5a395b519eb3b4793e,69e773e81779eeec606ecf09,,,,,,,,1,
