StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q4,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,Q241_First Click,Q241_Last Click,Q241_Page Submit,Q241_Click Count,Q225_First Click,Q225_Last Click,Q225_Page Submit,Q225_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,reasons,beliefs,beliefs_hp,attention_check,story,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The decision on how to split the money..,Player 2's decision..,"Please write one or two sentences summarizing the story. Your summary should accurately reflect the story’s content, as it will be checked for consistency.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this proposal.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,reasons,beliefs,beliefs_hp,attention_check,story,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID231""}","{""ImportId"":""QID1219531540_TEXT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID234_FIRST_CLICK""}","{""ImportId"":""QID234_LAST_CLICK""}","{""ImportId"":""QID234_PAGE_SUBMIT""}","{""ImportId"":""QID234_CLICK_COUNT""}","{""ImportId"":""QID241_FIRST_CLICK""}","{""ImportId"":""QID241_LAST_CLICK""}","{""ImportId"":""QID241_PAGE_SUBMIT""}","{""ImportId"":""QID241_CLICK_COUNT""}","{""ImportId"":""QID225_FIRST_CLICK""}","{""ImportId"":""QID225_LAST_CLICK""}","{""ImportId"":""QID225_PAGE_SUBMIT""}","{""ImportId"":""QID225_CLICK_COUNT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""treatment""}","{""ImportId"":""transfer""}","{""ImportId"":""reasons""}","{""ImportId"":""beliefs""}","{""ImportId"":""beliefs_hp""}","{""ImportId"":""attention_check""}","{""ImportId"":""story""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-04-21 10:59:22,2026-04-21 10:59:38,0,,100,16,1,2026-04-21 10:59:39,R_67s1M0yvdYuKzMG,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,69e62ec62910cafed752c337,69e7587a6aa1924d0b6bfb94,69e754d3172910383aac6106,,,,,,0,,
2026-04-21 11:00:40,2026-04-21 11:00:51,0,,100,10,1,2026-04-21 11:00:51,R_8WUwsCpUeq2qTqR,,,,,,,anonymous,EN,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5d4071ff618adb0018868f81,69e758d236e720c7acbee8a0,69e754d3172910383aac6106,,,,,,0,,
2026-04-21 10:59:08,2026-04-21 11:03:43,0,,100,274,1,2026-04-21 11:03:43,R_2atli8zFvDkKVXP,,,,,,,anonymous,EN,1,,,1,1,3,2,James should trust the process was carried out fairly and there may be a reason mark wasnt given the funds. For example he could be receiving other help or have savings. James could however see how Mark is getting on and offer help and potential financial help if it is clear Mark is still struggling,0,0,2.008,0,2.256,4.639,5.863,2,If i was player 2 i would also want the split to be fair and if i get greedy then player 2 may just reject it all and we'd both be left with nothing,4.193,7.276,7.948,4,5.288,5.288,6.059,1,0,0,0.207,0,0,6,69e68df853f87896c7b43233,69e75876355d00833410c118,69e754d3172910383aac6106,,6,If i was player 2 i would also want the split to be fair and if i get greedy then player 2 may just reject it all and we'd both be left with nothing,88,62,1,4,
2026-04-21 10:59:53,2026-04-21 11:04:01,0,,100,248,1,2026-04-21 11:04:02,R_89shlgjAVvEjXCF,,,,,,,anonymous,EN,1,,,1,1,3,2,Steve has been given a bonus. He has to decide whether to share some with Max.,0,0,2.109,0,11.268,11.268,14.131,1,I think it is the fairest amount.,3.073,5.706,7.872,2,5.065,5.065,5.944,1,0,0,0.208,0,0,6,5720b0c5fd3a5200133c8909,69e758a097613293cef383ef,69e754d3172910383aac6106,,6,I think it is the fairest amount.,82,43,1,2,
2026-04-21 11:01:05,2026-04-21 11:04:52,0,,100,227,1,2026-04-21 11:04:53,R_2F8r4ayUzG3M6un,,,,,,,anonymous,EN,1,,,1,1,3,2,James is struggling financially and has been selected to receive government assistance. His acquaintance Mark has not been selected. James needs to decide whether to share any of his money with Mark.,0,0,2.012,0,3.988,5.704,7.624,2,It seems fair to split the money 50/50 as I'm not really doing much to earn the money!,2.888,9.953,10.895,4,4.513,6.471,7.396,2,0,0,0.219,0,0,6,66535915cbec1d69819d3933,69e758df20c05ce13dfd0418,69e754d3172910383aac6106,,6,It seems fair to split the money 50/50 as I'm not really doing much to earn the money!,90,61,1,4,
2026-04-21 10:59:17,2026-04-21 11:05:36,0,,100,378,1,2026-04-21 11:05:36,R_20VnD7fc57BNUTT,,,,,,,anonymous,EN,1,,,1,1,3,2,"James is struggling financially. Out of the blue he gets told the government is providing him with financial assistance. Mark his neighbour wasn't selected, although he did apply. Mark is now deciding to keep all the money or to share some of it with his number.",0,0,2.012,0,4.434,6.173,7.587,2,Trying to tempt and expectance given we all know the rules without making so low as to be unpalatable.  ,2.399,4.911,6.388,3,2.759,2.759,4.04,1,0,0,0.21,0,0,7,601c141abca398678a72ff4c,69e7587dca47ca0d9ff3c708,69e754d3172910383aac6106,,5,Trying to tempt and expectance given we all know the rules without making so low as to be unpalatable.  ,46,28,1,4,
2026-04-21 11:02:21,2026-04-21 11:05:46,0,,100,204,1,2026-04-21 11:05:46,R_2KqkugTOeMQtuOC,,,,,,,anonymous,EN,1,,,1,1,3,2,James and Mark both applied for some kind of government grant. James was successfully and was awarded the money. Mark was not. James has to decide whether to share his good fortune with Mark.,0,0,2.107,0,6.865,6.865,7.7,1,Because it is fair to split the money equally.,7.301,7.301,8.072,1,4.062,8.082,8.965,3,0,0,0.205,0,0,6,57892012454e5400015f35c4,69e75935cb5fa0df5ac8afd0,69e754d3172910383aac6106,,6,Because it is fair to split the money equally.,93,84,1,4,
2026-04-21 10:59:17,2026-04-21 11:06:33,0,,100,435,1,2026-04-21 11:06:33,R_2GpW7YwyD6VXEpH,,,,,,,anonymous,EN,1,,,1,1,3,2,"Upon finalising a personally time intensive sales pitch Steve was congratulated by his boss for all the effort that he put into exceeding sales targets with the impressive sales pitch, and awarded a financial bonus.  It was Steve's choice whether he shared that bonus with his colleague Max who also contributed a lot to the sales pitch or keep all the bonus for himself.",0,0,2.009,0,12.787,15.714,18.291,4,I felt it was fair to share half of the award with the other player ,4.951,10.303,11.441,3,4.074,4.074,4.979,1,0,0,0.202,0,0,6,66a3864479d4d96baea83e7e,69e7587dc527f2e7a7d878a7,69e754d3172910383aac6106,,6,I felt it was fair to share half of the award with the other player ,80,47,1,2,
