StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q58,Q59,Q119,Q120,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,Q151,Q131_First Click,Q131_Last Click,Q131_Page Submit,Q131_Click Count,Q246,Q248,Q249,Q250,Q251,Q252,Q4,Q5,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q5,Q6,Q7,Q8,Q11_First Click,Q11_Last Click,Q11_Page Submit,Q11_Click Count,Q243,Q246_First Click,Q246_Last Click,Q246_Page Submit,Q246_Click Count,Q93_First Click,Q93_Last Click,Q93_Page Submit,Q93_Click Count,Q99,Q100,Q122,Q149,Q97_First Click,Q97_Last Click,Q97_Page Submit,Q97_Click Count,Q152,Q244_First Click,Q244_Last Click,Q244_Page Submit,Q244_Click Count,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q5,Q6,Q7,Q241,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q242,Q245_First Click,Q245_Last Click,Q245_Page Submit,Q245_Click Count,Q2,Q3,Q4,mistake,allocation_market,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,hp_lt_1,hp_lt_2,hp_lt_3,hp_lt_4,hp_kw_1,hp_kw_2,hp_kw_3,memory_lt_$4,memory_lt_$0,memory_lt_-$2,memory_lt_-$4,memory_kw_$0,memory_kw_-$4,memory_kw_-$6,hp_kw_4,memory_kw_-$8,hp_lt_control_1,hp_lt_control_2,hp_lt_control_3,hp_lt_control_4,hp_kw_control_1,hp_kw_control_2,hp_kw_control_3,hp_kw_control_4,memory_lt_control_$4,memory_lt_control_$2,memory_lt_control_$0,memory_lt_control_-$4,memory_kw_control_$0,memory_kw_control_$4,memory_kw_control_$6,memory_kw_control_$8,allocation_control,reasons_market,reasons_control,attention_check,market_first,market_number,control_number,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,Which of the following statements is correct about how bonus payments work in this task?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Imagine changing the price by [Field-hp_lt_1]. What do you find it similar to?,Imagine changing the price by [Field-hp_lt_2]. What do you find it similar to?,Imagine changing the price by [Field-hp_lt_3]. What do you find it similar to?,Imagine changing the price by [Field-hp_lt_4]. What do you find it similar to?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this price.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What color is this word shown in?




YELLOW","What color is this word shown in?





 
RED","What color is this word shown in?





 
BROWN","What color is this word shown in?





 
MAGENTA","What color is this word shown in?





 
GREEN","What color is this word shown in?





 
ORANGE",You are being matched with..,The decision on how to split the money..,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Imagine transferring [Field-hp_lt_control_1] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_lt_control_2] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_lt_control_3] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_lt_control_4] to the other participant. What do you find it similar to?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this allocation.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Imagine changing the price by [Field-hp_kw_1]. What do you find it similar to?,Imagine changing the price by [Field-hp_kw_2]. What do you find it similar to?,Imagine changing the price by [Field-hp_kw_3]. What do you find it similar to?,Imagine changing the price by [Field-hp_kw_4]. What do you find it similar to?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this price.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Imagine transferring [Field-hp_kw_control_1] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_kw_control_2] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_kw_control_3] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_kw_control_4] to the other participant. What do you find it similar to?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this allocation.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your age?,Are you currenty employed?,"Including yourself, how many people work on your immediate team?



By “immediate/direct team,” we mean the group of people you work with regularly and share responsibilities with (not the entire company).",mistake,allocation_market,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,transfer,hp_lt_1,hp_lt_2,hp_lt_3,hp_lt_4,hp_kw_1,hp_kw_2,hp_kw_3,memory_lt_$4,memory_lt_$0,memory_lt_-$2,memory_lt_-$4,memory_kw_$0,memory_kw_-$4,memory_kw_-$6,hp_kw_4,memory_kw_-$8,hp_lt_control_1,hp_lt_control_2,hp_lt_control_3,hp_lt_control_4,hp_kw_control_1,hp_kw_control_2,hp_kw_control_3,hp_kw_control_4,memory_lt_control_$4,memory_lt_control_$2,memory_lt_control_$0,memory_lt_control_-$4,memory_kw_control_$0,memory_kw_control_$4,memory_kw_control_$6,memory_kw_control_$8,allocation_control,reasons_market,reasons_control,attention_check,market_first,market_number,control_number,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID119_TEXT""}","{""ImportId"":""QID120_TEXT""}","{""ImportId"":""QID33_FIRST_CLICK""}","{""ImportId"":""QID33_LAST_CLICK""}","{""ImportId"":""QID33_PAGE_SUBMIT""}","{""ImportId"":""QID33_CLICK_COUNT""}","{""ImportId"":""QID151_TEXT""}","{""ImportId"":""QID131_FIRST_CLICK""}","{""ImportId"":""QID131_LAST_CLICK""}","{""ImportId"":""QID131_PAGE_SUBMIT""}","{""ImportId"":""QID131_CLICK_COUNT""}","{""ImportId"":""QID246""}","{""ImportId"":""QID248""}","{""ImportId"":""QID249""}","{""ImportId"":""QID250""}","{""ImportId"":""QID251""}","{""ImportId"":""QID252""}","{""ImportId"":""QID1218852351""}","{""ImportId"":""QID1218852352""}","{""ImportId"":""QID1218852298_FIRST_CLICK""}","{""ImportId"":""QID1218852298_LAST_CLICK""}","{""ImportId"":""QID1218852298_PAGE_SUBMIT""}","{""ImportId"":""QID1218852298_CLICK_COUNT""}","{""ImportId"":""QID1218852301_TEXT""}","{""ImportId"":""QID1218852302_TEXT""}","{""ImportId"":""QID1218852303_TEXT""}","{""ImportId"":""QID1218852304_TEXT""}","{""ImportId"":""QID1218852307_FIRST_CLICK""}","{""ImportId"":""QID1218852307_LAST_CLICK""}","{""ImportId"":""QID1218852307_PAGE_SUBMIT""}","{""ImportId"":""QID1218852307_CLICK_COUNT""}","{""ImportId"":""QID242_TEXT""}","{""ImportId"":""QID245_FIRST_CLICK""}","{""ImportId"":""QID245_LAST_CLICK""}","{""ImportId"":""QID245_PAGE_SUBMIT""}","{""ImportId"":""QID245_CLICK_COUNT""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID100_TEXT""}","{""ImportId"":""QID122_TEXT""}","{""ImportId"":""QID149_TEXT""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID152_TEXT""}","{""ImportId"":""QID243_FIRST_CLICK""}","{""ImportId"":""QID243_LAST_CLICK""}","{""ImportId"":""QID243_PAGE_SUBMIT""}","{""ImportId"":""QID243_CLICK_COUNT""}","{""ImportId"":""QID1218852316_FIRST_CLICK""}","{""ImportId"":""QID1218852316_LAST_CLICK""}","{""ImportId"":""QID1218852316_PAGE_SUBMIT""}","{""ImportId"":""QID1218852316_CLICK_COUNT""}","{""ImportId"":""QID1218852319_TEXT""}","{""ImportId"":""QID1218852320_TEXT""}","{""ImportId"":""QID1218852321_TEXT""}","{""ImportId"":""QID240_TEXT""}","{""ImportId"":""QID1218852324_FIRST_CLICK""}","{""ImportId"":""QID1218852324_LAST_CLICK""}","{""ImportId"":""QID1218852324_PAGE_SUBMIT""}","{""ImportId"":""QID1218852324_CLICK_COUNT""}","{""ImportId"":""QID241_TEXT""}","{""ImportId"":""QID244_FIRST_CLICK""}","{""ImportId"":""QID244_LAST_CLICK""}","{""ImportId"":""QID244_PAGE_SUBMIT""}","{""ImportId"":""QID244_CLICK_COUNT""}","{""ImportId"":""QID1219179621_TEXT""}","{""ImportId"":""QID1219179622""}","{""ImportId"":""QID1219179623_TEXT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation_market""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""treatment""}","{""ImportId"":""transfer""}","{""ImportId"":""hp_lt_1""}","{""ImportId"":""hp_lt_2""}","{""ImportId"":""hp_lt_3""}","{""ImportId"":""hp_lt_4""}","{""ImportId"":""hp_kw_1""}","{""ImportId"":""hp_kw_2""}","{""ImportId"":""hp_kw_3""}","{""ImportId"":""memory_lt_$4""}","{""ImportId"":""memory_lt_$0""}","{""ImportId"":""memory_lt_-$2""}","{""ImportId"":""memory_lt_-$4""}","{""ImportId"":""memory_kw_$0""}","{""ImportId"":""memory_kw_-$4""}","{""ImportId"":""memory_kw_-$6""}","{""ImportId"":""hp_kw_4""}","{""ImportId"":""memory_kw_-$8""}","{""ImportId"":""hp_lt_control_1""}","{""ImportId"":""hp_lt_control_2""}","{""ImportId"":""hp_lt_control_3""}","{""ImportId"":""hp_lt_control_4""}","{""ImportId"":""hp_kw_control_1""}","{""ImportId"":""hp_kw_control_2""}","{""ImportId"":""hp_kw_control_3""}","{""ImportId"":""hp_kw_control_4""}","{""ImportId"":""memory_lt_control_$4""}","{""ImportId"":""memory_lt_control_$2""}","{""ImportId"":""memory_lt_control_$0""}","{""ImportId"":""memory_lt_control_-$4""}","{""ImportId"":""memory_kw_control_$0""}","{""ImportId"":""memory_kw_control_$4""}","{""ImportId"":""memory_kw_control_$6""}","{""ImportId"":""memory_kw_control_$8""}","{""ImportId"":""allocation_control""}","{""ImportId"":""reasons_market""}","{""ImportId"":""reasons_control""}","{""ImportId"":""attention_check""}","{""ImportId"":""market_first""}","{""ImportId"":""market_number""}","{""ImportId"":""control_number""}","{""ImportId"":""Q_DataPolicyViolations""}"
2025-12-05 14:31:32,2025-12-05 14:50:58,IP Address,,100,1166,True,2025-12-05 14:50:59,R_8nuE5S70YzGXTxP,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,"If your pair is selected, you (the data provider) receive the price you set as a bonus, and the broker receives the profit of $12 minus the price you set.",,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,,,,,,,,,,,,,,,,,,,,0,0,2.007,0,"It would be like selling directly to the Research team, and the broker was be redundant. This would be ideal if providers knew and had access to the research teams. Perhaps direct local sellers for small value items - facebook marketplace","Result would be an even split between producer and broker, and possibly reasonable when the broker adds some extra value to the supply chain. Possibly like recruitment agencies.","This is leaning that the power is in the hands of the broker, perhaps them having knowledge of research teams that the producer does not. Similar to perhaps exporter (I.e. selling to overseas markets)","Producer gains more than the buyer, possibly because there are other brokers that could be used.",19.873,27.039,32.248,4,Consider the resource and effort needed to gather the survey data is more than the selling of the data set by the broker. Yet understanding that by the broker handling that aspect allows me to focus on the core activity,0,0,0.212,0,0,0,2.007,0,A greedy or selfish individual who is given something for nothing which could be shared but keeps it to themselves,Maybe a situation where the other participant made some contribution but on balance viewed as a smaller part,"An equitable split, judging that for whatever reason sharing equally is the fairest distribution","acknowledging that the other participant either added more value to the task, or that they were more in need",6.637,10.737,12.68,4,"There was no indication of the hypothetical task that implied that either participant did less or more work, so an equal split seemed reasonable",0,0,0.206,0,57,Yes,12,0,8,5cab3a6f797d90001402fd4d,6932ecbb24fe1d4fb4e03db1,69329b66cdf616d8bedeae7f,kw,,$4,'-$2,$0,'-$4,$0,'-$6,'-$8,,,,,"It would be like selling directly to the Research team, and the broker was be redundant. This would be ideal if providers knew and had access to the research teams. Perhaps direct local sellers for small value items - facebook marketplace","Producer gains more than the buyer, possibly because there are other brokers that could be used.","Result would be an even split between producer and broker, and possibly reasonable when the broker adds some extra value to the supply chain. Possibly like recruitment agencies.",'-$4,"This is leaning that the power is in the hands of the broker, perhaps them having knowledge of research teams that the producer does not. Similar to perhaps exporter (I.e. selling to overseas markets)",$2,'-$4,$4,$0,$0,$4,$6,$8,,,,,A greedy or selfish individual who is given something for nothing which could be shared but keeps it to themselves,Maybe a situation where the other participant made some contribution but on balance viewed as a smaller part,"An equitable split, judging that for whatever reason sharing equally is the fairest distribution","acknowledging that the other participant either added more value to the task, or that they were more in need",6,Consider the resource and effort needed to gather the survey data is more than the selling of the data set by the broker. Yet understanding that by the broker handling that aspect allows me to focus on the core activity,"There was no indication of the hypothetical task that implied that either participant did less or more work, so an equal split seemed reasonable",1,1,1,2,
2025-12-05 14:52:17,2025-12-05 15:00:32,IP Address,,100,495,True,2025-12-05 15:00:33,R_5IHMFHLp04t93B7,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,,,,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.012,0,Giving the broker a chance to earn some profit,I receive all of the profit,Allowing the broker to take a larger profit for doing more work,Allowing myself and the broker to take the same profit,4.028,4.028,7.322,1,"Both parties are doing work, so both deserve some profit",0,0,0.216,0,0,0,2.007,0,Receiving a free service,Donating/giving to someone in need,"Giving something, but not most",Doing what is most fair ,4.75,4.75,10.502,1,"If there is a 1 in 10 chance to earn money, I'll take the additional cash as it was already allocated to me",0,0,0.208,0,25,Yes,8,0,6,65d90ed584cbeefbb401d0e5,6932f19ba39f6ae3d2d63323,69329b66cdf616d8bedeae7f,kw,,$4,'-$2,$0,'-$4,'-$4,$0,'-$8,,,,,I receive all of the profit,Giving the broker a chance to earn some profit,Allowing myself and the broker to take the same profit,'-$6,Allowing the broker to take a larger profit for doing more work,$0,$2,'-$4,$4,$0,$8,$4,$6,,,,,Receiving a free service,"Giving something, but not most",Doing what is most fair ,Donating/giving to someone in need,12,"Both parties are doing work, so both deserve some profit","If there is a 1 in 10 chance to earn money, I'll take the additional cash as it was already allocated to me",1,0,2,1,
2025-12-05 15:00:39,2025-12-05 15:06:21,IP Address,,100,342,True,2025-12-05 15:06:21,R_2KNgX3clQQzW47q,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,"If your pair is selected, you (the data provider) receive the price you set as a bonus, and the broker receives the profit of $12 minus the price you set.",0,0,2.022,0,when something is on sale,when something is on sale but not as good a sale,this is the normal price,the price has increased,14.198,14.198,15.37,1,so they want to buy it,0,0,0.21,0,Blue,Purple,Yellow,Green,Red,Orange,,,0,0,2.124,0,this is keeping it fair to the original allocation,this is like stealing,this is like giving a gift,this is like giving a gift,8.255,17.902,18.9,2,because then it is fair because that is what we were originally given,0,0,0.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Yes,1,0,6,609720f77227ed736f8426cf,6932f391989a1eb42fb7c12d,69329b66cdf616d8bedeae7f,lt,,'-$4,'-$2,$0,$4,'-$6,'-$8,$0,the price has increased,this is the normal price,when something is on sale but not as good a sale,when something is on sale,,,,'-$4,,$0,'-$4,$4,$2,$8,$4,$0,$6,this is like giving a gift,this is like giving a gift,this is keeping it fair to the original allocation,this is like stealing,,,,,8,so they want to buy it,because then it is fair because that is what we were originally given,1,1,1,2,
2025-12-05 15:02:39,2025-12-05 15:09:43,IP Address,,100,423,True,2025-12-05 15:09:43,R_8sGIawuDDGFHDvX,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,"If your pair is selected, you (the data provider) receive the price you set as a bonus, and the broker receives the profit of $12 minus the price you set.",,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,,,,,,,,,,,,,,,,,,,,0,0,2.104,0,A sale on a toy in the lead up to holiday period. Not a significant amount but a small worthwhile discount. ,Offer on a bag of rice (20kg). Small discount but worthwhile to then stock up on more than one. ,A small electrical product like a hair trimmer. Something where there is a reasonable incentive to now buy the item. ,Hot food items where there is usually no sale price. ,2.668,5.035,5.67,2,No real strategic thinking behind this. ,0,0,0.205,0,0,0,2.013,0,"Helping them out, giving them a greater share of the total. ",A generous act but still ensuring i keep most of the value. ,"Nothing wrong with this, this is me withholding my funds. ",Sharing equally the profit. ,3.957,3.957,5.297,1,Didn't feel obligated to allocate any money. ,0,0,0.204,0,32,Yes,15,0,8,5d53326a70729700015efb69,6932f3df2a9bd5e06f3eb75f,69329b66cdf616d8bedeae7f,kw,,$4,'-$4,$0,'-$2,'-$6,'-$4,'-$8,,,,,Hot food items where there is usually no sale price. ,Offer on a bag of rice (20kg). Small discount but worthwhile to then stock up on more than one. ,A sale on a toy in the lead up to holiday period. Not a significant amount but a small worthwhile discount. ,$0,A small electrical product like a hair trimmer. Something where there is a reasonable incentive to now buy the item. ,'-$4,$0,$2,$4,$8,$4,$0,$6,,,,,"Nothing wrong with this, this is me withholding my funds. ",A generous act but still ensuring i keep most of the value. ,Sharing equally the profit. ,"Helping them out, giving them a greater share of the total. ",12,No real strategic thinking behind this. ,Didn't feel obligated to allocate any money. ,1,1,1,2,
2025-12-05 14:53:17,2025-12-05 15:09:57,IP Address,,100,999,True,2025-12-05 15:09:58,R_8VfGbYXpHSrvz6c,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,"If your pair is selected, you (the data provider) receive the price you set as a bonus, and the broker receives the profit of $12 minus the price you set.",,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,,,,,,,,,,,,,,,,,,,,0,0,2.015,0,a sale in a store reducing the product by -4,buying something at full price,"buying a small gift for someone, meaning I spent 8 on it",having a loyalty card discount,18.111,18.111,20.137,1,'-$4 seemed to be a reasonable amount to reduce it by,0,0,0.211,0,0,0,2.112,0,paying a friend for a drink they bought me,paying for an all day parking space,buying a coffee,chosing to not buy a product that I was on the fence about,17.742,17.742,23.219,1,seemed fairer to give the other person some reward,0,0,0.215,0,29,Yes,3,0,8,5786a6cc07724c000114b618,6932f1d659ca321168d4b08d,69329b66cdf616d8bedeae7f,kw,,'-$2,$4,$0,'-$4,'-$4,$0,'-$8,,,,,buying something at full price,a sale in a store reducing the product by -4,having a loyalty card discount,'-$6,"buying a small gift for someone, meaning I spent 8 on it",'-$4,$0,$4,$2,$6,$8,$4,$0,,,,,chosing to not buy a product that I was on the fence about,buying a coffee,paying a friend for a drink they bought me,paying for an all day parking space,7,'-$4 seemed to be a reasonable amount to reduce it by,seemed fairer to give the other person some reward,1,1,1,2,
2025-12-05 15:01:48,2025-12-05 15:10:53,IP Address,,100,545,True,2025-12-05 15:10:54,R_6HnXsEJ7QZqpUpP,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,,,,,,,,,,,,,,,,,,,,Blue,Purple,Yellow,Green,Red,Orange,..another participant from Prolific,..affects earnining for both you and your match,,,,,,,,,,,,,,,,,,0,0,2.106,0,Not making any necessary changes. ,It is an even split between me and the broker. ,I am giving a great discount. ,I have lowered the price a minimal amount. ,5.111,5.111,6.244,1,I feel it is only fair to split the profit evenly with the broker. ,0,0,0.208,0,0,0,2.108,0,Not giving team members credit for a group project. ,Donating a fraction of my income to charity. ,Evenly splitting the profit between my team members. ,Helping out someone else because they need it more that I do. ,10.869,10.869,15.2,1,I feel as if it is only fair to split the bonus evenly. ,0,0,0.209,0,25,Yes,11,0,6,5d16d17119d2ed0015e21360,6932f3c34265a659a20ab035,69329b66cdf616d8bedeae7f,kw,,$0,'-$2,$4,'-$4,$0,'-$6,'-$8,,,,,Not making any necessary changes. ,I have lowered the price a minimal amount. ,It is an even split between me and the broker. ,'-$4,I am giving a great discount. ,$0,$4,'-$4,$2,$0,$4,$6,$8,,,,,Not giving team members credit for a group project. ,Donating a fraction of my income to charity. ,Evenly splitting the profit between my team members. ,Helping out someone else because they need it more that I do. ,6,I feel it is only fair to split the profit evenly with the broker. ,I feel as if it is only fair to split the bonus evenly. ,1,0,2,1,
2025-12-05 15:02:22,2025-12-05 15:12:19,IP Address,,100,597,True,2025-12-05 15:12:19,R_6ltwFAKnMK4mog1,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,,,0,0,2.109,0,This is similar to not changing the price of a product. likley there are not economic headwinds causing changes to the price thus it is set.,Upping the price by four dollars is similar to reciving a bid from somone that was low and moving the price up so that it is a fair market value,This is similar to supply and demand. lowering the price is akin to realizing that there is less demand to be had for the product and it will not sell at the current price ,this is also similar to supply and demand. where one realizes there is significantly less demand that previously thought and to match economic conditions one is lowering the price ,5.553,9.291,10.398,2,I chose this price because I do not believe the computer fairly came up with a number and to extract the most value I can from the participants research ,0,0,0.207,0,Blue,Purple,Yellow,Green,Red,Orange,..another participant from Prolific,..affects earnining for both you and your match,0,0,2.011,0,If I transfer 0 it is likley that I am worse off financially or the other person owes me money.,This is similar to a government taking the money of another person before they have access to it due to a debt owed.,this is similar to the social security system wherein you would be paying in an ammount of your money for the greater social good,this is similar to equality - transferring money so that we both have the same ammount ,10.122,10.122,11.348,1,I chose this because it is an equal allocation. I had more funds and the other person had less. It makes sense to put us on equal footing ,0,0,0.207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,No,,0,10,69274004f8ad1f04a2725dd5,6932f3f158cd454105603c8e,69329b66cdf616d8bedeae7f,lt,,$0,$4,'-$2,'-$4,$0,'-$8,'-$4,Upping the price by four dollars is similar to reciving a bid from somone that was low and moving the price up so that it is a fair market value,This is similar to not changing the price of a product. likley there are not economic headwinds causing changes to the price thus it is set.,This is similar to supply and demand. lowering the price is akin to realizing that there is less demand to be had for the product and it will not sell at the current price ,this is also similar to supply and demand. where one realizes there is significantly less demand that previously thought and to match economic conditions one is lowering the price ,,,,'-$6,,$0,'-$4,$4,$2,$8,$0,$4,$6,this is similar to the social security system wherein you would be paying in an ammount of your money for the greater social good,this is similar to equality - transferring money so that we both have the same ammount ,If I transfer 0 it is likley that I am worse off financially or the other person owes me money.,This is similar to a government taking the money of another person before they have access to it due to a debt owed.,,,,,6,I chose this price because I do not believe the computer fairly came up with a number and to extract the most value I can from the participants research ,I chose this because it is an equal allocation. I had more funds and the other person had less. It makes sense to put us on equal footing ,1,0,2,1,
2025-12-05 15:01:31,2025-12-05 15:12:25,IP Address,,100,653,True,2025-12-05 15:12:25,R_8HG2V7ZJhXHyiEq,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,"If your pair is selected, you (the data provider) receive the price you set as a bonus, and the broker receives the profit of $12 minus the price you set.",0,0,2.007,0,a price rise in a supermarket.,a sale at a store I like,using a coupon to get a quarter off,most things that are stable priced,10.092,16.78,17.691,5,I think a 25% increase is fair.,0,0,0.211,0,Blue,Purple,Yellow,Green,Red,Orange,,,0,0,2.014,0,a gable and me winning the other participants share.,switching places with the other participant.,making the pay outs even for both participants.,not having a choice of an option.,9.12,9.12,10.463,1,I think it is fair that both participants receive an equal award.,0,0,0.214,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Yes,3,0,10,5decfba65b56133beed6ec21,6932f3c27b0037c732ce708c,69329b66cdf616d8bedeae7f,lt,,$4,'-$4,'-$2,$0,'-$6,$0,'-$8,a price rise in a supermarket.,most things that are stable priced,using a coupon to get a quarter off,a sale at a store I like,,,,'-$4,,'-$4,$4,$2,$0,$8,$0,$4,$6,switching places with the other participant.,making the pay outs even for both participants.,not having a choice of an option.,a gable and me winning the other participants share.,,,,,6,I think a 25% increase is fair.,I think it is fair that both participants receive an equal award.,1,1,1,2,
