row,claude_category_num
1184,2
974,2
388,2
238,1
876,1
44,1
132,1
20,1
7,1
457,2
344,1
363,3
158,3
690,3
825,2
757,3
1067,0
191,0
424,0
694,2
149,1
785,0
1043,0
896,1
1061,0
147,1
337,1
635,3
774,1
673,0
942,3
777,1
87,1
805,0
216,1
104,1
285,1
389,1
1080,1
817,0
334,1
747,0
591,3
464,0
34,1
66,1
234,2
429,0
701,1
540,2
834,2
548,3
247,1
137,1
713,2
958,0
215,0
29,1
500,1
406,1
951,2
819,2
411,0
948,0
726,2
210,2
1192,0
160,3
126,3
270,1
967,2
827,0
784,1
97,3
161,1
1175,1
536,0
330,1
811,2
265,0
639,1
1025,0
84,0
420,0
43,1
883,2
960,3
844,0
214,1
506,1
601,2
346,1
1150,2
177,1
555,1
1003,0
986,3
922,2
273,1
1193,0
490,2
573,3
1153,3
579,3
1190,1
250,1
744,0
931,0
831,1
552,2
502,3
1064,0
1058,1
990,0
1014,3
968,0
911,2
597,0
569,3
165,1
77,1
780,1
1036,0
362,1
709,2
327,1
756,2
1154,0
26,1
1029,1
202,1
1074,0
675,1
613,1
22,1
788,2
1166,3
10,1
660,0
731,2
198,1
866,0
348,1
438,2
514,1
419,0
1028,2
830,2
105,1
728,0
511,0
403,1
435,2
489,1
712,0
1073,0
292,3
257,1
928,3
387,1
676,0
90,3
157,1
1196,0
590,0
529,1
357,1
724,2
752,1
290,1
683,0
309,1
542,2
627,0
451,2
35,1
201,1
634,1
143,1
297,0
1128,2
272,1
286,1
333,1
550,2
835,0
1126,1
916,0
203,0
340,1
471,3
176,1
824,3
753,0
950,1
72,1
689,3
311,1
934,3
1063,0
656,1
1048,0
837,3
1168,3
484,2
995,2
107,0
101,2
129,1
167,0
1060,0
223,1
404,0
69,1
789,0
855,2
16,3
737,1
251,3
507,0
413,1
45,0
1131,0
605,2
769,3
952,3
1195,1
1127,0
402,0
32,1
1098,1
127,1
687,1
617,0
1187,2
722,0
1119,0
276,3
1115,2
891,0
707,2
1120,1
759,1
343,1
358,3
698,0
396,0
401,3
491,2
816,0
516,0
262,1
33,3
189,0
355,1
86,3
371,1
868,2
1052,0
1046,3
1167,2
821,2
562,2
659,2
211,1
1095,0
103,1
417,3
970,2
914,1
977,1
1062,2
544,3
384,3
284,1
1097,0
456,0
644,0
1102,0
121,1
561,0
171,3
206,1
745,2
997,1
1118,1
956,0
578,1
1044,3
462,0
1038,2
786,0
505,3
1045,0
517,2
998,0
1110,0
718,2
807,3
1085,2
903,0
466,0
128,1
321,3
140,1
804,0
320,1
85,1
199,1
1149,3
1021,2
648,0
230,1
933,2
136,1
37,3
668,2
859,1
427,2
145,1
351,1
1159,3
980,0
81,1
372,0
415,3
154,1
510,0
541,0
317,1
185,0
487,0
852,3
23,1
655,2
1185,1
465,2
499,2
437,1
173,1
924,0
277,1
395,1
636,3
779,3
820,3
150,0
113,0
135,3
65,1
1179,2
1121,2
1051,3
910,2
445,2
584,2
857,0
845,2
479,1
992,3
159,3
125,1
559,3
110,0
367,1
59,1
583,1
204,1
19,1
219,1
3,3
886,1
793,3
1161,1
666,2
1171,1
1148,0
849,0
356,3
607,0
38,0
21,3
366,1
664,2
0,1
310,2
760,1
598,1
721,0
815,2
869,3
1181,0
586,0
1101,0
893,1
1019,0
494,0
422,0
249,0
329,1
282,0
901,3
1022,0
130,3
879,0
906,0
1050,0
498,3
227,1
108,3
966,0
764,0
261,2
109,1
504,3
898,0
382,1
953,2
792,0
495,0
1031,2
864,2
332,1
581,0
1162,1
394,1
314,1
826,0
17,1
1145,0
117,1
1137,1
222,1
436,2
2,1
1016,0
64,1
111,0
856,2
543,0
955,0
302,1
25,1
190,1
810,0
1011,1
116,1
520,2
47,1
48,3
1056,0
1189,1
622,2
1116,0
124,1
80,0
1129,3
650,1
485,2
725,0
486,1
991,2
715,3
1001,0
180,3
577,2
937,1
588,1
984,2
1049,2
612,0
1157,0
742,3
894,0
1100,0
661,1
746,0
880,0
734,1
667,2
580,0
428,2
67,0
172,1
54,1
695,1
907,1
818,0
391,1
478,0
166,1
175,1
1139,1
693,1
629,0
795,0
368,3
702,1
733,0
513,3
989,0
476,2
163,3
36,1
823,0
242,1
863,0
123,3
1104,3
13,1
678,0
1096,0
1176,0
410,3
881,3
932,2
267,1
255,1
1071,0
432,1
1165,2
908,1
638,1
229,1
106,1
399,1
1068,1
741,2
369,3
78,1
376,1
957,2
195,1
450,2
119,1
91,1
794,0
1066,1
1,1
594,0
1002,0
324,1
761,0
832,1
1163,0
975,1
843,0
1138,0
218,1
1023,0
118,3
621,3
619,2
888,0
1030,2
802,0
729,0
60,2
4,1
600,0
430,2
1054,0
1156,2
397,1
93,1
1015,3
73,3
454,0
765,1
75,1
380,0
608,3
809,0
860,0
271,1
684,2
814,2
455,2
1034,3
624,2
549,1
778,3
822,1
521,1
509,0
599,0
1007,0
228,1
192,3
776,1
963,2
763,1
565,0
181,1
797,3
839,0
296,1
531,0
1042,0
625,0
423,0
801,1
386,1
299,1
878,0
1079,0
686,0
679,1
315,1
877,1
1013,0
999,0
645,0
535,2
833,3
95,1
723,1
224,1
1055,2
443,0
923,0
1072,0
293,0
338,1
392,1
961,0
602,0
623,3
263,1
6,1
1197,2
979,0
943,2
9,3
930,3
30,0
281,1
682,0
616,0
74,1
646,0
275,1
102,0
532,1
567,0
449,2
253,0
8,2
614,3
421,0
705,0
1047,0
350,1
480,0
375,1
354,0
461,1
572,2
347,1
1122,0
122,3
909,0
1172,2
1188,0
938,1
1112,0
972,0
762,1
1057,0
708,3
945,2
187,1
235,0
409,0
1005,0
738,0
217,0
156,1
82,1
283,1
766,0
258,1
714,0
398,1
528,0
508,1
576,0
1141,2
345,1
426,1
546,0
515,2
518,0
1183,0
377,0
527,1
652,3
188,1
318,1
256,1
349,1
226,0
194,3
1164,0
925,2
1173,3
266,1
1065,0
1020,0
900,3
790,0
301,3
530,0
31,3
592,2
526,0
49,1
28,1
463,0
220,1
1151,0
444,0
197,1
306,1
133,1
574,0
1075,0
39,3
750,0
1032,3
493,3
553,2
63,3
534,0
453,0
100,3
1177,1
983,0
681,1
710,0
183,3
700,0
42,1
268,1
929,1
936,0
913,2
782,2
142,1
554,0
1191,3
1147,0
767,0
58,1
772,1
799,0
41,1
1070,1
851,3
770,2
342,0
653,0
468,2
492,0
212,3
739,0
477,1
1158,0
1133,1
973,2
1008,0
1169,0
847,1
962,1
328,1
982,0
703,0
1108,1
442,1
52,1
1103,0
1040,0
596,0
433,0
98,3
654,1
985,2
1170,0
1099,1
385,3
1094,0
773,2
364,1
1124,3
570,1
519,2
921,0
674,0
557,0
609,1
626,3
5,1
704,0
677,0
459,1
231,3
806,0
1037,3
381,1
628,1
370,1
716,2
976,2
838,1
637,3
1082,2
179,1
927,0
749,0
647,0
1024,1
610,0
905,3
1132,0
606,2
448,1
571,0
336,1
1017,2
1092,2
630,0
239,1
1105,2
232,1
55,1
1117,0
791,0
68,1
205,1
854,1
1081,0
633,3
94,1
1198,1
341,1
439,0
1039,3
237,1
865,0
446,3
71,1
458,2
441,3
1143,2
1135,0
1125,2
662,0
278,1
915,0
1041,1
472,2
537,0
155,1
51,1
287,1
754,0
1010,3
902,0
308,0
1086,0
618,1
697,2
114,3
469,0
889,2
474,0
748,0
853,2
243,1
131,0
1088,0
919,1
300,1
383,1
585,2
875,0
525,0
566,3
241,1
313,3
40,1
323,1
751,3
53,0
872,3
259,0
418,2
1069,0
841,0
994,3
431,2
246,1
322,1
1107,2
1093,0
558,2
523,1
946,0
603,0
208,0
874,1
547,3
11,1
365,1
361,1
252,1
949,1
304,1
867,2
670,0
688,2
920,2
735,0
858,0
274,0
884,2
1174,2
926,2
787,0
475,1
512,2
1194,0
473,3
501,0
563,0
604,0
620,3
152,1
848,2
209,3
988,2
359,1
1182,2
1012,1
861,0
551,0
196,1
862,0
1114,3
940,0
221,3
717,1
481,2
1142,0
556,1
294,1
829,0
353,2
482,0
460,2
987,2
18,1
587,0
964,3
12,1
996,0
88,3
151,1
696,2
76,3
240,1
488,0
1180,1
730,2
62,0
899,0
141,1
390,1
649,0
298,1
771,2
939,0
1033,1
775,0
1027,0
665,1
781,2
692,0
1178,0
1146,3
184,3
895,2
685,3
99,1
1140,0
615,3
1087,3
1134,0
680,0
291,0
1018,0
969,3
887,0
405,3
658,0
1109,0
305,1
1160,1
182,3
254,1
1199,3
1076,1
593,3
1106,0
740,0
289,1
169,0
691,3
162,3
798,0
873,0
225,1
1090,3
416,1
813,1
1155,1
83,1
414,1
632,3
743,0
452,0
978,0
400,2
56,1
1089,2
870,2
1111,3
871,3
408,2
669,0
582,1
412,2
280,3
57,1
732,2
575,3
89,3
971,0
1006,0
233,2
1035,0
643,0
719,1
146,1
912,0
720,0
524,2
981,2
70,3
904,0
611,1
434,0
339,1
1113,0
319,3
657,0
1186,2
279,1
850,0
1136,1
245,1
706,3
312,1
447,1
736,0
954,0
440,2
425,0
236,1
642,1
497,1
840,3
808,0
640,1
641,0
993,2
379,0
46,1
244,1
944,3
631,2
15,1
307,1
1026,2
846,1
651,2
