panel,comparison_title,label,point_label,actual,predicted
p1_action,Aid vs Bonus,KW share sent,KW,-0.05586060889443062,-0.034630886548714435
p1_action,Aid vs Bonus,UG share sent,UG,-0.023680555555555538,-0.01303736491796842
p1_action,Aid vs Bonus,TG share sent,TG,0.005416666666666736,0.0029452182860083553
p1_action,Market vs Control,KW share sent,KW,-0.10924782878411912,-0.057048095992669634
p1_action,Market vs Control,UG share sent,UG,-0.21881944444444434,-0.08361806930805327
p1_action,Market vs Control,TG share sent,TG,0.1454166666666667,0.039649003572889474
p1_belief,Aid vs Bonus,UG beliefs,UG b,-0.04028333333333323,-0.013538071323312972
p1_belief,Aid vs Bonus,TG beliefs,TG b,-0.00927900032066703,0.0012470266471109048
p1_belief,Market vs Control,UG beliefs,UG b,-0.061966666666666725,-0.029944042936460358
p1_belief,Market vs Control,TG beliefs,TG b,0.11786451819785154,0.02324111024343506
p2_actual,Aid vs Bonus,UG acceptance,UG,-0.03500000000000003,-0.03631289524267378
p2_actual,Aid vs Bonus,TG share sent,TG,-0.015803922218879496,0.001361841008518272
p2_actual,Market vs Control,UG acceptance,UG,-0.32833333333333337,-0.2623047775365944
p2_actual,Market vs Control,TG share sent,TG,0.09938143557411472,0.027516594339834277
p2_hyp,Aid vs Bonus,UG hypothetical action,UG h,0.04216763998625894,0.005051661766308557
p2_hyp,Aid vs Bonus,TG hypothetical action,TG h,-0.009035493391987726,-0.003613055289450995
p2_hyp,Market vs Control,UG hypothetical action,UG h,0.0990584433673185,0.1240404360170112
p2_hyp,Market vs Control,TG hypothetical action,TG h,0.0999472740693873,0.003464863472751989
